Correct Response,Height,RT,Face
1,16,486.8651,2
1,4,485.4939,2
1,11.31,373.5471,2
1,16,336.2294,0
1,11.31,425.3439,0
1,1.41,493.8566,2
0,22.63,491.5427,1
1,16,499.2201,2
1,2.83,632.1042,1
1,16,461.7415,1
1,2,458.1205,1
1,22.63,434.2884,0
1,22.63,364.2098,2
1,5.66,372.3201,1
1,2,388.0844,2
1,4,347.73,0
1,16,329.4374,2
1,4,402.4701,0
0,2,437.6251,0
0,5.66,440.2023,1
1,4,469.6438,0
1,11.31,417.1808,0
1,5.66,457.6669,1
1,1,908.627,1
0,16,464.354,2
1,4,505.2503,1
1,16,368.5474,2
1,5.66,437.9476,0
1,2.83,426.123,0
1,4,466.579,0
0,22.63,576.166,0
1,1.41,415.966,2
1,5.66,405.2091,0
1,2.83,532.9592,0
1,28,393.0078,2
1,2,504.0464,1
1,16,453.6437,1
1,2.83,509.9464,0
1,4,373.5555,1
1,5.66,321.0868,1
1,11.31,437.4318,2
1,8,517.9711,2
1,2.83,448.8994,1
1,2.83,464.5438,1
1,2,363.8416,1
0,22.63,460.9733,0
1,4,496.6566,2
1,5.66,518.0867,2
1,1.41,435.8936,2
1,1.41,501.8606,1
0,16,416.161,2
1,4,391.3153,0
1,8,344.4381,1
1,11.31,530.6387,2
1,4,530.6297,1
1,22.63,465.6905,0
1,11.31,420.9442,1
0,1,1119.719,2
1,11.31,552.5222,2
1,2,724.1912,1
1,16,400.9961,1
0,28,336.5504,0
1,5.66,572.4598,1
1,11.31,456.7369,2
0,22.63,326.8983,0
1,16,424.5458,1
1,8,337.66,2
0,22.63,512.0919,2
1,1,853.6361,2
1,4,600.3994,0
1,1.41,346.4365,1
1,1,612.1077,1
1,2,352.4265,0
1,1.41,350.4302,2
1,8,410.3926,0
1,16,463.9807,1
1,5.66,585.9643,2
1,11.31,686.6111,1
1,11.31,513.1904,0
1,8,409.157,2
0,4,483.0369,2
1,16,493.9287,1
1,22.63,361.9732,0
1,2.83,585.4329,2
1,28,504.3317,0
1,4,510.0295,0
1,2.83,506.9371,2
1,28,509.409,1
1,11.31,443.7654,1
1,5.66,409.0255,0
1,4,272.7763,1
1,16,566.5763,0
1,22.63,524.4738,1
1,2.83,454.3935,2
1,2,604.4452,1
1,2.83,551.1789,2
1,2,383.7842,2
1,16,491.8508,2
1,22.63,507.2159,2
1,1,533.8222,2
1,1.41,538.2537,1
1,22.63,325.6891,2
1,16,437.1429,0
1,11.31,516.0741,1
1,8,417.3978,2
1,22.63,475.9459,0
1,2.83,469.8524,1
1,22.63,397.8126,0
1,2,496.2424,2
1,4,373.8703,0
0,4,450.3874,2
1,2,600.0757,1
1,8,502.946,1
1,11.31,487.9419,2
1,11.31,445.4073,2
1,5.66,573.8686,1
1,2,501.3334,0
1,2,392.762,2
1,2,541.8539,1
1,22.63,446.0124,0
1,22.63,499.8475,2
1,28,450.8633,2
1,1,650.5747,2
1,2.83,550.246,0
1,16,404.0935,2
1,28,350.0522,1
1,28,413.3497,2
1,16,508.5296,2
1,2.83,495.9339,0
1,2,500.4555,2
1,22.63,560.7966,0
1,28,526.1313,0
1,11.31,472.8915,2
1,22.63,465.8741,0
1,1,733.9703,2
1,1.41,502.8514,0
1,16,488.086,1
1,4,469.8945,0
1,28,507.2853,0
1,2.83,493.0891,0
1,2.83,487.3808,0
0,2.83,355.0153,2
1,4,412.4828,2
1,11.31,309.3751,0
1,11.31,539.7253,1
1,8,564.27,2
0,11.31,377.7339,0
1,1.41,688.9301,1
0,28,389.6902,1
1,28,427.8377,0
1,2.83,550.2843,0
1,8,431.8801,2
1,5.66,435.873,0
1,22.63,455.1957,0
1,22.63,419.0997,1
1,5.66,500.002,0
1,11.31,463.8452,2
1,5.66,428.9913,2
0,16,427.6353,1
1,2.83,458.0295,0
1,11.31,474.6366,1
1,16,492.7349,2
1,22.63,457.186,1
1,22.63,476.1735,1
1,1,634.7819,1
1,28,413.9063,0
1,4,524.2852,0
