Correct Response,Height,RT,Face
0,8,825.2498,0
0,2,453.6897,0
1,4,445.7233,2
1,22.63,538.6756,2
0,1,606.9499,1
0,28,657.2773,2
1,1,585.4282,0
1,28,596.8493,1
1,2.83,542.2532,2
1,11.31,417.5446,2
1,16,411.3583,1
1,1.41,430.2886,1
1,11.31,631.6407,1
1,22.63,615.7756,2
1,2,703.4517,2
1,8,367.9665,2
1,22.63,530.8165,0
1,11.31,594.409,2
0,2,842.9786,1
1,2,454.8033,0
1,1.41,656.9663,1
1,5.66,633.8831,2
1,1,548.3527,2
1,5.66,583.4833,0
1,16,326.8527,2
1,5.66,460.8572,0
1,22.63,615.6178,1
1,8,381.5272,1
1,11.31,373.491,0
1,1,545.1886,2
1,5.66,633.9943,0
1,4,700.9684,0
1,28,539.872,0
1,1,969.079,2
1,8,324.2414,0
1,22.63,405.4613,1
1,1,645.596,1
1,1.41,448.7706,2
1,2.83,446.9893,2
1,2,703.2118,1
1,1,413.2942,0
1,16,510.4038,0
1,22.63,597.627,1
0,8,404.1686,1
1,2.83,566.9641,1
1,4,454.9803,2
1,2.83,415.945,0
1,1,360.9143,2
1,2,320.5527,2
1,5.66,398.1928,1
0,16,525.2014,0
1,1,518.6709,0
1,22.63,405.8051,0
1,2,512.2229,1
1,2.83,602.4421,0
1,16,512.9201,2
1,22.63,510.0135,2
1,28,525.431,0
1,5.66,576.0954,1
0,1.41,709.593,1
1,16,447.0851,1
1,4,429.0257,1
1,2.83,508.8984,0
1,2.83,438.1939,2
1,2,637.8206,0
1,5.66,656.8609,0
1,4,548.613,2
0,4,580.1284,1
1,1.41,516.9386,1
1,28,387.0601,0
1,1,644.9752,0
1,28,620.9449,0
1,2.83,652.0492,0
1,1.41,513.5046,2
1,4,442.5072,1
1,11.31,466.776,0
1,8,643.5138,1
1,16,586.9958,1
1,4,892.789,1
1,1,694.3309,2
1,8,500.9871,1
1,2.83,674.5463,2
1,2,562.3484,1
1,22.63,599.1248,0
1,1,813.9369,2
1,28,540.459,0
0,22.63,492.3007,0
1,16,721.9263,0
1,16,461.1833,2
1,2,527.1284,1
1,4,529.78,0
1,28,965.86,0
0,22.63,465.4468,2
1,2.83,660.5494,1
0,16,494.5653,1
1,11.31,561.5723,0
1,1,638.6759,1
1,1.41,998.352,0
1,1,581.5509,1
1,1.41,737.3753,1
1,28,454.9685,0
0,1.41,561.4938,2
1,28,484.3814,1
0,22.63,520.3765,0
1,1,552.7699,2
1,4,576.5444,2
1,16,409.6801,2
1,4,723.1323,1
1,2.83,621.338,2
1,8,599.5787,0
1,1.41,552.4048,1
1,2.83,523.1406,2
0,28,619.4878,0
1,8,476.4541,1
1,4,562.2791,2
1,11.31,547.5678,1
1,11.31,530.9769,1
1,28,841.0025,2
1,2.83,568.5594,0
1,2,523.2338,0
1,2,720.3843,0
1,16,488.0896,1
1,1,574.0131,2
1,8,433.4137,0
1,2.83,381.5958,1
1,2.83,501.4831,0
1,1.41,580.2092,2
1,1.41,387.3991,1
1,1.41,486.1255,1
1,4,583.7754,2
1,16,434.94,0
1,22.63,514.9721,1
1,4,508.1264,1
1,16,466.3148,2
1,2.83,591.1078,2
1,8,427.4009,2
1,11.31,566.6375,1
1,1.41,591.7067,0
1,1.41,526.2196,1
1,5.66,502.9622,1
1,2.83,630.6495,2
1,11.31,450.7764,1
1,1,533.0499,2
1,22.63,375.0901,1
1,16,372.2303,0
1,28,589.2033,0
1,5.66,502.154,2
1,2.83,590.06,1
1,1.41,720.6795,2
1,4,414.9628,1
1,11.31,517.5699,2
1,8,894.507,2
1,28,632.4439,1
1,11.31,513.772,0
1,1.41,582.6909,2
1,8,469.8053,0
1,5.66,876.6122,2
1,4,533.0832,1
1,1.41,415.0236,1
1,2,438.6052,1
1,2,466.7162,2
1,8,714.2791,2
1,11.31,406.8817,1
1,2,510.1775,0
1,1,694.5198,2
