Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,831.2230999866129,1
1,45,619.9877999309078,2
1,-90,691.829000046067,0
1,45,543.6184000275657,2
0,-75,991.9960999680311,2
0,-45,495.82660003151744,1
1,60,568.7188000004367,2
1,0,535.296399989687,0
1,-15,495.40419995836913,1
1,-75,649.7283999627084,0
1,-30,420.6065000319481,2
1,0,547.0320000597835,0
1,75,766.9952999852226,1
1,-30,584.9170999420435,1
1,30,601.7737000068278,0
0,-15,657.46879999578,0
1,-15,524.8569000098482,2
1,-15,553.9822000130639,2
1,-45,623.5878999862448,1
1,90,626.1584000015259,0
1,-30,506.49129997991025,0
1,0,515.5895999917389,2
1,-15,624.8318999126182,0
1,75,600.6564999982343,2
1,-75,607.4223000608013,0
0,30,667.8567999327183,4
1,90,529.977900004536,3
1,45,917.8259000466765,4
1,60,581.0728000063077,3
1,-45,624.783500009738,5
1,45,475.2498999289796,4
1,-15,433.771900046207,3
1,60,522.3524000314624,3
1,90,451.0643000533432,3
1,-45,548.2897000904754,5
0,90,-102.56,4
0,-90,-102.56,4
1,-60,604.7946999599785,3
1,15,542.0162999355794,3
1,15,553.154699998498,5
1,45,469.9139999277517,3
1,30,614.3172999430076,4
1,90,625.7876000884548,5
0,-75,828.1279000505433,4
1,-75,546.4298000145332,3
1,-75,492.4697999661416,4
1,-75,393.1482000328228,3
1,0,436.2079999694228,3
1,75,650.7138000154496,5
1,30,524.6151000313089,4
0,15,352.54889997240156,4
1,-60,568.700099974461,3
0,-90,1139.5547000277415,8
1,-90,549.3391000484676,8
1,-60,673.0047999001667,6
1,15,316.32999997172504,7
1,0,482.4736999865249,6
1,-60,463.14210005156696,6
1,-60,497.78150001592934,6
1,-30,703.9522000407428,8
1,-45,409.1521000075713,6
0,-90,546.9003999890388,7
1,45,570.0750000826642,8
1,30,455.12940004054457,7
1,-30,729.9841000051797,8
1,75,545.4374000249059,7
1,90,615.084700082019,7
1,75,393.84780000481754,7
1,15,512.6199000799656,6
1,60,614.4855999439583,6
1,15,388.5304999123886,6
1,-90,608.5924000065402,8
1,30,332.9390000138059,7
1,-90,499.7137000603229,8
1,-45,593.605299974382,8
0,60,338.066599942334,8
1,60,550.7853000010923,8
