Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,608.6445000804961,1
1,-150,507.4754000492394,2
1,0,511.8238999824971,0
1,150,484.62729999702424,2
0,-60,545.1580999037251,1
1,-60,538.0701999496669,0
1,90,495.4476000824943,2
0,150,787.1652999278158,2
1,150,574.8093999540433,1
0,30,565.7390000382438,1
1,30,560.5385000202805,0
0,60,497.30709992256016,0
1,60,584.7165000708774,2
1,-150,534.1397999403998,1
1,-120,690.591499962844,1
1,-120,808.1379000181332,0
1,30,505.79869997128844,2
1,-120,637.8590000644326,1
1,0,513.8977999417111,0
1,180,494.0771000077948,2
1,90,536.9856999572366,2
1,-90,672.6414000699297,1
1,0,552.6377000464126,2
0,180,789.0723000131547,0
0,180,648.7965999953449,1
1,180,557.3858001120389,0
1,60,508.05609993077815,0
1,-30,507.46559997461736,0
0,0,597.4039000542834,1
1,0,518.9472999740392,0
1,120,464.8139000022784,0
1,-120,561.2233999967575,1
1,-60,398.32020009309053,4
1,-90,527.3234999589622,3
0,-120,473.7459000283852,5
1,-120,525.503599954769,3
1,90,533.6700999727473,3
0,-30,723.3938000248745,4
0,-30,731.8019000198692,5
1,-30,549.1680999370292,5
1,-30,609.4604000067338,4
1,-30,521.6136000202969,5
0,90,559.4451999608427,5
1,90,770.5158999273553,3
1,-150,721.8274000883102,4
1,150,483.4445000709966,5
1,120,635.0024999668822,5
1,-30,578.3616999946535,4
1,120,517.5933000249788,3
0,60,417.5267000067979,3
1,60,559.9432000275701,5
1,150,554.9698999933898,4
1,-60,479.1773999426514,3
1,90,503.5338999554515,5
0,-120,536.3164000995457,5
1,-120,535.1908000269905,3
1,0,736.6198999192566,5
1,-60,689.5166000435129,4
1,60,449.2925999769941,3
1,-150,509.44240000937134,3
1,60,427.2460999749601,3
1,60,330.78020001668483,3
1,150,456.1790000265464,3
