Correct Response,Rotation (deg),Reaction Time (ms),Target
0,120,653.0349999051541,0
1,120,394.1594999600202,2
1,-120,536.9570999722928,1
1,60,387.5144000016153,1
1,90,462.5915998443961,0
1,-60,441.1319000031799,0
1,150,380.5047000609338,2
1,90,459.20700014941394,1
1,-30,443.31719999574125,2
1,90,394.60499997623265,2
1,0,548.3880000505596,0
1,-60,348.50369993038476,2
1,120,391.2274001017213,2
1,30,367.853100117296,2
0,-60,528.4201001599431,1
1,-60,435.5605998393148,1
1,30,397.81859999895096,0
1,-120,572.7203999962658,0
0,-90,509.5153000988066,0
0,-90,479.8396000955254,2
1,-90,408.9254999384284,2
1,120,520.6182998921722,0
1,-90,397.8192998878658,2
1,-150,633.2740000765771,0
1,30,567.2627998832613,1
1,-60,442.67319998145103,2
1,-90,390.49149996973574,2
1,-90,386.85569999180734,2
1,0,353.27310015819967,2
1,120,524.0860001035035,4
1,0,684.5019999276847,5
1,120,405.1016999259591,3
1,0,547.3889998942614,3
1,150,673.5430000666529,5
1,0,491.4349000286311,3
0,-150,628.5992001034319,5
1,-150,733.9382999893278,3
1,-30,572.7908000666648,4
1,150,528.5967999920249,5
1,-120,494.97779988124967,4
1,90,593.6469998527318,3
1,-120,581.3112998697907,4
1,-150,501.86049978621304,5
1,-120,559.2068998925388,4
0,-60,602.8294001556933,3
1,-60,550.4701001886278,4
1,180,493.97659994103014,5
1,0,521.3735999390483,5
1,30,649.8035000953823,3
1,-90,705.1096998006105,5
1,90,626.8319000340998,3
1,60,540.6022001374513,4
1,60,665.317700183019,3
1,60,444.60370012931526,5
1,30,399.2046000752598,5
0,180,574.0013000871986,4
1,180,756.26869982481,4
1,-180,493.98,5
0,-180,574,4
1,-180,756.27,4
