Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150,485.32390006259084,2
1,150,774.0615000333637,0
1,-30,641.6193998269737,1
1,180,552.1059000715613,2
0,0,886.9593000821769,0
1,0,720.406299861148,0
1,-150,834.0784001015127,1
1,30,588.9678000789136,2
1,30,511.7722001709044,2
0,-150,780.6500999107957,0
1,-150,604.3915999438614,1
1,90,596.6461998727173,0
1,120,875.7113001160324,1
1,-90,661.4121000133455,0
0,-150,563.1454001963139,1
1,-150,645.5091998763382,0
1,-30,609.4112998656929,2
1,-150,929.3687999565154,1
1,-120,644.5233998205513,0
1,180,684.9527998678386,1
1,150,682.2900000810623,0
1,-90,598.4551999103278,2
1,-60,685.5509999990463,0
1,0,630.0034000854939,0
1,-150,750.9425998982042,1
1,60,692.1288000270724,1
1,180,870.0311998222023,1
1,180,614.4552998561412,0
1,30,564.6741999629885,4
1,-120,1069.0806998722255,4
1,120,753.9940999671817,4
1,-150,765.7886000201106,4
0,180,945.2062998283654,3
1,180,649.156199939549,4
0,-120,973.4617999605834,3
1,-120,956.1134001091123,4
1,60,711.1809001620859,4
1,-60,808.9289999883622,5
1,-120,874.1318999640644,3
1,120,875.1287001036108,4
1,90,874.2270999904722,4
1,-30,729.5788002051413,5
1,-60,763.446299996227,3
1,-60,758.3487000633031,5
1,60,983.850600136444,4
1,-30,666.5902998615056,3
1,0,823.3147998657078,5
1,90,742.0519000701606,4
1,120,878.4102999456227,3
1,60,817.416200120002,5
1,60,910.1454999148846,4
1,-90,796.6294001638889,3
1,120,768.1862001158297,3
1,-90,760.9032999575138,5
0,-30,781.9837000537664,4
1,-30,799.2977999933064,5
