Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,525.9345999918692,2
1,-30,518.3112999773398,1
1,120,473.18360001079736,0
1,150,528.3009000238776,2
1,-90,578.0897999764234,2
1,150,382.08500000180675,0
1,150,472.74219996759666,0
1,90,512.3094000271335,2
1,90,548.9230000064522,2
1,-30,493.5824999818392,2
1,180,476.0302999755181,2
1,180,574.6574999764375,1
0,30,427.8805999900028,1
1,30,433.1755000282824,0
1,-30,534.943300019931,2
1,60,520.3099000034667,2
1,0,538.4271999471634,0
1,-60,525.6266999756731,2
1,-150,554.5467999880016,2
1,30,401.1574000003561,0
1,30,498.5035999677889,2
1,-120,512.0137999881804,2
1,-150,450.4016999970004,0
1,90,433.1984999705851,0
1,-120,383.7777000269666,0
1,120,521.816599951107,2
1,-150,635.3384000365436,4
1,0,521.2304000276886,3
1,90,569.6593999862484,4
1,-60,569.6211000438593,5
1,60,524.9351000063866,4
1,30,473.97160001562906,5
1,-150,508.8321999762952,5
1,60,548.2245999853872,4
1,60,562.3326000175252,5
1,-90,596.2805000133626,4
1,180,547.0004999777116,5
1,-90,514.4619000027701,5
1,30,432.60190002618356,4
1,-60,483.94930002976207,4
1,120,441.5272000012733,4
1,150,613.2929999846779,5
1,-120,591.8939999653771,5
1,180,487.63479997867717,3
1,-30,495.05589996695517,5
1,-60,619.1967000020481,4
1,-90,525.4791999584809,5
1,0,550.074399984423,3
1,0,508.59799999741836,5
0,120,611.2587000359595,3
1,120,481.56229995654894,3
1,120,632.7762000262551,4
