Correct Response,Rotation (deg),Reaction Time (ms),Target
0,180,772.426400039345,0
1,180,674.320700051263,1
0,150,886.745399966836,0
1,150,689.915599938482,1
1,-90,620.3966000434011,2
1,-30,943.4352001957595,1
1,150,602.2110999878496,1
1,0,700.7675000317395,1
1,60,625.2507999856025,0
1,-60,644.5002999939024,0
1,-60,563.4454001523554,1
1,-90,610.4214002229273,1
0,180,1081.3359999414533,0
1,180,688.5880999583751,1
1,30,595.7410001978278,2
1,150,793.2273998707533,2
0,-30,1131.1535999961197,1
1,-30,667.6898998524994,0
1,150,1019.5222000442445,1
1,-90,572.4061000477523,2
0,-120,1044.5795000381768,0
1,-120,863.2651999909431,2
0,-150,759.7298998702317,1
0,-150,880.5468999166042,2
1,-150,645.1185999289155,2
1,60,921.0027001649141,1
1,-150,751.8016001526266,2
0,-90,664.0145000386983,1
1,-90,629.8587000314146,2
1,30,726.0584001746029,1
1,90,848.6754998415709,1
1,180,650.3212998472154,2
0,150,-109.0,1
1,150,1083.5436002202332,0
1,150,1016.318800099194,3
1,-60,858.2199999913573,4
1,0,597.1295998282731,5
1,-60,663.2948000300676,5
0,30,684.0229001212865,4
1,30,490.12430006079376,4
1,-90,702.4151998888701,4
1,180,907.5639000479132,4
1,-150,515.8146998696029,4
1,30,645.6331998892128,3
1,60,672.0855999123305,4
1,-120,809.068999890238,3
1,-120,797.6848999354988,4
1,-90,642.5221000649035,3
1,60,743.5223999749869,4
1,90,697.8792999256402,3
1,0,558.5615001004189,5
1,120,904.4241997729987,4
1,90,667.98739990592,4
1,-30,552.0897998325527,3
1,90,655.2604000866413,4
1,-30,657.3831999525428,4
1,-150,906.4134000185877,3
1,0,623.5123001355678,3
1,-150,660.8637000285089,5
1,-150,698.8751000575721,4
