Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150,607.1985999872536,2
1,150,483.76629993371665,2
1,150,541.6726998803765,0
0,0,653.4190001250804,1
1,0,303.2023001281172,1
1,-150,467.6305998867005,0
0,-60,432.4189001047611,1
1,180,489.03249998629093,0
1,-180,489.03249998629093,0
1,-30,443.4189999295026,2
1,-120,541.4965998200328,1
1,60,502.52070001378655,0
1,-30,428.4220999391377,2
1,120,491.63930004514754,2
0,120,602.2632001252473,1
1,120,492.8466999256611,2
1,120,497.08209981262684,0
1,120,538.2876000651718,2
1,-90,504.69739994086325,0
1,-60,502.2380999574065,0
1,-150,519.8488000599295,0
1,30,471.13630015455186,0
1,-150,554.6063999930025,2
1,0,477.28260004013777,2
1,-120,571.5013000001759,1
1,-90,611.517000040561,1
1,90,546.5099001587928,0
1,-120,592.3492000722886,1
1,30,509.322199998945,0
0,180,482.03659991785884,4
0,-180,482.03659991785884,4
1,60,515.7075999589265,5
1,90,554.7434999892116,3
0,180,499.7702001412958,4
0,-180,499.7702001412958,4
0,30,303.591499832049,4
1,-90,527.6153998268396,3
0,30,548.696499812007,4
1,-60,467.1441000239551,4
0,-150,399.52659982308745,3
1,-60,429.99899995565414,3
0,-150,536.7672001296282,4
1,30,454.37030008114874,3
1,150,598.9816000504047,4
1,-150,409.85550012491643,4
1,90,606.7682998539508,4
1,60,337.2833000314981,5
1,0,301.1330000875145,5
1,-60,288.3056002022326,5
1,180,405.24749996192753,5
1,-180,405.24749996192753,5
1,60,442.3849000880122,3
1,-90,576.5797000197322,4
1,-120,560.432199882865,5
0,90,522.9875000943989,4
0,-30,596.6191999898851,4
1,180,441.90649993769824,4
1,-180,441.90649993769824,4
1,90,409.97169984556734,4
1,-30,372.60710008494556,4
1,0,440.7306998321414,3
1,180,336.74460000410676,3
1,-180,336.74460000410676,3
0,-60,451.43359995499253,5
1,-60,471.7962998250127,5
1,90,600.0620001280308,3
1,30,746.9925000616909,4
1,-30,512.2290000138432,4
