Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,701.0666000978276,2
1,-60,574.552099974379,1
0,60,548.6603000289947,0
1,150,678.8320999448374,2
1,-30,436.35170004285874,1
1,-60,377.2909000371769,1
1,-60,648.849300047867,0
1,180,525.2952999989689,0
1,-180,525.2952999989689,0
1,60,394.5444999817014,0
1,180,475.9013999109343,2
1,-180,475.9013999109343,2
1,30,478.6799999973923,1
1,-120,629.7078000470251,2
1,-30,490.16820004630836,1
1,-150,597.9985999264941,2
0,120,554.0762999416515,0
1,60,676.990200005956,2
1,180,496.37969996269794,2
1,-180,496.37969996269794,2
1,-120,480.09869997344913,0
1,-120,604.6618000227213,1
1,120,599.1214999784902,2
1,30,479.09940004769715,0
1,-150,539.5537999547273,1
1,120,471.4063000255451,0
1,-90,598.9083999856562,2
1,0,509.17329993985595,1
1,0,531.1791999819875,2
1,-90,513.4771999991685,2
1,60,522.7537999716774,4
1,-120,724.3441000436619,5
1,30,513.1272000116483,4
1,-150,484.16990000709893,3
1,-30,484.03560003221037,4
1,150,776.3801999944449,3
1,150,562.1230999794975,4
1,120,525.363799938485,3
1,0,571.4847000171617,5
1,-90,597.5251999306679,4
1,90,547.2876000539586,3
1,-120,554.0336999665201,4
1,0,425.44900002844633,4
1,60,600.5031999056414,5
1,120,507.90549994867297,4
1,-90,576.8745999639109,3
1,90,589.630400002487,5
1,-90,730.5093999575079,4
1,150,419.09199993547054,3
1,-30,559.9002999342233,3
0,90,441.70500006016346,5
0,180,519.4354999666289,3
0,-180,519.4354999666289,3
1,90,477.0916000097245,4
1,180,648.5781999626383,4
1,-180,648.5781999626383,4
0,90,478.6470999797061,5
1,-60,551.6150000593811,4
1,90,513.1806000690162,4
1,30,544.8230000301451,3
