Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30,464.490499984473,1
1,90,635.0183000289835,1
1,-30,352.96250000502914,0
1,-150,634.7102000112645,0
1,60,430.9653000058606,2
1,90,570.4142999569885,0
1,-90,710.15840000147,0
1,-60,521.9478000039235,2
1,0,475.2922999872826,2
1,-60,470.8643999733031,1
1,-30,543.7195000089705,0
1,-30,400.5640000072308,1
1,180,579.8359000440687,1
1,-60,512.4372999966145,2
1,-120,585.4098999956623,0
1,120,545.7219000058249,2
1,-60,489.6261999933049,1
1,90,526.1761000114493,1
1,0,399.4351999685168,1
1,-150,657.4942999836057,1
1,150,666.3083999850787,0
1,90,527.3103000330739,1
1,120,433.5404999987222,1
1,30,464.0158000369556,1
1,30,474.3250000141561,2
1,-90,565.332200025674,5
1,90,843.7640999876894,3
1,-30,468.21820002188906,5
1,180,719.3803000231273,3
1,60,534.2673999806866,4
1,30,596.6374999810942,4
1,-90,732.1438000039198,3
1,-90,719.7245000246912,3
1,-60,516.1143999979831,5
1,120,556.6323000206612,5
1,60,678.9823999828659,4
1,60,440.2437000502832,5
1,0,449.8313000043854,5
1,-90,987.0271999938414,4
1,180,474.0061000306159,5
1,0,502.2779999966733,5
1,0,448.5254999566823,5
1,180,686.5839000060223,4
1,180,490.9045000062324,5
1,90,487.09390003606677,5
1,-150,613.4576000007801,4
1,-90,572.9464999716729,5
1,-30,589.2562000048347,3
1,120,444.76159999286756,5
1,30,572.7374000092968,3
1,-180,579.84,1
1,-180,719.38,3
1,-180,474.01,5
1,-180,686.58,4
1,-180,490.9,5
