Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,421.43449998949654,1
1,150,303.98389999428764,1
1,-120,343.21700001275167,1
1,180,304.02199999336153,1
1,-90,370.70129997702315,0
1,-90,278.41249998565763,0
1,-150,501.6425999896601,2
1,-150,328.85099999513477,1
1,-30,347.50850000674836,1
1,60,341.71000000461936,1
1,-60,327.6328999749385,0
1,0,319.4734999819193,1
1,-60,271.5102999904193,1
1,-30,311.3041000000667,0
1,120,433.7260000142269,2
0,90,399.4908999851905,1
0,90,445.5334000198636,2
0,90,351.102699988056,1
1,90,374.96719997981563,2
1,-60,360.0927999909036,2
1,60,407.014399996493,1
1,150,441.78879999928176,2
1,-120,424.504199993331,1
1,90,395.05570000293665,2
1,0,264.6572000198066,0
1,30,471.86529999854974,1
1,-120,426.98039998905733,2
1,30,333.68670000019483,1
1,150,1173.6789999962784,4
1,-60,645.3275999778416,5
1,120,743.3270000005141,5
1,60,343.93060000403784,3
0,90,789.644000000786,5
0,90,638.0466000086162,4
1,90,640.8504999966826,5
1,60,641.7129000150599,3
0,30,453.7597999991849,3
1,30,335.87649999791756,3
0,120,681.6779999902938,5
1,120,1015.6713000000454,4
1,30,691.4918999795336,5
1,-150,862.8754999921657,4
1,150,824.7601999868639,4
1,-120,762.8838000204414,5
1,0,590.9177999969106,4
1,60,702.1695000261534,5
1,-90,755.9391000217292,4
1,120,645.156699986197,4
1,90,556.9796000167262,5
0,180,731.1123000076041,5
1,180,697.4857999852393,4
0,180,757.0993999801576,3
0,180,584.9550999959465,3
0,180,913.5539999955799,5
1,180,664.4851000132039,5
1,-30,684.3710000070278,5
0,0,680.1283999779262,4
1,0,558.3330999910831,4
1,-90,675.4823000195902,4
1,-150,662.3106999872252,4
0,180,535.6492999966722,3
1,180,666.8407999936026,4
1,-30,725.3972000002395,4
1,-180,304.02,1
0,-180,731.11,5
1,-180,697.49,4
0,-180,757.1,3
0,-180,584.96,3
0,-180,913.55,5
1,-180,664.49,5
0,-180,535.65,3
1,-180,666.84,4
