Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,397.77850004285574,2
1,-120,539.217000067234,2
1,-60,694.141700103879,0
1,30,503.1307001449168,2
1,-120,1042.1172999162227,1
1,0,482.67160000652075,2
1,120,693.3449999745935,0
1,90,536.6178000662476,2
1,-150,598.0683999918401,1
1,180,487.8023999594152,2
1,-150,518.3825999815017,2
1,-90,634.5902000870556,0
1,-90,543.6668998412788,2
1,30,383.6684000529349,2
1,-30,676.1424999535084,0
1,180,1119.734100004658,0
1,180,533.0710999518633,0
1,30,514.9135998766869,2
1,30,629.4510000701994,0
1,120,659.5250001959503,1
1,120,505.5044998265803,2
1,-60,514.0034998152405,2
1,-120,459.81450000219047,2
1,-90,717.2273999862373,0
1,60,587.7490999959409,0
1,-120,927.0194998793304,5
1,-30,632.0402002278715,3
1,-90,839.1668998487294,5
1,180,564.190200002864,4
1,-120,569.3404999878258,4
1,150,489.9578999578953,4
1,180,848.349400036037,5
1,60,590.4018999394029,3
1,90,758.2487998846918,4
1,30,803.2585000004619,5
1,-90,622.3001998700202,5
1,-90,636.8738000132143,4
1,-90,688.7369001600891,5
1,120,680.7803999949247,4
1,30,602.4856999833137,3
0,90,1127.7261999752373,4
1,90,659.3123000897467,3
0,0,928.7326000016183,5
1,0,629.4902001358569,4
1,180,610.4884999189526,5
1,-60,683.4098998773843,3
1,-60,1060.6466000285,5
1,150,724.6549999658018,3
1,0,556.725199971348,5
1,90,561.0460999272764,3
1,-150,582.0441000945866,4
1,60,534.1441998574883,3
