Correct Response,Height (deg),Reaction Time (ms),Target
1,4.0,518.4232999421656,0
1,2.83,482.75989986397326,0
1,1.0,334.75530001707375,1
1,7.0,451.33340003341436,0
1,0.35,431.2591999154538,1
0,0.5,325.24260010942817,0
0,1.41,622.869800016284,1
1,5.29,527.8412000592798,2
1,7.0,441.79240002669394,0
1,0.5,366.80519993789494,0
1,0.25,630.8844000417739,2
1,2.83,318.69749998115003,1
1,0.5,438.05619998276234,2
1,2.0,408.01340009458363,1
1,5.29,550.9147999659181,0
1,1.0,413.99199998378754,2
1,5.29,561.9000999107957,1
1,2.83,379.8265999034047,2
1,1.41,442.80370016023517,1
1,0.25,359.28539995476604,1
1,0.35,350.7735002171248,1
1,1.41,299.91549992375076,1
1,0.35,498.0086001418531,2
1,0.71,310.8815000709146,2
1,0.5,536.9849998354912,1
0,7.0,504.5734000708908,2
0,7.0,433.79310000129044,1
1,1.0,398.9355000052601,2
1,0.25,627.7339001502842,0
1,1.41,574.7388998828828,3
1,2.0,359.2477999012917,3
0,0.35,362.22860001400113,4
1,4.0,436.4080000054091,3
1,0.71,405.6015998907387,5
1,2.83,361.445099985227,4
1,7.0,357.80420008488,4
1,0.71,308.5114000681788,4
1,4.0,434.22630004025996,3
1,7.0,442.70260020531714,3
1,0.71,444.5520000848919,5
1,5.29,436.28299998492,3
1,1.0,424.22069998830557,3
1,2.0,417.02619980461895,5
1,2.83,480.2318000551313,4
1,2.0,475.7121998667717,3
1,7.0,438.7021001279354,4
1,1.41,362.8814000952989,4
1,4.0,428.8473000600934,3
1,0.71,442.6159001272172,5
1,2.0,282.53050002641976,4
1,5.29,463.99120002426207,5
1,1.0,490.8704999219626,3
1,0.25,603.1129999868572,3
1,0.5,466.8655001409352,5
1,0.35,485.8999000247568,4
