Correct Response,Height (deg),Reaction Time (ms),Target
1,1.0,487.53540002182126,0
1,2.0,542.0118000442162,0
1,4.0,493.0213000010699,2
1,2.83,595.2376999743283,1
1,0.71,650.2603999655694,0
1,0.35,443.1811999497004,0
1,2.0,651.5627999873832,2
1,7.0,401.17980003962293,0
1,1.41,509.8255999586545,2
1,5.29,739.6349000013433,2
1,4.0,582.8475999846123,1
1,5.29,313.8871999657713,0
1,5.29,550.9487999919802,2
1,1.0,383.5701000029221,0
1,0.71,376.28270004317164,1
1,7.0,307.7874000268057,0
1,2.83,419.1535999965854,0
1,0.35,539.4355999855325,0
1,4.0,580.0124999918044,2
1,0.25,604.8454000232741,0
0,0.5,524.8292000000365,2
1,1.0,601.5077999876812,1
1,1.41,445.4466000283137,2
1,1.41,521.8390000485815,2
1,7.0,586.5058999592438,2
1,1.0,520.5959000126459,0
1,0.5,521.5046000052243,0
1,0.25,803.7188999555074,2
1,4.0,524.3839999861084,0
1,2.0,540.353799992241,0
1,0.5,432.68860003119335,0
1,2.0,346.65949997399,1
1,1.41,515.5898000197485,1
1,0.71,666.5422000191174,1
1,4.0,640.1874999832362,0
1,0.71,511.62330002663657,1
1,2.83,933.0128999976441,5
1,0.5,547.7477000062354,3
1,5.29,632.5011000121012,5
1,1.41,689.2034999877214,3
1,0.5,475.5069999922998,3
0,7.0,845.2306999792345,5
1,2.0,565.9739999650046,5
1,0.5,1148.791800017003,4
1,1.0,484.9362999633886,3
1,0.71,517.2473999522626,4
1,0.35,732.7746999766678,5
0,4.0,368.6080999872647,4
1,0.25,902.3636999740265,5
1,0.5,685.9843999813311,5
1,7.0,543.0291999913752,5
1,0.25,652.6612000274472,5
1,5.29,584.6424999730662,5
1,0.35,856.2940999949351,4
1,2.83,571.1825999864377,5
1,4.0,371.6562000303529,3
1,2.83,531.0797000387684,3
1,2.0,612.0000000195578,3
1,0.5,477.67099999729544,3
1,4.0,518.1850000484847,4
1,0.71,549.8659000117332,3
1,7.0,547.5729000139982,5
1,1.41,366.3485999535769,3
1,0.25,853.8734999569133,5
1,1.0,487.73380001913756,5
1,1.41,688.7511999779381,5
1,5.29,545.0624999906868,5
1,0.35,390.08229999709874,5
1,0.35,640.4582000072114,3
1,7.0,503.48260003048927,3
1,0.35,1098.8903000219725,5
1,0.25,717.8353000166826,5
1,2.83,368.5274000130594,3
