Correct Response,Height (deg),Reaction Time (ms),Target
1,4.0,616.7546000224911,0
1,5.29,374.9715999593399,2
1,7.0,599.8334999904409,1
1,7.0,364.25810004681347,0
1,0.5,593.5556999766641,1
1,0.71,565.5656000026875,1
1,2.83,788.139000012111,1
1,0.5,335.4957000129297,2
1,0.25,420.59449997128917,2
1,5.29,382.51399999814106,2
1,0.71,444.9885999793559,1
1,0.5,261.0309000020288,0
1,4.0,552.6770000006445,1
1,0.25,553.1099000373297,0
0,0.25,611.7546000178345,1
1,1.41,653.2709000176192,1
1,1.41,802.0937999836542,2
1,0.35,552.6620000028424,0
1,1.0,219.98090000221504,2
1,0.35,389.7583000371605,1
1,4.0,501.69130001546813,1
1,0.5,648.3296999950335,2
1,2.0,467.4913000208698,2
0,2.0,422.4657000168599,0
1,7.0,566.2905999934674,1
1,1.0,445.10299997733904,2
1,1.0,499.83330001220105,0
1,4.0,529.2295999834687,4
1,4.0,382.77269998895,5
1,2.83,456.6590000186488,5
1,2.83,564.4227999737859,3
1,0.71,542.6248000013084,5
1,1.41,438.04470001583917,3
1,1.0,432.4171000053547,5
1,2.0,456.2643999825604,5
1,2.0,403.6408999828063,5
1,2.83,420.3579000323452,4
1,0.25,601.7139999904111,3
1,7.0,623.2269999464415,3
1,0.35,527.199600009285,3
1,2.83,556.3496999685094,3
0,0.71,457.3209999953769,3
1,5.29,582.4259999799915,4
1,0.25,413.69660000879315,5
1,7.0,801.0532999770157,3
1,1.41,490.8586000102013,5
1,0.35,485.88600003955884,3
1,0.71,491.1956000151485,4
1,0.35,620.24930003196,4
1,1.0,629.9792000218667,3
1,5.29,577.0466999975406,3
1,5.29,497.1956999516487,5
1,2.0,902.7694999832102,5
