Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,439.71639981865883,2
1,0.71,515.4177999906242,0
1,0.71,371.4791999049485,2
1,2.83,488.5697000976652,0
1,2.83,498.5891999062151,1
1,0.35,418.2087000776082,0
1,2.0,424.1569002009928,1
1,0.5,441.03929999656975,2
1,0.25,401.7571000698954,0
1,0.25,405.2258999403566,0
0,1.41,364.20109978318214,2
1,1.0,459.4153998736292,2
1,7.0,537.5769000351429,0
1,5.29,419.2463999465108,1
0,0.25,571.0424000248313,1
1,2.0,419.1581000890583,0
1,4.0,502.3611999899149,1
1,4.0,449.3023999352008,2
1,0.35,542.4234999194741,1
1,1.41,464.3341998420656,2
1,4.0,555.8118000011891,1
1,1.0,428.6573000103235,1
1,5.29,462.8234002124518,0
1,7.0,590.0966000594199,2
1,2.0,507.47009989246726,1
1,5.29,400.4902999699116,2
1,0.71,468.7814998291433,0
0,2.83,402.51750003919005,3
1,1.0,390.92770003154874,3
1,4.0,459.5240998864174,5
1,5.29,367.7326000146568,4
1,1.41,457.84890016913414,5
1,0.5,453.1813000179827,3
1,7.0,500.94770005345345,3
1,1.0,466.1655001658946,4
1,7.0,499.83840010501444,3
1,4.0,601.9976999927312,5
1,0.35,547.1759000178427,3
1,2.0,453.7027000300586,3
0,0.71,395.67359996400774,5
1,1.0,385.3564999848604,4
1,1.41,423.81519981101155,4
1,0.25,357.5991000365466,5
1,0.5,518.2129998542368,4
1,2.83,484.83099991828203,4
1,0.35,450.83110005035996,3
1,2.0,502.45259998738766,5
1,0.25,337.80540007539093,4
1,2.83,462.70339999720454,4
1,7.0,513.4811000283808,3
1,1.41,427.00209997966886,4
1,0.5,406.2231000829488,3
0,0.5,344.337199985981,3
1,0.71,406.0234999600798,4
0,0.5,487.6476001776755,5
1,0.5,704.1361999548972,5
