Correct Response,Height (deg),Reaction Time (ms),Target
1,5.29,455.2913000197336,0
1,1.0,451.9486000617221,1
0,0.35,547.1261999891326,2
0,4.0,471.61850001152607,2
0,0.25,642.9181000539288,1
1,0.25,551.1222000322491,1
0,4.0,465.64820006910713,2
1,4.0,537.1334000346437,2
1,7.0,410.8543999581784,2
1,0.35,467.6726000006497,2
1,5.29,454.9057999947295,0
1,2.0,465.495299952589,1
1,0.71,378.3702999907732,1
1,7.0,409.37110007230194,1
1,1.0,443.0066999602318,2
1,5.29,481.13849997475745,1
1,0.35,440.3377000098303,1
1,0.5,402.40710001394154,1
1,0.5,394.5143999853358,2
0,7.0,619.1277999286726,2
1,4.0,486.09940003093334,1
1,0.71,438.27779992438855,1
1,1.41,422.5474000531435,1
0,0.25,545.2055000323057,2
1,2.83,382.8458000761643,2
1,0.71,412.13670005977156,1
1,1.41,474.7573000467569,0
1,2.0,503.9818999911845,2
1,1.0,547.1127000027523,1
1,5.29,469.3483999553323,2
1,7.0,475.2773999325186,0
1,2.0,347.43500005874785,3
0,0.25,484.92100002199413,4
1,0.5,423.94159995906057,4
1,2.83,426.533600021638,4
1,4.0,432.8288999940455,3
1,0.25,444.9952999684215,4
1,2.83,477.2448000121117,3
1,2.0,354.5425000456348,3
1,0.71,442.7117999266088,4
1,0.35,633.5368999834359,3
0,5.29,589.1402999959141,4
1,0.5,540.3850999982283,5
0,0.25,537.1952999239043,3
1,0.25,651.4172000433505,4
1,2.0,439.66550001364203,4
1,7.0,487.87889996033164,4
1,0.35,427.1521999589354,4
1,0.25,628.0400999211893,3
1,1.0,449.35850001361223,3
1,1.0,491.90889991309496,5
1,1.41,653.5665999953821,5
1,1.41,472.9029000126943,5
1,4.0,476.85739997264,3
1,0.25,499.21820003960283,3
1,4.0,423.40100003361704,4
1,2.83,560.6365999528393,4
1,5.29,528.0834999256954,5
1,7.0,387.16020009901376,5
