Correct Response,Height (deg),Reaction Time (ms),Target
1,1.0,311.92790082097054,1
1,7.0,432.57082317397,2
1,0.5,456.394870005548,2
1,1.0,512.65855942294,0
1,0.35,885.8847778141499,0
1,0.71,399.2809189334512,2
1,2.83,486.39227234199643,2
0,0.71,477.2790117971599,1
1,0.71,586.1589025557041,1
1,1.0,393.3823366500437,2
1,4.0,389.8645548000932,2
1,1.41,499.66706911474466,0
1,4.0,475.2197476886213,2
1,0.71,365.435665179044,2
1,2.83,470.7581789083779,1
1,4.0,448.138015050441,2
1,7.0,366.9368491359055,2
1,0.25,594.774840105325,1
1,5.29,394.5749552771449,2
1,4.0,440.3859928101301,2
1,1.0,423.64017635956407,0
1,2.0,516.1254826784134,0
1,0.5,395.0709129534662,2
1,5.29,424.9846885763109,0
1,1.41,562.7570852488279,0
1,2.0,512.7937278561294,0
1,1.41,395.9198088236153,3
1,2.83,496.09603889659047,4
1,0.5,472.02862164378166,4
1,7.0,532.2879601120949,5
1,2.0,544.3510233275592,4
1,0.35,608.1697863377631,4
1,5.29,410.5807605050504,4
1,5.29,449.6429540999234,3
1,2.83,545.8457224853337,4
1,0.25,464.11344193294644,4
1,5.29,476.1573902182281,5
1,1.41,516.0783787108958,5
1,7.0,523.4156816117465,4
1,0.35,496.72682367637753,5
1,0.25,543.0433756522834,4
1,0.71,486.55747732520103,5
1,2.0,447.82671908289194,4
1,0.25,449.94469283521175,4
1,0.5,525.2759486287832,3
1,0.35,610.2102773115039,5
0,7.0,424.1306722946465,4
1,7.0,393.1836799569428,3
0,2.83,445.62921457365155,4
1,2.83,386.27714075520635,4
1,2.0,497.7781299352646,3
1,1.41,488.5638353265822,4
1,0.25,548.6839094050229,3
