Correct Response,Height,RT,Word
0,0.25,602.5588,2
1,0.25,485.8285001,2
1,1,388.4455,2
1,2,472.5398,0
1,4,428.2078001,0
1,4,415.8619,1
1,1.41,439.3303,1
1,1.41,399.6753001,1
1,2.83,339.1158,1
1,0.71,362.1396,1
1,2,495.504,0
1,0.25,422.8405001,2
1,5.29,395.1889,2
1,1.41,405.0295,2
0,2.83,547.2189,1
1,2.83,536.978,0
1,7,434.4358999,2
1,0.35,655.1384,0
0,0.5,554.7047001,1
1,0.5,416.5637,2
1,0.35,390.6860001,1
0,1.41,513.0951,0
1,1.41,399.029,2
1,0.71,526.4429,1
1,7,391.6961999,2
1,1.41,657.3534,0
1,0.35,642.0705,0
0,0.5,443.3346,0
0,0.5,419.8643,0
0,0.5,451.3875,1
0,0.5,499.8053,1
1,0.5,514.4556,2
1,7,642.434,0
1,2,436.0918999,5
1,0.35,720.8393,4
1,2,397.256,4
1,0.25,656.6622999,3
1,0.71,526.47,4
0,1,397.7688001,3
1,1,558.7638,3
1,0.5,439.5934999,5
1,2.83,605.2985,4
1,2.83,468.4773001,5
0,0.25,939.7532,4
1,0.25,542.5373,5
1,4,609.151,4
1,0.35,556.1906,5
1,2,622.496,3
1,0.25,703.6328,3
1,5.29,485.8955,4
1,5.29,699.7046001,3
1,4,573.9927,3
1,2.83,413.8077,5
1,1,517.9679,5
1,0.71,430.5941,4
0,7,471.6996,4
0,7,653.7531,4
1,7,577.4959,5
1,0.5,743.8015,3
1,0.5,446.1493,5
1,5.29,601.2563999,4
1,1,410.8292,4
