Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,560.2834999994375,0
1,0.25,689.4106999938376,0
1,7.0,631.4516999959014,0
1,7.0,500.24829996656626,1
1,2.83,473.9810000141151,1
1,4.0,500.25249999854714,2
1,1.0,374.69670001557097,2
1,0.71,359.56619999744,2
1,0.5,466.5261000012979,0
1,7.0,500.2027999693528,2
1,0.5,483.70009997999296,1
1,2.83,484.70880003552884,2
1,0.35,561.108100050129,1
1,0.71,486.97279998706654,1
1,0.35,502.43740004627034,2
1,2.0,508.2309999819845,1
1,1.0,558.9898999864236,1
1,0.25,429.04010001476854,0
1,5.29,464.6734999809414,1
1,7.0,529.7002999545075,1
1,5.29,441.98719999659806,1
1,5.29,319.4404999925755,2
0,0.71,528.3945999657735,0
1,0.71,411.4539999831468,1
1,0.35,845.6366999857128,1
1,0.71,499.7814999627881,2
1,2.0,562.8468000181019,5
1,2.83,426.44659999897704,4
1,0.5,585.1714000422508,4
1,1.0,548.9219999839552,4
1,1.0,468.7234999695793,4
1,0.25,652.9441000279039,5
1,5.29,614.8383999792859,3
1,4.0,472.92539995070547,3
1,2.83,429.1582999834791,4
1,2.0,441.28359999414533,5
1,0.5,591.8615999948233,4
1,4.0,535.8228000081144,5
1,4.0,621.5238000117242,4
1,0.5,569.8630000082776,5
1,7.0,551.2047000196762,5
1,2.83,543.0977000473067,3
1,1.0,613.4258999922313,3
1,5.29,496.3015000070445,3
1,5.29,397.26509997528046,3
1,5.29,433.7159999962896,3
1,1.41,548.1350999874994,5
1,0.25,574.6200000252575,3
1,4.0,521.831099988427,5
1,2.0,540.2442000308074,4
1,0.35,493.69259999040514,4
