Correct Response,Height (deg),Reaction Time (ms),Target
1,2.0,557.5183000176307,2
1,1.0,483.93400001741014,2
1,2.0,435.1909999962058,2
1,0.25,617.0361000106764,0
1,0.71,566.4029000029527,2
1,0.5,700.0790000013635,1
1,1.41,723.1355000106246,2
1,0.35,468.887199996328,0
1,0.25,502.274400000982,0
1,4.0,514.5480000058283,2
1,4.0,473.6222999920696,0
1,1.41,459.39089998072944,2
0,7.0,510.1980000029411,2
1,0.5,902.8347999840603,1
1,0.25,760.4120000026282,2
1,1.0,411.8443000182137,0
1,0.35,587.5455999915116,2
1,0.25,727.0001000136231,1
1,2.83,507.0282999943569,0
1,1.41,995.6408000137285,1
1,0.71,524.532900016578,2
1,7.0,403.8158000032976,0
1,2.83,698.8236999889464,2
1,0.71,736.1579000128527,1
1,0.71,836.8084999959078,2
1,0.71,467.5277000053879,0
1,0.35,532.5778999825102,3
1,2.83,532.2003000176605,3
1,0.35,611.1578000120912,3
1,5.29,395.121900014868,3
1,0.5,625.5922999983281,4
1,1.0,338.91019999218173,3
1,1.0,480.3552000078466,3
1,1.41,790.0453000031971,5
1,7.0,461.5500000066217,5
1,2.0,807.3687000135519,4
1,1.41,436.16100001899525,3
1,0.5,824.9438000196219,4
1,5.29,525.075700016981,5
1,1.0,479.7446999867074,3
0,0.25,857.4938999948185,4
1,5.29,508.89529997884296,4
0,2.0,-102.56,5
1,4.0,437.7426999847498,3
1,0.25,439.80629998194985,4
1,7.0,1066.6256000106782,5
1,4.0,746.7813999967743,4
1,7.0,1049.9596000002325,3
1,5.29,911.9166000157688,4
1,2.83,410.00659999489784,5
1,4.0,523.6775000223984,4
1,2.83,707.2184999990836,5
1,2.0,410.9261999831628,5
