Correct Response,Height (deg),Reaction Time (ms),Target
1,1.0,501.6915999989724,2
1,2.0,615.8394999915035,1
1,4.0,484.18769999663346,0
1,7.0,389.484700001427,0
1,2.83,457.8162000074517,0
1,4.0,498.0666000014171,0
1,1.0,403.7459000068484,0
1,0.71,388.5780999957351,2
1,0.71,313.9263000015635,1
1,7.0,355.66420000069775,1
1,0.5,450.3021999957273,0
1,0.71,550.7401000035461,1
1,1.0,512.3932999962708,1
1,5.29,479.178500009235,0
1,1.41,375.90540000784677,2
1,0.35,474.9196000015363,0
1,0.71,421.1106999977492,1
1,0.25,509.4693000104744,2
1,1.0,431.81540000333916,0
1,0.5,437.96100000001024,2
1,2.0,615.3402000021888,2
1,1.41,430.59470000700094,0
1,1.41,562.2633999995887,2
1,0.5,434.6302999878535,1
1,4.0,393.71109999448527,2
1,0.35,472.63169999897946,4
1,4.0,564.2954000035534,4
1,0.25,501.3089000098407,5
1,5.29,506.6990000017686,5
1,7.0,459.9060000004247,4
1,0.71,445.4881000096211,5
1,0.25,598.3525000014342,5
1,0.25,415.3250000057742,5
1,5.29,436.9562000032747,4
1,5.29,280.414699995541,3
1,0.35,458.7099000022281,3
1,0.35,410.45969999360386,3
1,2.83,476.0371999986237,5
1,7.0,444.09899999701884,5
1,7.0,457.6224000015063,3
1,5.29,442.3150000042515,5
1,2.0,414.31910000066273,4
1,1.41,347.6420999908587,3
1,1.0,411.21390000300016,3
1,2.83,409.38220001081936,3
1,2.0,459.7346000049729,5
1,2.0,459.05940000049304,5
1,2.83,443.9231999971671,5
1,0.5,372.501100002788,5
1,4.0,490.630899989279,5
