Correct Response,Height (deg),Reaction Time (ms),Target
0,1.41,459.3552999985591,1
0,7.0,486.5379999946058,1
1,2.83,372.9248999706656,1
1,2.0,445.37840009156616,2
0,0.5,476.35339997664096,1
1,1.41,405.1077000885457,1
1,4.0,368.9953999682516,1
0,2.0,394.33150010604413,2
0,7.0,565.7245999290794,2
1,0.71,400.5926000508666,1
0,7.0,527.80430001162,0
1,0.35,468.21700007144364,1
1,1.0,446.1395999505371,1
1,4.0,416.1427999469638,1
1,4.0,434.0665999888629,2
1,0.35,472.5035999990255,1
1,2.83,470.7129999851063,0
0,4.0,660.4797000154108,1
1,1.41,448.8297999459505,1
1,0.71,529.3666000333801,0
1,1.41,574.3370999670774,2
1,5.29,444.5663999621943,1
0,0.35,501.06720003254713,0
1,0.25,791.6302000493929,0
1,4.0,507.13340000670405,1
1,5.29,541.3754999726266,0
1,1.0,469.95100000362845,2
1,0.35,401.230400017947,1
1,0.25,422.14760003566744,1
1,0.71,480.64519994381817,2
0,5.29,502.8700000229478,2
1,7.0,521.6448999098689,2
1,2.0,419.33810006316753,2
0,0.71,377.1347000119463,1
1,5.29,481.3203000785038,2
0,7.0,435.2680000565201,5
0,5.29,450.4686999689043,5
1,0.5,628.3362999647111,3
1,2.0,441.6768999626115,5
1,0.5,511.40990009021016,5
1,0.5,476.69450001280757,4
1,0.71,486.9510999969393,4
1,4.0,528.8682999643684,3
1,2.83,295.06219998888673,3
1,0.25,614.5426999400556,3
1,2.83,326.07949996322395,3
0,2.83,465.45209997288885,4
1,2.0,313.61649994228037,3
0,1.0,502.6973999892548,5
0,0.5,542.7713998914883,4
1,5.29,396.51899999894204,4
1,1.41,555.5164999650046,5
1,0.5,391.69409993059935,5
1,2.0,545.0540000428632,3
0,1.0,552.2665000143647,3
1,0.25,403.96050008434804,3
1,1.41,392.18679995696994,3
1,7.0,692.6482000244036,4
1,0.5,568.7793000224233,3
1,1.0,563.7727999682725,4
1,7.0,524.607099997364,3
1,2.83,460.4725000071526,5
0,7.0,506.97279994796963,5
1,0.35,647.2684000008926,5
1,7.0,681.2986999838799,4
1,1.0,478.89490000393243,5
1,0.71,560.6659999438748,5
