Correct Response,Height (deg),Reaction Time (ms),Target
1,2.0,665.8500094749033,1
1,1.41,769.2054190523922,1
1,5.29,696.2986543625593,2
0,0.35,819.6234327591956,2
0,0.35,-109.0,1
1,0.35,567.2674646452069,0
1,0.71,484.30809069797397,2
1,7.0,683.0238580554724,2
1,0.71,855.8337862454355,1
1,2.83,763.9802877642214,0
1,1.0,897.0706143267453,0
1,2.83,693.7366064488888,0
1,0.25,953.7316157333553,1
1,7.0,612.7279523611069,0
1,1.0,672.9954827427864,0
1,1.41,697.5882124938071,1
1,2.83,592.8207064829767,1
1,0.5,862.1692752316594,1
1,0.35,638.5474341772497,0
1,0.35,552.9847100228071,0
1,2.0,991.181691814214,0
1,1.41,662.1656568571925,1
1,0.35,684.558151461184,0
1,1.0,581.9724483266473,1
1,0.25,988.1291474997997,2
1,4.0,598.29671837762,2
1,5.29,433.2248179093003,2
1,0.5,731.4389275237918,5
1,4.0,659.3117683045566,3
1,2.83,461.9241293370724,4
0,0.71,705.3637869507074,4
0,0.71,567.6415662132204,5
1,0.71,490.9535103328526,3
1,1.41,1186.511431992054,3
1,2.0,1179.4615319781005,4
0,1.0,921.9452852234244,4
1,1.0,891.3225598484278,3
1,0.5,780.6127813495696,3
0,7.0,983.6542663946748,4
1,7.0,692.8402648158371,3
0,4.0,1023.8404704108834,5
1,4.0,788.2886865958571,4
0,4.0,-109.0,3
0,4.0,717.9269037991762,5
1,4.0,648.1699637919664,3
1,0.25,648.5570358894765,5
1,0.5,509.0219938978553,4
0,2.0,1028.2969197109342,5
1,2.0,648.3761292733252,3
1,4.0,741.5628756247461,5
0,1.0,968.573474496603,4
1,1.0,806.1185774244368,4
0,5.29,552.8717289529741,5
0,5.29,1007.508009377867,4
1,5.29,853.3850602656603,3
1,2.0,924.1516643054783,5
1,2.83,600.3058060854673,3
1,1.41,611.79884307459,5
1,0.25,1031.5945415608585,3
1,0.5,498.2501940652728,4
0,7.0,799.617882989347,5
0,7.0,690.5308032259345,4
1,7.0,583.5292704254389,4
1,5.29,773.1205133572221,5
1,0.71,845.616995062679,4
