Correct Response,Height (deg),Reaction Time (ms),Target
1,1.0,521.7468001037091,1
1,2.0,484.05810008712115,1
1,4.0,586.3715001004934,1
1,0.35,421.27109999723734,2
1,1.41,451.09190005764367,0
1,7.0,463.06050015568735,2
1,1.0,553.9134000982344,1
1,1.41,521.6078998609632,0
1,1.41,494.57789986349644,2
1,4.0,592.7265999461711,1
1,5.29,459.88379983186724,2
1,0.35,544.32239994362,0
1,5.29,467.28220005474986,1
1,0.5,428.68399998128416,0
1,2.83,781.5892000771314,2
1,0.25,415.3042999650538,2
1,0.71,472.16119995296003,2
1,1.0,450.7120999596268,0
1,7.0,402.16340013735,1
1,2.0,465.72249993637206,2
1,5.29,403.2053000382334,1
1,0.25,585.2533998522163,0
1,2.83,514.4249999984354,1
1,2.83,387.7880001063645,1
1,2.83,455.95870009578766,2
1,2.0,351.3970000758022,5
1,4.0,417.62610018208625,4
0,0.71,388.209699941352,5
1,0.35,488.45829983197154,4
1,0.71,528.6711999769509,5
1,0.35,384.9350999198109,4
1,7.0,662.1814999352396,5
1,5.29,480.4370999890566,4
0,0.25,475.0913999132067,5
1,0.71,496.34579993739726,3
1,0.25,515.1876998688281,3
1,2.83,457.9639998818934,3
1,0.25,363.5636000517011,4
1,2.0,529.2765000458062,3
1,7.0,461.3633000380546,4
1,7.0,465.31610010147097,3
1,1.0,620.2681998810917,3
1,0.25,495.9610000341386,5
1,0.5,501.73459999218585,4
1,1.41,569.1420001066476,5
1,5.29,344.40729982174935,4
1,1.41,470.7847000654042,5
1,0.5,512.2809000867605,3
1,2.0,543.6712001073361,5
1,0.5,360.1344000171125,4
1,0.71,516.6759000248462,4
1,4.0,746.3175999554992,5
