Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,435.6426999723166,2
1,1.0,521.6041999222339,1
1,0.35,338.1846999102831,0
1,2.83,428.4828000520915,2
1,0.5,491.71049988880753,0
1,0.71,454.3766000127047,2
1,1.0,427.6733999425173,1
1,0.5,509.18100008793175,2
1,0.25,484.7404999011755,2
1,7.0,388.021399993971,2
0,0.35,498.87539984710514,1
1,0.35,483.1987999198586,2
1,0.25,451.03179992228746,2
1,0.5,480.00629994139075,0
1,7.0,410.2475999673456,2
1,0.25,428.4515001630038,1
1,4.0,391.9757998367399,2
1,5.29,491.65360003761947,1
1,2.0,401.05169991083443,1
1,2.83,455.8325999235362,0
1,2.0,395.7025001575798,2
1,2.0,457.15099995076656,0
1,4.0,440.36649985291064,2
1,4.0,367.06089999578893,2
1,0.35,423.51799996621907,2
1,7.0,452.1107999892533,2
1,7.0,455.4985999414325,4
1,0.5,485.80750010959804,3
1,1.0,400.34980003774166,3
1,2.83,599.9347998579592,5
1,0.35,746.7201000829787,4
1,5.29,515.9846998570115,4
1,5.29,373.30699994280934,4
1,1.41,390.8798999903351,3
1,0.35,423.2542000529915,5
1,2.83,459.37640013225376,4
1,4.0,556.9924998847396,5
1,1.0,453.15009987033903,3
1,4.0,383.0893000406772,5
1,0.71,633.786899997443,5
1,1.0,537.2023999509961,4
1,1.41,526.7040999890864,4
1,2.0,616.9278999143839,3
1,1.41,618.65089999564,5
0,5.29,465.8575998903811,3
1,5.29,383.82859996572137,3
1,0.25,568.6480999277533,3
1,0.5,670.3939000429214,4
1,2.0,507.12160000629723,4
1,1.41,427.7040001755208,3
0,0.71,727.0261999504269,5
1,0.71,559.6203999878467,4
1,0.71,838.6267000162602,4
