CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,-60,296.610800004564,0
1,0,221.515899968799,1
1,0,397.990200007334,0
1,-90,464.402499995194,0
1,-60,343.764100028202,0
1,-90,404.818000018131,0
1,-30,479.83599999221,0
1,150,261.907200017013,1
1,-90,401.87849998707,1
1,-60,336.38919998426,1
1,0,303.355499964673,0
0,150,301.506799974013,1
1,0,578.724100000691,0
1,0,232.834299947135,1
1,60,534.606399983168,1
1,-30,427.778099991847,0
1,120,506.455900010187,1
1,-150,312.770900004543,1
1,90,418.804900001269,0
1,150,471.822399974335,0
1,60,300.708900010213,1
0,180,313.667499963194,0
1,30,454.580800004769,0
1,30,520.192300006747,1
1,0,428.674700008705,1
1,-30,454.920300028753,1
1,-150,424.615700009745,1
1,180,420.895400028676,0
1,150,345.929199983366,1
0,180,548.634500047192,1
1,180,519.766299964394,1
1,30,477.454600019846,0
1,-30,271.952300020494,0
1,150,326.279600013513,1
1,180,409.026499991305,1
1,-90,383.810300009791,1
1,60,466.653699965682,1
1,150,307.649200004525,0
1,-60,440.610399972647,0
1,90,344.901500015985,1
1,120,378.748299998697,1
1,-90,459.231099965982,0
1,120,425.504800027702,1
0,-30,546.94629999809,0
1,-90,372.563999998383,1
1,180,313.447600034997,0
1,90,461.18309998652,0
1,-30,337.56300001638,0
1,120,381.629399992526,1
1,-30,243.266099984758,0
1,-60,469.200499975123,0
1,60,322.52979998244,1
1,60,369.189699974377,0
1,90,599.715400000568,0
1,-60,329.175700005144,0
1,30,291.864000007045,0
1,-30,381.487800020259,0
1,90,277.481699981727,1
1,60,301.826800024137,0
1,0,271.158700031228,1
1,180,364.641700035427,0
0,-120,265.333500029519,1
1,-60,374.726400049403,0
1,-90,454.818800012581,0
1,90,297.126200029161,1
1,-120,600.253699966706,0
0,90,547.031100003514,1
1,60,558.162700014655,1
1,-120,372.364699994214,0
1,30,338.589099971578,1
1,-60,350.256299986504,0
1,-150,352.95960002346,0
1,30,430.279199944343,0
1,90,272.067100021522,1
1,150,352.601599975023,1
1,-120,344.75779996952,0
1,60,302.807899985928,0
1,0,323.37849998381,0
1,-60,176.991900000721,1
1,0,258.150999995414,1
1,180,334.13850001758,0
1,120,391.877200026065,0
1,-120,265.526200041641,1
1,30,386.349300018046,0
1,120,492.391700020526,0
1,0,402.939300031867,0
1,120,333.575500037987,1
1,-150,326.413700045086,1
1,30,308.339100019075,0
1,180,262.551599976141,1
0,180,480.844699989539,1
0,150,536.303599984385,1
1,150,500.406700049061,0
1,-120,378.77220000606,0
1,-150,315.971099983435,0
1,-60,417.667500013486,0
1,60,347.914899969473,0
1,120,324.422300015576,0
1,0,430.529100042768,0
1,90,471.467799951788,1
1,0,421.102799978107,0
1,180,356.877699997276,0
1,-120,406.87809998868,1
1,0,390.359899997711,0
1,-90,396.562199960463,0
0,-30,326.442900034599,1
1,90,347.850099999923,1
1,120,444.185899957083,1
1,-150,427.234600044321,1
1,-60,440.466999986675,1
1,150,641.545999948867,1
1,120,352.636500007939,0
1,150,939.317799967248,0
1,-120,407.038099984638,1
1,-120,306.303199999966,0
1,30,360.702800019644,0
1,-150,412.051699976437,0
1,-150,693.024800021667,0
0,-90,641.237799988594,1
1,30,1612.95560000231,0
1,120,329.63009997271,1
1,-120,575.762799978256,1
0,-150,690.576700007077,1
1,-120,292.170100009535,0
1,-150,237.355199970771,1
0,0,347.14369997615,0
1,90,404.586500001606,1
1,-30,411.623999979347,1
1,-150,518.442000008654,0
1,-90,364.029800032731,1
1,-120,338.690799989272,1
1,-60,410.877800001763,1
1,60,230.422599976882,0
1,90,409.098999961279,0
1,0,425.243600017857,0
0,-30,412.135999978054,1
1,-90,287.04589999048,1
1,0,275.693599986844,1
1,120,356.987399959471,1
1,150,314.006899986416,1
1,0,308.779199994169,1
1,-30,247.412900011986,1
1,180,262.461799990851,1
1,-150,297.752199964598,1
1,0,318.524999988731,0
1,30,237.025300019886,1
1,30,209.803100014105,1
1,60,271.324400012381,1
1,-90,301.183800017461,0
1,60,379.321199995466,0
1,150,434.959000013769,1
1,180,338.638800000772,0
1,180,364.082699969877,1
1,-30,351.076100000646,0
1,-120,413.06090003578,0
1,90,346.314200004563,0
1,180,263.560300031677,0
1,150,230.55910002673,1
1,-30,272.675900000613,1
1,-90,319.834700007923,0
1,-150,265.935400014278,1
1,0,315.184699990787,1
1,-30,372.108300020918,0
0,-180,313.67,0
1,-180,420.9,0
0,-180,548.63,1
1,-180,519.77,1
1,-180,409.03,1
1,-180,313.45,0
1,-180,364.64,0
1,-180,334.14,0
1,-180,262.55,1
0,-180,480.84,1
1,-180,356.88,0
1,-180,262.46,1
1,-180,338.64,0
1,-180,364.08,1
1,-180,263.56,0
