CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,120,437.516599989031,0
1,120,591.59039997845,1
1,-150,550.639500005636,0
0,-150,378.634800007567,1
1,180,454.89669999457,1
1,0,401.147899982752,1
1,-150,465.884199985303,0
1,30,415.512500018813,0
1,-30,499.343199983705,1
1,-30,397.673700012965,0
1,30,424.9475000042,1
1,90,438.375600010622,1
1,-90,372.940500013065,0
1,0,417.220700016478,1
1,0,501.505900007905,1
1,-60,499.407400006894,0
1,0,509.649399996269,0
1,150,409.874299985822,1
1,30,625.786700003082,0
1,120,1074.56400001771,0
1,90,496.432799999602,1
1,60,468.205200021621,1
1,-120,439.505800001789,1
1,120,433.125399992568,1
1,-120,446.719300010009,1
1,120,706.663300000364,1
1,60,405.404500002041,1
1,-120,457.531799977878,1
1,60,634.308699992253,0
1,180,431.076000016183,1
1,120,443.210800011875,1
1,-60,372.160600011703,1
1,-60,416.542500003707,0
1,180,437.858100028243,1
1,-30,576.849300015019,1
1,-60,381.930600015912,1
1,90,519.227699995972,1
1,-120,606.275900013279,0
1,-150,609.773500015726,0
1,0,587.962300000945,1
1,-120,407.795000014594,1
1,0,625.298200008692,1
1,-120,399.553400006844,1
1,-30,571.074700020254,1
1,90,700.820099978009,0
1,150,400.195500006666,1
1,30,484.788400012767,0
1,60,512.354400017066,1
1,90,520.641200019745,0
1,180,565.855300003896,0
1,-60,800.115300001344,0
1,60,510.494499999331,0
0,-90,414.054999980144,0
1,60,541.830400013132,0
0,-60,504.18829997303,0
1,-30,473.423900003545,1
1,-30,500.578200016171,1
1,150,430.339999999851,0
1,-120,419.291800012579,1
1,30,621.568899988197,0
1,150,426.26539999852,1
1,-150,509.498999986099,1
1,0,423.562199991429,0
1,150,499.762700005667,0
1,90,494.170899976743,0
1,180,437.643699996406,1
1,-90,735.311200006399,1
1,-30,328.724300002214,0
1,-90,530.582299988018,0
1,-90,377.199499992421,0
1,-120,527.640599998413,1
1,180,439.895700002089,1
1,0,529.244199985405,1
1,60,470.828099999344,1
1,30,607.748299990781,0
1,150,463.614799992647,1
1,0,412.301799989073,1
1,-30,488.064000012819,1
1,0,483.277399974177,1
1,90,356.368400019128,1
1,-60,435.65070001292,0
1,-60,473.947699975688,1
1,90,475.553000004729,1
1,150,421.852600012207,1
1,-60,406.727900009137,1
1,180,375.878400002839,1
1,60,428.271699995967,1
1,120,331.324799983995,1
1,60,624.981600013562,0
1,180,610.398700003279,0
1,-120,894.824700001627,1
1,-60,519.058899991214,1
1,30,470.257399990223,0
1,150,390.972099973587,1
1,180,482.553599992534,0
1,30,406.434800018324,1
1,90,459.923800001852,1
1,180,409.210399994627,1
1,30,431.775999991223,1
1,-120,476.749300004449,0
1,0,448.554800016573,1
1,120,713.804699983448,0
0,150,456.376099996269,1
1,-150,502.853999999352,0
1,-120,762.659199980553,1
1,-90,557.059299994726,0
1,150,553.881200009491,1
1,0,577.787299997872,0
1,0,608.543900024379,0
1,-90,887.518100012094,0
1,120,512.0383999974,1
1,-30,578.641399982153,1
1,120,713.906300000381,0
1,0,593.842799987178,1
1,90,561.607799995691,1
1,0,746.698599986266,0
1,-150,520.048100014683,1
1,-90,475.731600025902,1
1,-150,616.557699985569,0
1,30,592.438000000548,1
1,-90,808.446099989815,1
1,0,398.797900016652,1
1,180,600.756699984195,1
1,60,458.370399989653,0
1,150,525.934399986872,1
1,-150,474.996100013377,0
1,-90,711.552299974719,0
1,0,436.623099995777,1
1,90,446.41929999576,1
0,60,402.950399999972,0
1,-150,525.591199992923,1
1,-90,455.928199990885,0
1,-60,375.284999995492,0
1,-150,474.137999998638,0
1,-60,440.995699996129,0
1,30,486.67679998558,1
1,-30,407.710300009931,1
1,180,508.598900000798,0
0,-120,572.601000000723,0
1,120,375.328200004296,1
1,0,506.522600023309,0
1,-30,447.4703999958,1
1,150,571.860500008333,0
1,90,404.113499979721,1
1,-150,370.517400014214,1
1,120,562.303299994674,0
1,-30,335.60780000058,1
1,-90,558.702699993737,1
1,30,607.344899974996,1
1,60,405.952499983832,1
1,-150,292.922600005986,1
0,-90,355.545500010485,0
1,-60,474.028800011147,1
1,150,398.97340001422,1
1,60,619.88260001177,0
1,-120,452.127800011076,0
1,-90,408.72749998467,0
1,-180,454.9,1
1,-180,431.08,1
1,-180,437.86,1
1,-180,565.86,0
1,-180,437.64,1
1,-180,439.9,1
1,-180,375.88,1
1,-180,610.4,0
1,-180,482.55,0
1,-180,409.21,1
1,-180,600.76,1
1,-180,508.6,0
