Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,452.529399943538,2
1,-90,352.97860001120716,0
1,120,454.4287999710068,2
1,-60,491.72980006225407,0
1,180,457.88149995170534,1
1,0,490.12850009277463,0
1,-30,561.5056999344379,1
1,30,502.61359993275255,0
1,-150,411.0206999434158,2
1,150,414.2117000268772,2
1,-120,445.7851000446826,0
1,-120,485.97239999473095,1
1,60,425.1017000610009,2
1,-60,384.18590003531426,2
1,-90,399.7516000494361,1
1,150,567.5620999503881,1
1,-150,470.49719997122884,1
1,60,453.4547000043094,1
1,150,476.9657999826595,1
1,180,506.39129994343966,0
0,60,438.6125000277534,1
1,60,485.1615999909118,1
1,-90,513.190099908039,1
1,-120,494.4501999383792,0
1,-60,366.7728000404313,2
1,150,432.0472999792546,2
1,180,458.51610001083463,2
1,60,510.70919999293983,0
1,150,413.4330999189988,2
1,-60,435.277900015004,2
1,90,392.01440004073083,2
1,90,432.3864000001922,1
1,0,480.0091999899596,1
1,30,423.05509996041656,4
1,30,286.11259994469583,5
1,0,335.18320001568645,4
1,180,440.6226999675855,4
1,-90,363.10700006689876,5
1,-30,461.109200081788,3
1,-90,435.21710001770407,3
1,60,538.6076000835747,5
1,-30,437.95900005754083,3
1,120,459.8126999884844,5
1,180,938.3028999986127,4
1,-150,503.30209993664175,4
1,90,403.4402999645099,4
1,60,513.6626000134274,5
1,-150,455.72939997911453,4
1,-60,454.7451000511646,4
1,120,416.2868999959901,3
1,90,351.3317000437528,5
1,120,460.66359994839877,3
1,150,433.81669994816184,5
1,-120,505.3166000256315,5
1,0,323.0765999145806,5
1,0,394.85850004386157,5
1,30,344.0902999686077,3
1,-30,374.3606000756845,4
1,120,337.4768999023363,5
1,180,494.19770011119545,5
1,90,461.40389999747276,4
1,-90,390.57669991999865,5
1,0,490.7728999936953,3
1,-30,395.25749993883073,3
1,60,452.74579996149987,5
1,-60,423.0170000195503,7
1,90,513.6770000066608,7
1,120,352.00490004755557,6
1,0,474.8860999792814,7
1,180,411.1169999781996,8
1,90,484.94560009241104,6
1,150,566.8384000277147,6
1,-60,486.92350001912564,8
1,-150,395.3108999961987,8
1,-30,522.4937999704853,6
0,30,358.5305000273511,6
1,30,528.3902999330312,8
1,120,426.15649994369596,7
1,-120,473.6516000088304,7
1,120,460.88590001128614,6
1,30,512.1441000923514,8
1,-90,599.1837999867275,8
1,150,487.66380006819963,7
1,90,504.4649000596255,7
1,30,386.98949996288866,7
1,-90,412.3681999593973,6
1,-150,434.33120002411306,8
1,-30,339.98820004891604,7
1,60,481.02690005581826,6
1,-30,406.566699905321,8
1,-120,515.6587999630719,6
1,-120,361.6765000009909,8
1,0,504.8704000040889,8
1,-120,503.6759999897331,6
1,-150,559.2639000937343,6
1,30,495.4634999707341,8
1,-60,500.5478000352159,7
1,180,458.7620000205934,6
1,-180,457.88,1
1,-180,506.39,0
1,-180,458.52,2
1,-180,440.62,4
1,-180,938.3,4
1,-180,494.2,5
1,-180,411.12,8
1,-180,458.76,6
