Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,423.94560010544956,0
1,90,615.8277999460697,2
1,-60,473.62010011821985,2
1,-120,459.5161999426782,2
0,180,528.3014999553561,1
1,180,1051.8473998494446,2
1,-90,334.61769990064204,1
1,180,505.8138002026826,0
1,60,569.8508000317961,2
1,180,489.3159001916647,0
1,120,600.398599807173,2
1,-90,506.8406001050025,1
1,-30,387.8834000173956,0
1,-30,478.0402997825295,2
1,-30,419.1760999932885,0
0,30,468.4641998577863,1
1,30,372.93600005470216,1
1,60,575.0855001937598,2
1,150,432.9488998595625,2
1,120,296.27500002644956,0
1,120,966.264299986884,2
1,30,485.2069999873638,1
1,30,378.0107998140156,0
1,120,371.54659995250404,0
0,30,542.6588998492807,1
1,30,328.7414002083242,1
1,-150,404.0586999002844,1
1,-120,374.45289984717965,1
1,150,448.5447999872267,5
0,180,418.4977998342365,4
1,180,476.1300999056548,3
1,-60,607.1894000601023,5
1,90,450.66310016810894,5
1,-30,454.5983000975102,4
1,0,451.0594999268651,3
1,60,375.9861999973655,5
1,-150,412.09910012222826,4
1,150,424.5468000266701,5
1,30,552.3908000290394,4
1,-90,472.0167999006808,3
1,30,437.8713999725878,5
1,90,366.84939980879426,5
1,150,442.60180013626814,4
1,0,563.1506000030786,4
1,-60,565.5124000590295,3
1,30,294.9015001617372,5
1,120,466.1809000503272,3
1,0,411.27480001561344,3
1,-60,460.2172998096794,5
1,-150,380.4105999264866,4
1,180,430.84969994053245,3
1,60,439.3393999747932,3
1,30,302.43039986491203,5
1,90,376.73899990879,3
0,-180,528.3,1
1,-180,1051.8,2
1,-180,505.81,0
1,-180,489.32,0
0,-180,418.5,4
1,-180,476.13,3
1,-180,430.85,3
