Correct Response,Rotation (deg),w/ time delay,Target
1,-150,829.584139,1
1,-150,351.06876,2
1,-150,499.630303,0
1,-150,636.593446,1
1,-150,872.962043,2
1,-150,1030.44443,0
1,-150,1982.61385,0
1,-150,541.924884,0
1,-150,506.985511,0
1,-150,665.135809,2
1,-150,539.951991,1
1,-150,582.584273,0
1,-120,535.898793,1
1,-120,408.206433,2
1,-120,556.347209,2
1,-120,427.74519,0
1,-120,431.628788,0
1,-120,430.701981,2
1,-120,647.112046,0
1,-120,387.330156,0
1,-120,680.133223,1
1,-120,421.52384,2
1,-120,705.799381,1
1,-120,464.56095,1
1,-90,464.827418,0
1,-90,603.11648,0
1,-90,608.282069,2
1,-90,534.658316,0
1,-90,593.10873,1
1,-90,444.138778,1
1,-90,463.100982,1
1,-90,742.358937,1
1,-90,665.683086,0
1,-90,500.972734,2
1,-90,780.630385,2
1,-90,450.019794,0
1,-60,555.193261,2
1,-60,1010.72558,1
1,-60,374.547502,2
1,-60,431.612603,1
1,-60,1091.25442,1
1,-60,979.31735,2
1,-60,474.710322,0
1,-60,690.666869,2
1,-60,836.066296,2
1,-60,1367.83942,1
1,-60,503.263735,0
1,-60,1388.49721,2
1,-30,539.925898,1
1,-30,436.522331,0
1,-30,468.144528,1
1,-30,497.161651,0
1,-30,461.354076,0
1,-30,305.963589,2
1,-30,522.873072,1
1,-30,495.255143,0
1,-30,594.278187,2
1,-30,870.184077,1
1,-30,555.445823,1
1,-30,616.545875,0
1,0,776.943761,2
1,0,438.54899,0
1,0,724.199046,2
1,0,412.776971,0
1,0,318.809291,0
1,0,768.75351,0
1,0,676.545876,2
1,0,558.343219,2
1,0,459.780326,1
1,0,521.872858,0
1,0,450.115816,1
1,0,1026.59285,2
1,0,488.878587,0
1,0,1387.60721,2
1,0,516.808979,1
1,0,787.312239,2
1,0,549.408978,2
1,0,720.019042,2
1,30,450.768405,0
1,30,1156.78953,2
1,30,728.374614,0
0,30,819.536277,1
1,30,429.445695,0
1,30,384.695415,0
1,30,795.414873,1
1,30,501.584965,1
1,30,378.568901,1
1,30,422.500299,0
1,30,1236.02256,1
1,30,998.146749,1
1,30,909.861342,2
1,60,705.753585,0
1,60,569.498326,2
1,60,342.185197,2
1,60,463.179465,2
1,60,431.247759,1
1,60,470.532598,0
1,60,547.010903,2
1,60,577.665721,1
1,60,466.724753,1
1,60,609.353565,2
1,60,811.956723,2
1,60,735.648942,2
1,90,552.261326,2
1,90,601.536424,2
1,90,537.066455,0
0,90,608.379028,2
1,90,815.892342,2
1,90,613.02269,1
1,90,674.567735,2
1,90,455.917149,0
1,90,511.802014,0
1,90,446.593331,0
1,90,803.370237,1
1,90,705.022163,1
1,90,431.921272,0
1,120,1220.0989,1
1,120,418.055421,0
1,120,447.419191,0
0,120,717.213428,1
1,120,510.838314,2
1,120,449.084673,0
1,120,427.076831,2
1,120,731.822655,2
1,120,510.565239,1
1,120,507.869488,0
1,120,559.415655,2
1,120,569.800797,2
1,120,415.848541,0
1,150,531.376592,2
1,150,811.308557,2
1,150,700.392063,1
1,150,574.056876,2
1,150,504.683032,1
1,150,605.307959,2
1,150,474.612666,2
1,150,548.280018,0
1,150,475.141358,0
1,150,583.42308,1
1,150,528.315473,0
1,150,1298.7798,1
1,180,651.333108,2
1,180,700.589951,2
1,180,559.384044,2
1,180,528.318866,0
1,180,570.973376,1
1,180,336.950158,0
1,180,467.730932,0
1,180,591.354301,2
1,180,691.739878,1
1,180,1035.43331,1
1,180,604.772192,1
1,180,688.093594,2
1,-180,651.33,2
1,-180,700.59,2
1,-180,559.38,2
1,-180,528.32,0
1,-180,570.97,1
1,-180,336.95,0
1,-180,467.73,0
1,-180,591.35,2
1,-180,691.74,1
1,-180,1035.4,1
1,-180,604.77,1
1,-180,688.09,2
