Correct Response,Rotation (deg),Reaction Time (ms),Target,,,,,,,,,,,,,,,,,
1,-150,328.907151,0,,,,,,,,,,,,,,,,,
1,-150,417.997967,1,,,,,,,,,,,,,,,,,
1,-150,518.06674,0,,,,,,,,,,,,,,,,,
1,-150,414.015964,0,,,,,,,,,,,,,,,,,
1,-150,482.572495,2,,,,,,,,,,,,,,,,,
1,-150,236.205319,0,,,,,,,,,,,,,,,,,
1,-150,270.371629,0,,,,,,,,,,,,,,,,,
1,-150,468.831091,0,,,,,,,,,,,,,,,,,
1,-150,399.872857,1,,,,,,,,,,,,,,,,,
1,-150,370.488278,0,,,,,,,,,,,,,,,,,
1,-150,426.978602,2,,,,,,,,,,,,,,,,,
1,-150,431.656442,2,,,,,,,,,,,,,,,,,
1,-120,330.397232,0,,,,,,,,,,,,,,,,,
1,-120,487.960072,1,,,,,,,,,,,,,,,,,
1,-120,400.877624,0,,,,,,,,,,,,,,,,,
1,-120,276.287669,0,,,,,,,,,,,,,,,,,
1,-120,395.142197,1,,,,,,,,,,,,,,,,,
1,-120,404.885273,2,,,,,,,,,,,,,,,,,
1,-120,451.141573,2,,,,,,,,,,,,,,,,,
1,-120,296.759991,1,,,,,,,,,,,,,,,,,
1,-120,420.731847,1,,,,,,,,,,,,,,,,,
1,-120,492.889895,2,,,,,,,,,,,,,,,,,
1,-120,299.046251,0,,,,,,,,,,,,,,,,,
1,-120,427.589178,1,,,,,,,,,,,,,,,,,
1,-90,348.903787,1,,,,,,,,,,,,,,,,,
1,-90,367.462206,2,,,,,,,,,,,,,,,,,
1,-90,397.95353,0,,,,,,,,,,,,,,,,,
1,-90,490.827236,2,,,,,,,,,,,,,,,,,
1,-90,434.577271,2,,,,,,,,,,,,,,,,,
1,-90,371.561406,2,,,,,,,,,,,,,,,,,
1,-90,405.090866,1,,,,,,,,,,,,,,,,,
1,-90,420.17619,1,,,,,,,,,,,,,,,,,
1,-90,324.911811,1,,,,,,,,,,,,,,,,,
1,-90,373.593976,1,,,,,,,,,,,,,,,,,
1,-90,385.974768,2,,,,,,,,,,,,,,,,,
1,-90,393.043496,2,,,,,,,,,,,,,,,,,
1,-60,412.601248,1,,,,,,,,,,,,,,,,,
1,-60,406.6214,2,,,,,,,,,,,,,,,,,
1,-60,406.98295,0,,,,,,,,,,,,,,,,,
1,-60,327.82826,0,,,,,,,,,,,,,,,,,
1,-60,255.193101,0,,,,,,,,,,,,,,,,,
1,-60,417.788257,1,,,,,,,,,,,,,,,,,
1,-60,355.511543,2,,,,,,,,,,,,,,,,,
1,-60,378.044982,1,,,,,,,,,,,,,,,,,
1,-60,320.253131,2,,,,,,,,,,,,,,,,,
1,-60,426.771494,1,,,,,,,,,,,,,,,,,
1,-60,283.337302,1,,,,,,,,,,,,,,,,,
1,-60,356.547495,0,,,,,,,,,,,,,,,,,
1,-30,370.442716,2,,,,,,,,,,,,,,,,,
1,-30,403.022613,1,,,,,,,,,,,,,,,,,
1,-30,444.245416,1,,,,,,,,,,,,,,,,,
1,-30,481.263663,0,,,,,,,,,,,,,,,,,
1,-30,354.183709,2,,,,,,,,,,,,,,,,,
1,-30,340.113643,0,,,,,,,,,,,,,,,,,
1,-30,793.698833,1,,,,,,,,,,,,,,,,,
1,-30,429.234513,2,,,,,,,,,,,,,,,,,
1,-30,324.472739,0,,,,,,,,,,,,,,,,,
1,-30,399.161942,0,,,,,,,,,,,,,,,,,
1,-30,357.087762,1,,,,,,,,,,,,,,,,,
1,-30,315.69848,0,,,,,,,,,,,,,,,,,
1,0,463.282086,2,,,,,,,,,,,,,,,,,
1,0,302.845612,1,,,,,,,,,,,,,,,,,
1,0,384.813032,1,,,,,,,,,,,,,,,,,
1,0,345.199593,1,,,,,,,,,,,,,,,,,
1,0,318.284228,2,,,,,,,,,,,,,,,,,
1,0,338.569716,2,,,,,,,,,,,,,,,,,
1,0,429.491964,2,,,,,,,,,,,,,,,,,
1,0,430.199942,1,,,,,,,,,,,,,,,,,
1,0,384.676337,1,,,,,,,,,,,,,,,,,
1,0,400.482459,0,,,,,,,,,,,,,,,,,
1,0,364.200336,1,,,,,,,,,,,,,,,,,
1,0,325.703521,0,,,,,,,,,,,,,,,,,
1,0,280.514806,0,,,,,,,,,,,,,,,,,
1,0,339.805426,2,,,,,,,,,,,,,,,,,
1,0,367.389069,1,,,,,,,,,,,,,,,,,
1,0,371.538641,2,,,,,,,,,,,,,,,,,
1,0,427.104062,2,,,,,,,,,,,,,,,,,
1,0,534.292875,1,,,,,,,,,,,,,,,,,
1,30,385.249627,2,,,,,,,,,,,,,,,,,
1,30,327.483839,0,,,,,,,,,,,,,,,,,
1,30,337.565079,0,,,,,,,,,,,,,,,,,
1,30,306.906498,0,,,,,,,,,,,,,,,,,
1,30,300.664756,0,,,,,,,,,,,,,,,,,
1,30,329.592056,2,,,,,,,,,,,,,,,,,
1,30,351.51151,1,,,,,,,,,,,,,,,,,
1,30,395.531283,1,,,,,,,,,,,,,,,,,
1,30,832.673376,2,,,,,,,,,,,,,,,,,
1,30,377.595315,0,,,,,,,,,,,,,,,,,
1,30,362.984148,0,,,,,,,,,,,,,,,,,
1,30,406.22295,0,,,,,,,,,,,,,,,,,
1,60,382.134495,1,,,,,,,,,,,,,,,,,
1,60,455.540384,2,,,,,,,,,,,,,,,,,
1,60,565.208533,2,,,,,,,,,,,,,,,,,
1,60,384.766188,1,,,,,,,,,,,,,,,,,
1,60,340.803891,1,,,,,,,,,,,,,,,,,
1,60,305.753299,1,,,,,,,,,,,,,,,,,
1,60,382.17408,2,,,,,,,,,,,,,,,,,
1,60,362.337405,1,,,,,,,,,,,,,,,,,
1,60,478.034696,2,,,,,,,,,,,,,,,,,
1,60,311.050246,1,,,,,,,,,,,,,,,,,
1,60,454.690594,2,,,,,,,,,,,,,,,,,
1,60,394.44661,1,,,,,,,,,,,,,,,,,
1,90,409.838848,0,,,,,,,,,,,,,,,,,
1,90,392.267678,2,,,,,,,,,,,,,,,,,
1,90,489.495373,0,,,,,,,,,,,,,,,,,
1,90,292.381848,0,,,,,,,,,,,,,,,,,
1,90,408.120963,2,,,,,,,,,,,,,,,,,
1,90,421.434923,2,,,,,,,,,,,,,,,,,
1,90,297.924258,1,,,,,,,,,,,,,,,,,
1,90,365.399984,0,,,,,,,,,,,,,,,,,
1,90,314.60963,0,,,,,,,,,,,,,,,,,
1,90,338.598034,1,,,,,,,,,,,,,,,,,
1,90,434.197053,2,,,,,,,,,,,,,,,,,
1,90,365.593586,2,,,,,,,,,,,,,,,,,
1,120,339.131509,0,,,,,,,,,,,,,,,,,
1,120,348.046103,0,,,,,,,,,,,,,,,,,
1,120,432.72804,0,,,,,,,,,,,,,,,,,
1,120,401.696258,1,,,,,,,,,,,,,,,,,
1,120,357.654746,0,,,,,,,,,,,,,,,,,
1,120,327.551336,0,,,,,,,,,,,,,,,,,
1,120,392.782662,0,,,,,,,,,,,,,,,,,
1,120,389.597663,0,,,,,,,,,,,,,,,,,
1,120,348.862724,0,,,,,,,,,,,,,,,,,
1,120,337.601058,0,,,,,,,,,,,,,,,,,
1,120,390.66086,1,,,,,,,,,,,,,,,,,
1,120,312.668338,2,,,,,,,,,,,,,,,,,
1,150,355.082396,0,,,,,,,,,,,,,,,,,
1,150,338.666504,1,,,,,,,,,,,,,,,,,
1,150,366.716285,0,,,,,,,,,,,,,,,,,
1,150,433.483189,2,,,,,,,,,,,,,,,,,
1,150,478.464162,2,,,,,,,,,,,,,,,,,
1,150,329.582585,1,,,,,,,,,,,,,,,,,
1,150,267.973084,0,,,,,,,,,,,,,,,,,
1,150,486.585346,1,,,,,,,,,,,,,,,,,
1,150,450.937237,0,,,,,,,,,,,,,,,,,
1,150,379.723789,1,,,,,,,,,,,,,,,,,
1,150,409.917546,0,,,,,,,,,,,,,,,,,
1,150,516.545765,1,,,,,,,,,,,,,,,,,
1,180,437.546537,2,,,,,,,,,,,,,,,,,
1,180,323.730466,2,,,,,,,,,,,,,,,,,
1,180,328.31675,0,,,,,,,,,,,,,,,,,
1,180,376.081141,0,,,,,,,,,,,,,,,,,
1,180,562.386663,2,,,,,,,,,,,,,,,,,
1,180,416.395102,0,,,,,,,,,,,,,,,,,
1,180,404.755784,1,,,,,,,,,,,,,,,,,
1,180,451.632601,2,,,,,,,,,,,,,,,,,
1,180,333.040608,1,,,,,,,,,,,,,,,,,
1,180,331.923112,1,,,,,,,,,,,,,,,,,
1,180,339.250835,1,,,,,,,,,,,,,,,,,
1,180,346.68901,1,,,,,,,,,,,,,,NaN,NaN,NaN,NaN
1,-180,323.73,2,,,,,,,,,,,,,,,,,
1,-180,328.32,0,,,,,,,,,,,,,,,,,
1,-180,376.08,0,,,,,,,,,,,,,,,,,
1,-180,562.39,2,,,,,,,,,,,,,,,,,
1,-180,416.4,0,,,,,,,,,,,,,,,,,
1,-180,404.76,1,,,,,,,,,,,,,,,,,
1,-180,451.63,2,,,,,,,,,,,,,,,,,
1,-180,333.04,1,,,,,,,,,,,,,,,,,
1,-180,331.92,1,,,,,,,,,,,,,,,,,
1,-180,339.25,1,,,,,,,,,,,,,,,,,
1,-180,346.69,1,,,,,,,,,,,,,,,,,
