Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,398.3818,2
1,-150,394.4491,0
1,-150,466.347,0
1,-150,462.23,1
1,-150,460.5349,0
1,-150,512.0718,1
0,-150,400.6887,2
1,-150,448.1353,0
1,-150,422.5161,1
1,-150,462.8003,2
1,-150,381.2506,2
1,-150,422.6404,1
1,-150,484.9157,1
1,-120,414.5584,2
1,-120,434.1012,2
1,-120,442.1334,2
1,-120,411.367,0
1,-120,445.3965,0
1,-120,389.1798,2
1,-120,373.6789,2
1,-120,465.391,2
1,-120,376.9023,1
1,-120,522.7934,1
1,-120,396.2313,2
1,-120,553.9387,2
1,-90,456.7691,0
1,-90,454.9474,2
1,-90,473.9744,2
1,-90,408.5947,1
1,-90,457.9612,2
1,-90,411.7228,1
1,-90,369.3835,1
1,-90,434.6086,0
1,-90,374.3537,2
1,-90,402.9139,2
1,-90,424.2556,1
0,-90,405.1391,0
1,-90,428.0206,1
1,-60,422.2698,0
1,-60,512.5566,2
1,-60,373.0855,0
1,-60,343.0202,0
1,-60,403.6018,1
1,-60,416.188,0
1,-60,403.5221,0
1,-60,385.0471,0
1,-60,405.9737,0
1,-60,425.3063,0
1,-60,517.7566,2
1,-60,485.7391,1
1,-30,452.7929,2
1,-30,405.3423,2
1,-30,353.9103,1
1,-30,411.692,2
1,-30,427.4938,0
1,-30,428.8132,1
1,-30,364.1949,2
1,-30,300.0798,0
1,-30,392.8876,2
1,-30,457.7584,2
1,-30,434.4374,1
1,-30,473.6835,0
1,0,436.8606,0
1,0,402.2494,1
1,0,343.9315,1
1,0,321.4365,1
1,0,352.6735,2
1,0,364.7472,1
1,0,393.1879,1
1,0,402.8546,2
1,0,393.1056,2
1,0,375.119,1
1,0,398.1379,1
1,0,373.2427,1
1,0,404.9037,1
1,0,346.6917,1
1,0,395.9464,2
1,0,301.5356,2
1,0,295.6074,2
1,0,403.8291,1
1,30,452.4101,1
1,30,340.5181,1
1,30,437.111,0
1,30,473.9421,0
1,30,461.2606,1
1,30,442.8829,2
1,30,421.1484,0
1,30,352.4585,2
1,30,294.5522,1
1,30,340.2443,1
1,30,434.962,0
1,30,317.5293,2
1,60,371.559,1
1,60,403.821,2
1,60,325.4902,0
1,60,353.7451,0
1,60,463.6246,1
1,60,411.4459,0
0,60,392.9363,1
1,60,380.0412,0
1,60,581.463,0
1,60,393.2081,0
1,60,375.4028,0
1,60,379.5449,2
1,60,400.6051,1
1,90,431.2072,2
1,90,334.2498,2
1,90,504.5174,2
1,90,443.3603,1
1,90,391.9426,2
1,90,393.4017,2
1,90,386.2192,0
1,90,363.8738,2
1,90,470.9342,0
1,90,466.2162,2
1,90,438.3242,1
1,90,413.7553,2
1,120,462.9687,1
1,120,464.9011,0
1,120,363.6415,2
1,120,322.8644,0
1,120,433.0568,0
1,120,574.8814,2
1,120,403.0659,0
1,120,502.4368,1
1,120,365.6138,0
1,120,360.6606,2
1,120,404.6732,0
1,120,423.6204,0
1,150,481.9489,1
1,150,503.792,1
1,150,443.0025,0
1,150,521.9219,2
1,150,443.0979,1
1,150,442.9376,0
1,150,374.6609,0
1,150,439.2241,2
1,150,377.1848,1
1,150,423.7343,1
1,150,348.9539,2
1,150,434.8109,2
1,180,473.2413,1
1,180,381.2913,2
1,180,444.5228,2
1,180,439.9136,1
1,180,539.4839,2
1,180,482.9391,2
1,180,377.6678,0
1,180,420.1267,0
1,180,463.9077,0
1,180,445.5985,2
1,180,353.6906,2
1,180,421.0249,0
1,-180,381.29,2
1,-180,444.52,2
1,-180,439.91,1
1,-180,539.48,2
1,-180,482.94,2
1,-180,377.67,0
1,-180,420.13,0
1,-180,463.91,0
1,-180,445.6,2
1,-180,353.69,2
1,-180,421.02,0
