Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30,793.929300093092,2
1,120,612.3891000719741,2
1,-60,795.4827999314293,2
1,-150,718.8686000267044,0
1,60,578.2334000654519,1
1,120,546.1619999809191,1
1,30,509.5730999568477,0
1,-60,433.4721000017598,1
1,-30,646.1575000397861,2
1,-120,563.0149000175297,0
1,-60,581.6065000221133,2
1,-30,508.0911999652162,1
1,60,745.7696999739856,2
1,-150,601.207000025548,0
1,60,500.39629992935807,0
1,-90,514.9801000338048,2
1,-60,843.3507000412792,2
0,90,572.4926998922601,2
1,90,538.173700039275,0
1,120,541.6346000824124,0
1,-120,549.2534000044689,0
1,30,483.2902999445796,1
1,-120,536.6951999571174,0
1,120,676.1185000035912,1
1,180,509.8621000619605,0
1,30,512.4284999296069,0
1,-30,374.1732999300584,2
1,30,522.0993999941275,2
1,-120,668.45550009422,1
1,-90,638.3568000132218,1
1,60,501.73600000236183,1
1,90,458.39169999491423,0
1,120,502.40110006090254,1
1,-150,559.775700032711,5
1,-30,615.7716999845579,4
1,0,419.68620003573596,3
1,-120,711.8045000210404,3
1,150,567.0296999709681,4
1,-60,591.0156999565661,4
1,180,585.722400046885,4
1,-90,494.7466999841854,5
1,-120,554.6416000546888,4
1,150,581.6978000188246,3
1,60,485.7187999263406,5
1,30,500.28950004745275,3
1,-30,499.69799996726215,3
1,30,514.7266999669373,3
1,150,548.8669999726117,3
1,0,636.4729001037776,5
1,120,547.5826999722049,4
1,180,516.0819999258965,4
1,180,452.2112999660894,4
1,60,511.6750998971984,3
1,90,563.5689000450075,5
0,120,577.3532999996096,4
1,120,430.6670000627637,4
1,30,527.6160999750718,4
1,0,466.0413000350818,5
1,-30,558.4689999781549,3
1,0,481.64549999311566,3
1,-120,463.40529998671263,4
1,150,459.9187999814749,3
1,150,467.5523000154644,4
1,-60,452.8722999934107,4
1,-90,490.43469997961074,3
1,150,363.9409000137821,4
1,180,456.6851000385359,8
1,90,399.00040003377944,6
1,-150,401.8800999587402,8
1,-60,415.20900005381554,6
1,90,400.2909000813961,6
1,-90,398.10679998155683,7
1,-30,529.8334999792278,8
1,0,405.2640999983996,7
1,150,405.564499957487,7
1,-90,364.93219999503344,7
1,60,409.04080000147223,7
1,-90,588.7987999562174,8
1,180,471.7319999439642,8
1,180,568.0780000369996,7
1,120,467.2731999857351,8
1,180,487.36670001782477,7
1,90,392.1129999766126,7
1,150,474.5783000802621,6
1,0,350.17279995046556,6
1,90,512.3235000614077,8
1,-150,446.33340002875775,6
1,-150,472.23970008455217,8
1,-60,498.48789994977415,6
1,0,349.5453999461606,7
1,0,430.5459000719711,6
1,-150,362.6729000210762,6
1,60,398.8025999246165,6
1,-30,472.7486000014469,8
1,-90,392.4468999579549,6
1,-120,367.6199999721721,7
1,90,369.56489999685436,7
1,-150,479.33240007515997,6
1,-180,509.86,0
1,-180,585.72,4
1,-180,516.08,4
1,-180,452.21,4
1,-180,456.69,8
1,-180,471.73,8
1,-180,568.08,7
1,-180,487.37,7
