Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,786.3284999588504,1
1,60,876.1612999336794,1
1,-150,981.4491998953745,0
1,0,560.4955000421032,1
1,-30,648.2984000435099,1
1,-30,659.7839000718668,2
1,-30,464.33919999655336,1
1,60,608.3331999219954,0
0,60,792.7193999607116,0
1,60,447.3829999882728,0
1,-60,730.1858999384567,1
0,150,639.1007999740541,2
1,150,423.6109000016004,2
1,-90,794.0577000230551,2
1,60,604.4206000482664,0
1,-30,570.5151999685913,2
1,90,525.9736000411212,2
1,-60,465.09310003276914,2
1,-90,462.94069994147867,2
1,0,364.07110007386655,0
1,-150,774.7841999484226,0
1,-90,544.9758000290021,2
1,-60,573.8072000062093,0
1,150,576.6275000609457,1
1,-120,655.9856000207365,2
1,-90,946.1755999913439,1
1,-120,470.2299999156967,2
1,60,695.7678000293672,2
1,90,527.1270999768749,2
1,-120,681.8948000986129,0
1,-90,447.8318000296131,2
1,-120,747.5308999968693,1
1,120,715.8773000668734,1
1,30,553.7853999380022,2
1,90,390.62969997432083,5
1,120,434.0678999982774,3
1,-60,591.3040999406949,5
1,-90,419.3240999560803,5
1,150,447.6732999868691,4
1,-30,547.8830000469461,5
1,90,783.2833999386057,4
0,180,809.9512999728322,5
1,180,436.4098000191152,5
1,0,581.666800015606,4
1,0,570.7783999936655,3
1,180,622.9991000695154,3
1,0,435.02819997631013,3
1,-30,437.42199992667884,4
1,30,714.2947000069544,4
1,90,514.221000074409,3
1,-120,512.1320000002161,4
1,60,633.3099000006914,4
1,30,628.8271999768913,5
1,90,511.7429999485612,4
1,30,610.3750999867916,3
1,-30,629.355900044553,5
1,180,502.0347000649199,4
1,150,486.4207999166101,4
1,0,643.430000109598,5
1,150,527.5973999490961,4
1,30,651.620899964124,5
1,150,589.6974000465125,5
1,120,526.734900017269,3
1,-120,652.250999988988,4
1,-90,842.2891999911517,5
1,-90,447.7771000787616,4
1,-150,508.9496000986546,4
1,-60,355.7784000262618,7
1,-120,401.9426999697462,7
1,180,438.2032999387011,7
1,90,412.32209995761514,6
1,-60,394.6401000106707,6
1,-60,450.9144999869168,7
1,30,389.37589997332543,6
1,-150,458.6035999786109,8
1,-150,472.97349996771663,6
1,150,477.3884000573307,7
1,150,425.0253000613302,6
1,-60,424.94929994829,7
1,90,450.3457999639213,7
1,-120,475.42400000058115,8
1,-150,482.2370999576524,8
1,120,572.4811999211088,8
1,120,371.56280007585883,8
1,120,351.7522999867797,6
1,-150,407.3429999956861,8
1,30,473.6903999550268,7
1,180,329.17840004339814,6
1,180,394.4957999596372,6
1,30,400.0240000281483,6
1,0,393.61770002543926,8
1,0,378.77020000852644,6
1,60,492.13750002346933,8
1,-30,534.0811999598518,8
1,-150,356.80529992934316,7
1,120,295.81070009991527,6
1,60,478.74739992804825,6
1,180,367.38780006673187,6
1,180,440.91529998369515,7
0,-180,809.95,5
1,-180,436.41,5
1,-180,623,3
1,-180,502.03,4
1,-180,438.2,7
1,-180,329.18,6
1,-180,394.5,6
1,-180,367.39,6
1,-180,440.92,7
