Correct Response,Rotation (deg),Reaction Time (ms),Target
1,180,759.9478999585845,2
1,-60,431.39039998315275,2
0,120,618.731799997855,1
1,120,733.0013000140898,0
1,0,626.2299999911338,1
1,150,727.5384999779053,2
1,150,508.47910000849515,2
1,-90,769.0138000147417,0
1,180,484.1198999751359,0
1,30,745.792800033465,1
1,150,460.63740003993735,0
1,90,573.6361000421457,1
1,150,474.7006000219844,1
1,-60,581.3967000544071,2
1,-150,476.65180003643036,2
1,-30,660.897399994079,0
1,30,641.9169999975711,2
1,30,823.4092000024393,1
1,180,705.9406000156887,1
1,120,366.0639999983832,1
1,120,548.3211000068113,0
1,120,523.0885000168346,0
1,120,390.20489999931306,0
1,150,453.99499998567626,0
1,90,401.0623000180349,0
1,180,530.786199957598,1
1,30,522.7546000354923,0
1,-120,379.3686000248417,0
1,30,385.6354999556206,0
1,-60,479.27990002464503,1
1,-120,541.8956999750808,1
1,0,394.2487999997102,1
1,90,538.563100035768,0
1,90,427.07749997172505,4
1,0,340.5018000015989,3
1,60,565.9813000205904,3
1,0,472.7374000325799,5
1,-90,556.1773000485264,5
1,60,412.27930003916845,5
1,180,515.0746999974363,4
1,-90,551.8371999463998,4
1,-30,421.9875999810174,4
1,90,564.779500008095,5
1,-30,432.4390000514686,3
1,-150,425.5884999842383,3
1,-90,451.4416000423953,3
1,-150,430.7926999721676,5
1,-90,555.3933999584988,3
1,0,408.660400015302,5
0,150,338.2651000251062,4
1,150,348.49820000492036,3
1,-30,352.46459999727085,3
1,-60,418.13990001939237,3
1,30,516.4818000015803,5
1,0,318.75350000010803,5
1,-150,452.3720999681391,3
1,0,440.54320000251755,5
1,-150,489.62589999102056,5
1,90,374.5100000491366,5
0,30,426.1982000283897,4
1,30,433.5084999878891,3
1,60,467.0520999901928,4
1,-150,458.86519999150187,5
1,30,495.86620001029223,5
1,-60,343.12739997077733,5
1,-120,417.17570001166314,3
1,60,447.6629999666475,5
1,180,282.3814999978058,6
1,60,315.26260001957417,6
1,90,451.95990003086627,8
1,-60,287.30909997504205,7
1,-150,414.8357000052929,6
1,-120,537.5939999907278,8
1,-30,399.6553999572061,8
1,-90,547.9628000142984,8
1,-120,499.1512999953702,6
1,60,444.96460002521053,7
1,120,444.4315000404604,6
1,-30,563.3284000181593,8
1,-120,482.48539998568594,6
1,-90,544.2348000328057,8
1,60,435.23059994587675,7
1,-90,417.71289996942505,6
1,-120,331.41889999061823,6
1,180,436.394100015983,6
1,0,449.4437000215985,8
1,-60,414.34449999034405,7
1,60,442.68749997392297,8
1,150,584.3050999650732,8
0,180,-109.0,8
1,180,441.05289998371154,8
1,-30,419.2431000377983,8
0,-120,356.5501999659464,6
1,-120,452.41560000833124,8
1,120,439.37239999324083,6
1,-60,469.3654000260867,7
1,150,441.52280001109466,7
1,-150,391.98429998615757,7
1,120,372.4615999930538,6
1,90,494.967500035651,8
1,-30,459.0888000060804,8
1,-180,759.95,2
1,-180,484.12,0
1,-180,705.94,1
1,-180,530.79,1
1,-180,515.07,4
1,-180,282.38,6
1,-180,436.39,6
0,-180,-109,8
1,-180,441.05,8
