Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,431.12940009124577,1
1,30,636.8521000808105,0
1,120,628.2433999553323,2
1,0,518.8295000083745,2
1,-150,602.1691000172868,0
1,-120,874.7431000778452,1
1,150,591.8666999172419,1
1,120,630.9084999924526,2
1,30,746.6159998988733,1
1,-120,666.0706999795511,1
1,180,590.0635000402108,0
1,150,599.0208000261337,0
1,-30,439.8561000674963,2
1,-150,439.24089992325753,1
1,120,743.7506000827998,1
1,30,774.2637000596151,2
1,-90,602.4029999356717,1
1,120,568.3774999892339,2
1,180,527.4925999660045,1
1,-120,793.5214998982847,1
1,150,503.43589990772307,1
1,-150,438.24810004699975,2
1,-120,561.2359999762848,1
1,30,407.76449994556606,0
1,0,969.1392999924719,2
1,150,516.3058000002056,0
1,120,541.6147999316454,0
1,150,569.8723999634385,2
1,-150,543.7806000085548,0
1,180,879.5479001095518,1
1,-30,679.8998000416905,2
1,-150,510.0905999392271,0
1,-30,344.60489992890507,3
1,-30,519.5659000277519,4
1,90,487.58579993993044,5
1,60,597.188700045459,3
1,-60,510.9706000043079,3
1,-150,521.3555000340566,3
1,60,451.7497999444604,3
1,-120,516.9467999916524,5
1,120,501.42419995646924,5
1,-90,475.0291000204161,3
1,180,576.7817000709474,4
1,30,521.3475999739021,3
1,180,442.89740005880594,3
1,-60,399.35959997493774,3
1,180,421.97490000072867,4
1,90,520.7726000193506,3
1,-30,517.5227999538183,5
1,-150,458.9239999735728,5
1,150,509.9860000740737,3
1,0,491.50559998489916,3
1,90,559.0564000271261,3
1,90,434.0841000052169,3
1,-60,437.445699990727,3
1,0,576.2205999894068,4
1,150,579.114200020209,3
1,90,585.1961999982595,4
1,90,500.9207999650389,4
1,90,413.32079999521375,4
1,-60,620.8233999172226,3
1,0,349.81539990659803,5
1,120,618.8337000170723,3
1,0,343.07580004353076,4
1,150,377.4108000183478,7
1,60,494.7357000168413,6
1,60,447.3094000099227,7
1,-90,464.7139000557363,6
1,-120,584.5915000503883,8
1,120,513.1243999898434,6
1,90,483.26439998019487,6
1,-60,389.63959988579154,7
0,-30,417.24849998392165,8
1,-30,356.53300006780773,8
1,60,547.8412999622524,7
1,-30,315.2995000677183,6
1,180,558.1887000557035,8
1,-90,537.9010000582784,8
1,-90,461.92239998746663,7
1,-120,387.34029995650053,6
1,-60,435.434400042519,8
1,30,498.15109994634986,7
1,-60,430.797900011763,7
1,60,569.8030000170693,6
1,0,514.3942999970168,6
1,30,495.96380005497485,8
1,30,427.5189000731334,8
1,0,389.9642999134958,8
1,60,383.15770000591874,7
1,180,442.5061999903992,8
1,-90,417.14409988746047,7
1,-150,397.43399998079985,7
1,-60,333.8607999579981,6
1,-90,454.5467000538483,7
1,-90,511.32009998802096,8
1,-30,318.2077999776229,7
1,-120,311.6006999593228,6
1,-180,590.06,0
1,-180,527.49,1
1,-180,879.55,1
1,-180,576.78,4
1,-180,442.9,3
1,-180,421.97,4
1,-180,558.19,8
1,-180,442.51,8
