Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,736.5236000008881,0
0,-150,950.5510000130162,0
1,-150,669.7838999647647,1
1,-60,691.4137999378145,0
0,-150,649.0356999533251,2
1,-150,856.4836000408977,1
1,120,376.0732999620959,0
1,150,505.19500003103167,2
0,-90,908.7177999867126,2
1,-90,621.3520999848843,2
1,150,583.6726000383496,1
1,30,832.4372000610456,1
1,150,632.7258999776095,0
1,-90,606.2279999572784,0
1,60,853.3420999851078,1
1,-90,798.0243999594823,1
1,-30,1166.001300033182,1
1,180,731.1448000222445,2
0,60,625.7552999854088,1
1,60,857.6096000000834,2
1,0,909.3423000853509,2
1,-60,615.9005000339821,0
1,-60,647.6689999075606,1
1,90,671.1199000095949,2
1,-60,758.1266000019386,1
1,-60,590.0784000372514,0
1,0,839.2494000112638,0
1,120,920.3987999903038,2
1,-120,694.5481000551954,1
1,-90,1052.6707999492064,2
1,90,850.6405000193045,2
1,30,701.1903999922797,0
1,150,772.6409999271855,0
1,-150,764.8930000690743,1
1,150,395.65309992432594,2
1,150,607.7563000693917,2
1,60,475.32090003043413,4
1,-150,453.5462000025436,4
0,-150,537.4395999209955,5
1,-150,495.08610000740737,4
1,90,406.472500002943,5
1,0,378.2967000119388,3
1,-90,525.0723000466824,4
1,30,550.0273999609053,5
1,-90,655.9807999841869,3
1,180,369.47950004506856,4
1,60,439.8352000247687,5
1,0,451.7118000043556,4
1,60,400.264099993743,4
1,-120,478.95529999770224,4
1,-30,503.78440000023693,4
1,-150,602.7361000273377,3
1,180,766.39800000377,4
1,120,696.8306000893936,5
1,-120,669.8763000862673,5
1,120,454.16969997715205,5
1,120,784.4905000496656,4
1,150,456.680900006555,3
1,180,633.9345999844372,4
1,180,713.1839999314398,5
1,90,610.5614000083879,3
1,120,486.4042999073863,4
1,60,677.4574999548495,3
1,90,604.8712999876589,3
1,-60,668.3873000405729,5
1,0,503.10369993932545,3
1,90,661.7613999955356,3
1,120,549.1096999580041,5
1,120,518.8088999679312,5
1,-90,569.4726999467239,8
1,-90,496.4295999929309,6
0,30,443.70750005729496,8
1,30,433.39180008880794,6
1,150,372.11699998844415,7
1,-120,554.4714000392705,7
1,30,486.7880000350997,6
1,-30,516.8504999568686,7
1,-30,467.25599997118115,7
1,-30,548.8908999217674,8
1,-120,674.2114000339061,8
1,30,513.4395000608638,7
1,-120,477.67260000947863,7
1,0,557.3296000333503,8
1,-30,434.5471999226138,7
1,180,434.6613999772817,6
1,60,517.0125000262633,7
1,-30,514.853400000371,6
1,180,588.7866999804974,6
1,0,539.5278999898583,7
1,90,657.3407999789342,7
1,-60,514.5675999196246,7
1,60,450.7425999585539,6
1,90,612.0736999986693,8
1,-150,575.6011000452563,6
1,-120,513.3630000604317,6
1,30,412.6830000281334,7
1,30,547.9016999565065,8
1,-60,487.2206000695005,7
1,180,487.9044000376016,6
1,-120,538.9307999834418,7
1,-150,410.53109994065017,8
1,0,465.4896999094635,6
1,-180,731.14,2
1,-180,369.48,4
1,-180,766.4,4
1,-180,633.93,4
1,-180,713.18,5
1,-180,434.66,6
1,-180,588.79,6
1,-180,487.9,6
