Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,604.975311,0
1,-150,641.274002,0
1,-150,613.013096,2
1,-150,1197.34471,1
1,-150,604.41453,2
1,-150,549.240614,2
1,-150,2543.9281,1
1,-150,2026.19704,1
0,-150,1399.68137,1
1,-150,1651.64785,1
0,-150,911.099289,0
1,-150,1099.36021,2
1,-150,794.718226,1
1,-150,574.822822,0
1,-150,501.338464,0
1,-150,541.463966,2
1,-150,620.277707,0
1,-120,703.848721,2
1,-120,990.315503,1
1,-120,732.704752,2
1,-120,820.298253,1
1,-120,632.830736,0
0,-120,1592.89962,0
1,-120,854.663965,0
1,-120,589.143281,2
1,-120,2008.901,0
1,-120,580.264268,2
1,-120,562.590341,2
1,-120,546.105758,2
1,-120,1455.87744,0
1,-120,2009.0242,0
1,-120,569.6488,2
1,-120,770.66591,1
1,-90,1381.41472,0
1,-90,746.23926,1
1,-90,1125.10988,0
1,-90,888.850155,1
1,-90,590.322829,2
1,-90,739.254238,2
1,-90,582.793469,2
1,-90,572.112857,2
1,-90,1442.73309,1
1,-90,501.045918,2
1,-90,705.953688,0
1,-90,630.297534,0
1,-90,690.437828,1
1,-90,676.15578,0
1,-90,823.777958,1
1,-60,915.602146,0
1,-60,634.880117,1
0,-60,865.08304,1
1,-60,562.025456,2
1,-60,582.19081,0
1,-60,924.729547,1
1,-60,1369.73259,0
1,-60,617.269424,2
1,-60,466.24325,2
1,-60,2007.78762,0
1,-60,1519.84028,0
1,-60,756.303076,2
1,-60,498.047256,1
1,-60,710.356816,1
1,-60,420.04634,1
1,-60,891.16865,0
1,-30,1197.61539,0
1,-30,578.796264,2
1,-30,794.976579,1
1,-30,590.183645,2
1,-30,728.268017,1
1,-30,1033.05441,1
1,-30,575.905172,2
1,-30,1649.07105,0
1,-30,521.290181,2
1,-30,592.814504,0
1,-30,1059.33056,0
1,-30,566.532436,0
1,-30,1154.54724,1
1,-30,640.725483,2
1,-30,523.771859,0
1,0,676.678684,1
1,0,597.259891,2
1,0,527.170981,2
1,0,610.927948,2
1,0,564.857622,2
1,0,1478.5119,1
1,0,616.568901,2
1,0,1202.80361,0
1,0,1736.28319,0
1,0,1392.15499,0
1,0,546.964805,2
1,0,514.500437,0
1,0,607.58628,2
1,0,596.220749,0
1,0,613.706382,1
1,30,1269.69552,1
1,30,1391.91683,0
1,30,1032.87526,1
1,30,879.619327,0
1,30,1077.93351,0
1,30,504.176595,1
1,30,912.596064,0
1,30,977.885786,0
1,30,508.909869,2
1,30,1114.5673,1
1,30,541.728375,2
1,30,1171.69177,1
0,30,705.576182,1
1,30,1424.67959,1
1,30,555.73297,1
1,30,668.644912,1
1,60,916.079284,1
1,60,686.01081,0
1,60,893.061293,0
1,60,656.513097,2
1,60,809.864645,1
1,60,1357.54461,1
1,60,558.261493,2
1,60,982.032232,0
1,60,559.770124,0
1,60,580.682741,0
1,60,854.770293,2
1,60,499.909311,1
1,60,513.793143,2
1,60,929.322812,1
1,60,641.154643,2
1,90,790.895528,1
1,90,660.898657,2
1,90,631.933724,2
1,90,686.971135,2
1,90,567.136674,2
1,90,980.336101,2
1,90,672.122815,2
1,90,1633.496,0
0,90,2056.29226,1
1,90,2294.25325,1
1,90,560.665596,1
1,90,580.415637,0
1,90,568.919777,2
1,90,497.776087,0
1,90,508.127401,1
1,90,547.086711,2
1,120,626.122566,1
1,120,696.321331,0
1,120,603.766269,2
1,120,1174.354,0
1,120,736.15708,1
1,120,844.862743,0
1,120,657.696425,2
1,120,2017.27162,0
1,120,812.440767,1
1,120,627.08574,1
1,120,1205.13992,2
1,120,469.345487,1
1,120,590.383438,0
1,120,601.861782,2
1,120,547.865889,1
1,150,527.104277,0
1,150,1405.89035,1
1,150,678.181586,0
1,150,699.618836,2
1,150,1114.34713,0
1,150,791.515761,1
0,150,625.8317,0
1,150,967.523493,0
1,150,369.945914,2
1,150,754.021255,1
1,150,697.713715,1
1,150,822.728958,1
1,150,740.409234,2
1,150,502.01266,2
1,150,549.326312,0
1,150,963.343674,0
1,180,628.94108,2
1,180,572.331898,1
1,180,714.137035,2
1,180,734.770194,2
1,180,1106.51995,0
1,180,885.89551,1
0,180,1073.49012,0
0,180,1855.30306,0
1,180,597.730233,2
1,180,1821.69558,0
1,180,663.707159,0
1,180,608.241369,1
1,180,753.275396,1
1,180,475.850179,1
1,180,541.415663,2
1,180,679.189774,2
1,180,1169.56176,2
1,-180,628.94,2
1,-180,572.33,1
1,-180,714.14,2
1,-180,734.77,2
1,-180,1106.5,0
1,-180,885.9,1
0,-180,1073.5,0
0,-180,1855.3,0
1,-180,597.73,2
1,-180,1821.7,0
1,-180,663.71,0
1,-180,608.24,1
1,-180,753.28,1
1,-180,475.85,1
1,-180,541.42,2
1,-180,679.19,2
1,-180,1169.6,2
