Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90,594.13944,2
1,150,536.553118,1
1,120,514.477684,0
1,90,473.444422,0
1,-60,648.983977,0
1,30,406.191073,1
1,-60,571.266949,0
1,150,397.082323,1
1,30,540.64633,1
1,180,567.975225,2
1,90,539.018469,2
1,-60,514.081868,0
1,-120,594.971995,0
1,-90,613.913106,1
1,0,395.540106,0
0,180,511.172149,0
1,-90,554.188315,0
1,180,507.113925,0
1,120,479.681979,0
1,0,414.364057,0
1,-120,385.157969,1
1,-30,473.633368,0
1,30,598.048454,0
1,120,612.809191,1
1,90,524.252989,0
1,180,683.729589,0
1,90,750.160904,1
1,-90,560.274022,2
1,30,761.835096,1
1,90,354.31251,0
1,-150,605.155648,1
1,120,447.079248,1
1,0,462.889156,2
1,180,625.515859,1
1,90,529.138973,0
1,90,478.368365,2
1,30,512.999679,2
1,-120,491.891215,0
1,0,504.74509,1
1,180,543.050856,2
1,0,537.46899,1
1,-120,357.72294,0
1,-120,378.334942,0
1,-150,544.326564,2
1,30,433.923931,2
1,-30,555.751983,0
1,-30,508.17182,0
1,-60,474.608461,1
1,30,510.850288,0
1,60,417.781344,0
1,-150,459.055426,1
1,180,573.847364,2
1,-150,454.282329,0
1,-90,590.593534,0
1,150,589.805885,0
1,120,432.887024,0
1,180,589.489226,0
1,0,477.411544,0
1,0,744.143578,2
1,0,532.132632,0
1,180,546.702371,0
1,150,355.64547,0
1,-90,492.84587,2
1,-30,458.846393,0
1,-90,358.110594,1
1,30,470.957939,0
1,-30,443.183906,0
1,60,480.927022,2
1,120,557.994701,1
1,30,454.305852,2
1,60,709.960673,1
1,-150,481.848505,1
1,0,730.97486,1
1,60,569.398815,0
0,-60,510.457353,0
1,-120,527.814735,2
1,-120,473.304587,0
1,-150,545.998949,0
1,60,414.317137,0
1,120,505.390998,2
1,90,470.638346,2
1,120,655.859209,0
1,150,436.081422,1
1,-150,470.219029,0
1,-150,474.230915,2
1,-30,453.537378,0
1,-90,799.183349,2
1,150,463.12038,2
1,90,464.893947,2
1,-150,498.836855,1
1,90,380.147559,1
1,-60,563.444808,2
1,-120,589.770241,0
1,120,675.791441,1
1,-60,439.004639,1
1,-90,444.031659,2
1,180,502.257306,1
1,0,518.591829,0
1,60,498.987571,1
1,-60,464.323297,1
1,-120,515.875979,0
1,180,541.939389,1
1,150,409.577316,1
1,-30,382.954067,1
1,90,466.664924,1
1,150,389.406286,1
1,60,365.654332,1
1,-30,343.686071,0
1,150,590.74938,1
1,30,535.831781,0
1,-90,466.981179,1
1,120,463.564029,1
1,-120,366.167037,1
1,0,619.971566,0
1,90,558.510974,1
1,-90,497.040037,0
1,60,470.918878,0
1,0,575.326646,1
1,-90,448.979401,1
1,30,600.536079,2
1,30,451.262149,0
1,-30,448.009642,2
1,-120,271.057087,1
1,-150,464.457137,2
1,180,443.282342,1
1,0,315.42356,0
1,-30,259.948976,1
1,-60,393.961707,1
1,30,395.290059,2
1,180,448.839371,2
1,-60,575.593241,2
1,-60,438.195161,0
1,120,292.391951,1
1,180,474.438566,2
1,150,396.315538,0
1,150,447.715408,2
1,60,406.042281,1
1,60,404.313048,1
1,-120,402.185045,1
1,-150,426.736826,1
1,-30,550.531345,0
1,-60,521.473177,1
1,-90,639.088138,0
1,180,476.630703,2
1,150,530.520314,2
1,-60,392.136661,0
1,60,522.716775,2
1,-60,327.927326,1
1,-150,430.194113,1
1,-30,365.223453,0
1,90,536.199909,0
1,0,415.136376,1
1,-150,500.589604,1
1,120,409.923888,1
1,-120,488.511571,0
1,60,479.355293,2
1,-90,436.245677,0
1,120,484.904269,2
1,-30,422.692366,0
1,150,491.78326,2
1,150,514.22637,0
1,-150,430.217128,0
1,30,439.820632,0
1,-120,382.681729,0
1,-150,345.147294,1
1,-60,483.537433,2
1,-90,574.457066,2
1,-30,533.756648,2
1,-120,457.745982,1
1,60,372.916644,1
1,60,380.729438,1
0,60,377.641761,0
1,120,523.214059,2
1,90,363.191557,2
1,-30,390.458555,1
0,-90,455.684585,2
1,30,605.1845,0
1,150,450.559003,0
1,120,576.592261,0
1,0,396.549362,2
1,180,427.100603,2
1,-60,364.459598,1
1,60,449.032015,0
1,-90,473.113022,2
1,-180,567.98,2
0,-180,511.17,0
1,-180,507.11,0
1,-180,683.73,0
1,-180,625.52,1
1,-180,543.05,2
1,-180,573.85,2
1,-180,589.49,0
1,-180,546.7,0
1,-180,502.26,1
1,-180,541.94,1
1,-180,443.28,1
1,-180,448.84,2
1,-180,474.44,2
1,-180,476.63,2
1,-180,427.1,2
