Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,1023.667,0
1,-150,865.6509,0
1,-150,743.4847,1
1,-150,747.7387,0
0,-150,733.1549,1
1,-150,632.9172,2
1,-150,582.5672,2
1,-150,590.7039,1
1,-150,580.0593,1
1,-150,469.3993,1
1,-150,515.6675,1
1,-150,507.9675,2
1,-150,525.4047,2
1,-150,537.9268,0
1,-150,513.8755,1
1,-150,490.0609,1
1,-120,963.325,0
1,-120,760.6858,0
1,-120,817.2747,2
1,-120,741.1849,1
1,-120,626.9357,1
1,-120,734.848,0
1,-120,569.6243,0
1,-120,584.5525,2
1,-120,710.8362,0
1,-120,629.8363,1
1,-120,549.1421,0
1,-120,596.0899,0
1,-120,459.2099,1
1,-120,546.589,0
1,-120,543.6409,2
1,-90,768.8825,2
1,-90,624.7739,1
1,-90,701.9751,1
1,-90,734.37,2
1,-90,660.9848,1
1,-90,746.143,0
1,-90,585.9083,2
1,-90,612.5295,0
0,-90,638.8688,0
1,-90,522.123,0
1,-90,502.3118,1
1,-90,533.6448,1
1,-90,550.4051,2
1,-90,572.6862,2
1,-90,421.5085,0
1,-90,504.2292,2
1,-60,797.9908,1
1,-60,1006.666,1
1,-60,901.005,1
1,-60,623.5413,1
1,-60,703.6477,1
1,-60,579.7365,2
1,-60,521.648,2
1,-60,506.4344,0
1,-60,731.6586,2
1,-60,417.6911,1
1,-60,538.4147,2
0,-60,519.5143,2
1,-60,666.3505,1
1,-60,478.4219,0
1,-60,592.4084,2
1,-60,445.6292,2
1,-30,783.4605,0
1,-30,940.3485,1
1,-30,860.4315,2
1,-30,781.855,1
1,-30,697.0838,1
1,-30,631.0488,1
1,-30,694.5799,0
1,-30,474.1759,0
1,-30,588.5915,0
1,-30,604.5539,2
1,-30,486.2962,0
1,-30,510.6201,2
1,-30,545.396,2
1,-30,478.3422,1
1,-30,426.0347,0
1,0,1089.679,1
1,0,654.2703,0
1,0,642.2244,1
1,0,1016.828,1
1,0,515.1923,0
1,0,632.3527,1
1,0,442.8492,0
1,0,524.1744,1
1,0,516.5145,2
1,0,445.9952,0
1,0,424.7858,1
1,0,661.2869,1
1,0,432.215,0
1,0,526.6457,1
1,0,341.9372,1
1,30,663.5596,2
1,30,737.8909,2
1,30,634.3965,2
1,30,637.0614,2
1,30,526.9088,0
1,30,552.9323,2
1,30,547.9917,1
1,30,543.2055,0
1,30,565.083,1
1,30,530.6848,0
1,30,449.4367,1
1,30,546.3639,0
1,30,504.7459,2
1,30,535.1451,0
1,30,389.1973,1
1,60,844.7189,1
0,60,1163.751,2
1,60,788.5329,1
1,60,704.3307,2
1,60,793.7665,2
1,60,558.2565,0
1,60,640.372,0
1,60,670.2086,0
1,60,502.6252,2
1,60,572.6166,2
1,60,659.5992,2
1,60,474.614,2
1,60,545.0062,0
1,60,511.2833,0
1,60,476.5847,2
1,60,527.627,0
1,90,1143.49,0
1,90,682.7457,1
1,90,943.8329,2
1,90,718.2021,0
1,90,826.0026,2
1,90,614.4463,1
1,90,665.5431,1
1,90,654.0712,0
1,90,547.7748,2
1,90,564.354,2
1,90,516.6491,2
1,90,499.1536,0
1,90,609.967,0
1,90,522.9292,0
1,90,483.4566,2
0,120,825.8698,2
1,120,650.5844,0
1,120,670.818,1
1,120,609.5947,1
1,120,658.5747,1
1,120,705.1119,0
1,120,534.9573,0
1,120,449.7739,0
1,120,520.6005,0
1,120,535.7385,1
1,120,582.2891,2
1,120,504.2877,2
1,120,426.6913,2
1,120,482.3304,1
1,120,514.9882,1
1,120,477.9917,0
1,150,644.368,2
1,150,672.3916,1
1,150,648.9759,1
1,150,564.9028,1
1,150,605.6983,2
1,150,538.1472,0
1,150,506.5103,0
1,150,613.0721,0
1,150,595.731,1
1,150,641.3144,1
1,150,578.1935,2
1,150,764.9051,1
1,150,543.0262,0
1,150,598.7434,0
1,150,587.5997,0
1,180,961.5271,2
1,180,781.1847,2
1,180,943.9034,1
1,180,735.9351,1
1,180,588.2563,1
1,180,773.1482,1
1,180,725.0064,1
1,180,971.0186,0
1,180,568.5871,2
1,180,585.4072,0
1,180,581.1786,0
1,180,531.6157,0
1,180,529.9276,1
1,180,567.1434,1
1,180,586.0696,0
1,-180,961.53,2
1,-180,781.18,2
1,-180,943.9,1
1,-180,735.94,1
1,-180,588.26,1
1,-180,773.15,1
1,-180,725.01,1
1,-180,971.02,0
1,-180,568.59,2
1,-180,585.41,0
1,-180,581.18,0
1,-180,531.62,0
1,-180,529.93,1
1,-180,567.14,1
1,-180,586.07,0
