Correct Response,Rotation (deg),Reaction Time (ms),Target
0,30,972.82309998665,1
0,30,-109.0,0
1,30,698.4889000272378,0
0,30,650.5918000442907,1
1,30,760.1252999706194,2
1,120,809.0551000172272,1
1,180,760.9445000384003,2
1,-120,849.4209000458941,1
1,-150,627.4482000702992,0
0,-60,893.8672999469563,0
1,-60,1090.888899922371,0
1,90,1182.7739999247715,2
0,-150,884.943199981004,0
0,-150,829.821200048551,2
1,-150,1140.0563000319526,2
1,-90,613.7912000380456,1
1,150,1032.1834999453276,0
0,-120,1047.94960008841,0
1,-120,483.65000000596046,0
0,180,597.3319999724627,2
1,180,572.1082999920473,2
1,150,790.219200015068,1
0,30,956.1414999738336,2
1,30,1103.6554999267682,2
1,60,528.2851000633091,2
1,0,696.2134000463411,1
1,90,819.4658000105992,1
1,120,615.8191999970004,1
0,-60,-109.0,0
1,-60,728.414399953559,1
1,-150,667.5986999729648,1
0,-150,662.0396000184119,2
0,-150,868.9855000087991,0
1,-150,407.9503000797704,1
1,150,781.8699000021443,1
1,-90,934.1668000528589,0
1,150,922.4444000832736,0
0,60,-109.0,1
1,60,677.4845999283716,0
1,-90,870.8656000057235,0
1,-30,536.7086000591516,0
0,-90,431.55540007539093,1
0,-90,602.2330000381917,0
1,-90,700.0916000073776,1
1,0,775.1805000556633,1
0,150,644.0860000988469,2
0,150,714.7487999722362,2
1,150,1145.8797000199556,0
1,-120,770.706000094302,1
1,180,965.9884999822825,3
1,-30,635.9083999963477,4
1,-60,328.4918999383226,5
1,90,1019.2442000228912,5
1,-150,742.6638000728562,5
0,-30,560.8232999769971,3
1,-30,524.9655000483617,3
1,0,385.4506000028923,3
1,180,731.0403999257833,5
1,0,561.8485999843106,4
1,0,510.47569996118546,4
1,180,797.4988000318408,4
1,-30,589.8658999325708,5
1,30,558.8321999497712,4
1,-120,451.2063999976963,4
1,0,530.0012999763712,5
1,90,433.64840006362647,3
1,-120,465.7165000066161,3
0,-60,510.2576000466943,4
1,-60,519.4685999853536,5
1,-60,557.3699999917299,3
1,90,837.7852999223396,3
1,30,455.4766000332311,3
1,0,386.7861000439152,3
1,180,633.6533000543714,3
1,-90,662.6403999365866,5
1,30,823.4057000922039,5
1,-30,502.8383000139147,3
1,30,507.2981999805197,3
0,120,643.7491999790072,4
1,120,490.60509999655187,5
1,60,612.5831000357866,4
0,180,708.8742999443784,3
1,180,440.58170000463724,3
0,60,391.1333999680355,3
1,60,358.11009996943176,3
1,60,443.6283000363037,3
1,150,476.7742000371218,6
1,30,399.42000008560717,7
1,-90,330.6097999997437,6
0,-120,631.0632000062615,7
1,-120,441.25740002747625,6
1,-150,501.3514999849722,6
1,150,538.6636999286711,7
1,120,356.4077000450343,6
1,-30,723.4083000188693,7
1,90,519.5917999921367,8
1,120,639.078899923712,8
1,-90,618.6731999590993,7
0,-150,709.4199000243098,7
0,-150,455.6783000556752,8
1,-150,561.1326000038534,8
1,-30,700.210899984464,8
1,-120,518.1431000204757,8
1,-90,605.4562000175938,7
1,-60,566.5715999752283,6
0,90,498.46610001660883,7
1,90,595.9860999686643,8
1,60,406.97000006586313,8
0,-120,510.8968000244349,8
1,-120,643.6953000342473,7
1,60,555.2357999226078,6
1,120,757.9527999591082,7
1,90,462.9783999957144,8
1,-150,666.3152999794111,7
1,-30,808.240499984473,7
1,150,400.09509998746216,7
1,60,463.80050008557737,6
1,120,576.0565000204369,7
1,-60,605.9081999668851,8
1,-60,536.7406000699848,6
1,120,478.05279999412596,6
1,180,354.71250005904585,6
1,0,703.4699998879805,7
1,-180,760.94,2
0,-180,597.33,2
1,-180,572.11,2
1,-180,965.99,3
1,-180,731.04,5
1,-180,797.5,4
1,-180,633.65,3
0,-180,708.87,3
1,-180,440.58,3
1,-180,354.71,6
