Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,767.5072000678629,2
1,-90,801.6099000200629,1
1,0,649.11860000249,0
1,60,996.6712000863627,1
1,0,639.9216000540182,0
1,180,633.2296999720857,2
1,180,429.458300055936,1
1,-60,505.6404000464827,0
1,-150,467.08929998241365,1
1,-30,427.85560007579625,2
1,-30,1033.5995000172406,2
1,-150,453.66189995221794,1
1,90,1107.77830000408,1
1,-90,721.1510999444872,2
1,150,924.2896000472829,0
1,30,825.9640000145882,1
1,-90,755.0610999427736,2
1,-60,843.9678999679163,2
1,90,901.8260000124574,0
1,-120,978.3817999381572,0
1,120,1120.8753999639302,1
1,150,834.6657000333071,2
1,120,746.2046000258997,1
1,-150,892.5027000335976,2
1,-30,764.7032999051735,0
1,30,837.4615000179037,0
1,0,837.2637999095023,1
1,-150,872.7814000416547,0
1,90,858.8034000098705,1
1,30,940.1578000364825,2
1,180,613.5787000497803,0
1,60,886.2660000417382,2
1,150,633.367000086233,3
1,120,979.1394000025466,5
1,30,758.565399967134,4
1,60,591.6034000078216,5
1,-30,759.0681000696495,4
1,-90,701.3835999500006,3
1,-120,797.7387999966741,5
1,0,583.2473000595346,3
1,-60,442.0433000745252,3
1,60,912.7091999948025,4
1,-30,541.0965000595897,4
1,60,586.6231000367552,3
1,-150,705.620399964042,4
1,-90,586.0725000351667,3
1,30,744.4024000400677,5
1,90,848.3968999320641,5
1,90,967.8680999753997,4
1,30,666.2813000697643,5
1,0,493.2906999569386,3
1,0,722.0880999779329,5
1,-60,578.9517000634223,3
1,0,871.7708999142051,5
1,-60,627.5696000633761,4
1,-90,562.3223999831825,3
1,-60,577.4713000832126,3
1,90,725.419299964793,5
1,150,648.9376000212505,3
1,180,719.0177999986336,4
1,120,729.3486999664456,4
1,0,488.12990000844,3
1,-150,517.9320000428706,5
1,180,496.82489997614175,5
1,-150,528.9358000122011,8
1,120,448.7697999542579,7
1,150,640.2551000323147,6
1,-30,552.8701000697911,6
1,-30,503.44190006982535,8
1,180,590.3930999888107,6
1,180,533.5516000017524,8
1,-120,391.43430004734546,7
1,-60,857.1597999511287,6
0,90,596.3405999904498,7
1,90,570.4114999938756,6
1,30,624.6184999439865,8
1,120,529.5286999866366,8
1,-90,429.3833000669256,7
1,-60,641.8954999502748,6
1,-120,698.7267999760807,7
1,30,503.30569996405393,6
1,-150,439.41859999578446,7
1,-120,603.0107000228018,6
1,-90,577.6355000529438,6
1,150,682.0725000547245,8
1,-120,585.0448000095785,8
1,180,654.3100000675768,7
1,60,681.9740000031888,6
1,120,573.922099949792,6
1,120,593.9673000797629,8
1,150,717.7472999868914,7
1,-120,746.2213000366464,7
1,60,502.7992999497801,6
1,-30,672.1767000239342,7
1,60,643.4077999405563,6
1,90,723.3508999310434,8
1,150,520.0865000337362,8
1,-180,633.23,2
1,-180,429.46,1
1,-180,613.58,0
1,-180,719.02,4
1,-180,496.82,5
1,-180,590.39,6
1,-180,533.55,8
1,-180,654.31,7
