Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,394.98040004074574,0
0,150,-109.0,0
1,150,770.2805999983102,1
1,60,846.49469999969,2
1,-150,683.2662999480963,1
1,-120,407.11460000276566,0
1,90,768.6522000553086,2
1,120,656.1994000189006,1
1,-90,712.7094999272376,2
0,-120,673.6399999903515,0
1,-120,868.2068000165746,2
1,0,636.6478000385687,1
1,150,744.9848000509664,2
1,0,1048.1412000339478,0
1,-30,686.0053999666125,0
1,-30,779.6666999896988,2
0,60,1027.2883999245241,1
1,60,855.2810999648646,2
1,-120,739.4025999205187,1
1,180,575.5249000471085,0
1,-120,665.2510999087244,1
1,60,1038.568800020963,2
1,180,692.8075000727549,1
1,-60,916.78300004825,1
1,120,655.556200010702,1
1,180,639.2698999810964,2
1,-90,505.43440010771155,1
1,150,1020.7064999816939,2
1,150,667.8503999104723,0
1,180,678.8800000762567,0
1,0,435.6558999828994,1
1,90,939.1837999541312,2
0,-60,655.4525999203324,2
1,-60,1080.18909993954,0
0,30,1029.9731999952346,2
1,30,728.0989999966696,1
1,90,966.2433999441564,2
1,30,822.4425999764353,4
1,30,419.1839999370277,5
1,-60,692.2565000681207,4
1,0,339.19869997445494,3
1,180,536.5014999955893,5
1,60,446.5715999798849,5
1,180,720.4968000845984,4
1,-150,434.6863999348134,3
1,150,550.8715999862179,3
1,120,648.7045999933034,4
1,-120,487.1909999605268,4
1,-90,399.78380006179214,3
1,-30,573.8571000369266,5
1,60,395.9561000196263,5
1,-150,394.94039996899664,3
1,120,405.70079994760454,5
1,-150,523.6639000326395,3
1,-120,417.0975999990478,5
1,30,448.9681999515742,5
1,30,442.954000024125,5
1,0,433.07620001398027,3
1,-60,501.17230001743883,3
1,150,625.5623000292107,3
1,-30,448.3947000084445,4
1,30,598.3493000352755,3
1,-60,518.3270000237972,4
1,90,674.3952000364661,4
1,90,509.38040000293404,3
1,120,481.74649994727224,3
1,-30,384.63250005990267,5
1,150,519.3842999255285,5
1,30,480.5109000848606,5
1,-30,612.7391999438405,7
1,90,351.6988000450656,6
1,-90,437.3489000685513,8
1,120,450.92380005773157,6
1,-60,726.702000069432,7
1,90,457.1561000160873,6
1,120,393.87829991430044,6
1,-150,448.711600093171,8
1,-30,362.03490005247295,7
1,-150,629.6097999988124,7
1,-90,541.4258998902515,7
1,0,523.1555000031367,7
1,-90,325.90410002414137,6
1,-150,551.4165999451652,6
1,-30,497.7679999396205,7
1,-60,541.0844000838697,7
1,120,417.38240007217973,6
1,0,468.61789998039603,8
1,60,510.4160000886768,7
1,30,426.0877000018954,7
1,150,485.38759996555746,7
1,0,344.50339997094125,6
1,90,430.3082000082359,6
1,-120,391.67400000989437,6
1,-150,411.8487999625504,6
1,-120,386.441299979575,8
1,-90,506.8516000723466,8
1,60,383.36039991956204,8
1,60,407.26890001352876,8
1,-60,543.346899965778,8
1,180,389.38589993305504,8
1,180,535.4043000228703,7
1,-180,575.52,0
1,-180,692.81,1
1,-180,639.27,2
1,-180,678.88,0
1,-180,536.5,5
1,-180,720.5,4
1,-180,389.39,8
1,-180,535.4,7
