Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150,661.6332999514416,1
1,90,579.1778000388294,0
1,180,788.0843999413773,2
0,-60,-109.0,1
1,-60,1071.8245000429451,0
1,60,680.3755999393761,2
1,120,811.9036000538617,2
1,-90,730.1329000005499,1
1,-120,761.4349999316037,1
1,-30,774.3047000225633,2
1,-60,813.3005999810994,1
1,120,792.8057000357658,0
1,-30,661.8056999836117,2
1,0,535.4146999856457,1
1,180,728.6364000141621,2
1,120,539.830599966459,1
1,-120,607.0997000755742,1
1,-30,633.2094999346882,0
1,-150,814.0228000087664,2
0,150,797.741900020279,0
1,150,809.7216999707744,2
1,-30,770.9473000690341,1
0,-120,728.0371001074091,0
1,-120,691.4099000245333,2
1,150,799.2680999999866,1
1,180,676.1006001001224,2
1,-150,648.3115000268444,1
1,-90,573.2606000350788,0
1,120,705.2495999345556,1
1,90,607.0382000729442,0
1,120,683.029200005345,1
1,-120,732.7917001061141,1
1,60,935.9823999078944,0
1,90,622.4857000019401,1
1,150,628.5726000173017,1
1,-60,515.085999908857,3
0,180,895.8616999993101,3
1,180,884.8713000155985,4
1,-150,535.9100999161601,5
1,-60,471.1836000755429,3
1,0,542.2214000103995,4
1,150,575.5965000102296,3
1,120,868.9779999516904,4
1,-120,493.828299975954,5
1,30,678.4964999500662,4
1,-120,777.9546999922022,3
1,-150,636.4267999855801,4
1,30,540.2745999712497,5
1,90,782.0769999492913,4
1,-150,467.91579998936504,3
1,30,707.2900999886915,5
1,150,599.262600004673,3
1,90,491.347499945201,3
1,0,560.165899977088,5
1,30,684.5655999463052,5
1,30,620.162700008601,3
1,150,679.2921999553218,4
1,-90,461.43640001211315,3
1,90,585.6687999879941,3
1,-120,690.9827000312507,5
1,120,684.9100000075996,4
1,-60,667.7432000255212,4
1,-60,630.4693000242114,5
1,90,461.30830008443445,3
1,60,504.14179992768914,3
1,-90,522.273000035435,3
1,180,641.2286999952048,4
1,-120,687.4412000728771,5
1,180,638.1058000810444,8
1,-60,430.4400000805035,7
1,30,1022.3789000269026,8
1,-30,662.7135000275448,6
1,0,460.7787000099197,8
1,60,566.8240999188274,7
1,-30,616.5514999851584,8
1,90,625.5823999494314,6
1,60,680.3114000326023,8
1,-60,522.1865000752732,7
1,-30,468.1258999593556,8
1,150,669.0493999598548,8
1,60,386.8304000319913,6
1,0,464.55630001984537,8
1,-90,560.6078999666497,7
1,0,605.9365999503061,7
1,-30,537.6130999615416,6
1,-150,663.3186999792233,8
1,-150,596.0518000032753,7
1,180,423.88770001381636,6
1,-90,517.2554998975247,7
1,-90,500.3516000546515,8
1,-150,593.1313000004739,6
1,30,556.3068999294192,7
1,180,741.3013000590727,7
1,0,333.87289993371814,6
1,60,625.7600000211969,7
1,120,859.9466999843717,8
1,0,556.5993999447674,6
1,30,513.9725000448525,7
1,60,733.9738000268117,7
1,-90,398.36219994723797,6
1,-180,788.08,2
1,-180,728.64,2
1,-180,676.1,2
0,-180,895.86,3
1,-180,884.87,4
1,-180,641.23,4
1,-180,638.11,8
1,-180,423.89,6
1,-180,741.3,7
