Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,658.5912815,2
1,-150,652.2089895,0
1,-150,544.5050485,2
1,-150,491.4395905,1
1,-150,824.5836485,1
1,-150,625.4910985,2
1,-150,2562.486376,2
1,-150,630.6305195,0
1,-150,878.0922765,1
1,-150,639.0485455,0
1,-150,558.7702265,1
1,-150,672.1817755,1
1,-150,892.7127135,2
1,-150,574.7851785,1
1,-150,578.5792645,2
1,-120,585.5293475,1
1,-120,711.9753975,2
1,-120,782.6304435,2
1,-120,701.2924195,0
1,-120,850.9617435,0
1,-120,868.7362445,1
1,-120,764.7303695,0
1,-120,565.4618565,2
1,-120,1043.854058,1
1,-120,1106.675517,1
1,-120,608.1737485,1
1,-120,561.9072135,2
1,-120,691.9692485,0
1,-120,1167.227241,2
1,-120,611.2143055,0
1,-90,779.4897465,2
1,-90,575.5268725,1
1,-90,733.6436455,1
1,-90,966.7634195,1
1,-90,553.2722245,2
1,-90,629.7446645,2
1,-90,654.0861725,0
1,-90,652.6159685,0
1,-90,726.0683935,1
1,-90,617.0908385,0
1,-90,728.9815245,1
1,-90,752.5091035,0
1,-90,1031.22088,1
1,-90,796.8061975,0
1,-90,571.4077335,0
1,-60,597.5012185,2
1,-60,647.0798045,2
1,-60,630.8601585,0
1,-60,647.0109795,1
1,-60,921.7810635,1
1,-60,522.3622955,1
1,-60,615.7079845,1
1,-60,518.9425425,0
1,-60,928.0887325,0
1,-60,1049.767463,0
1,-60,790.5946645,0
1,-60,482.6605325,2
1,-60,592.0601315,0
1,-60,527.4240935,0
1,-60,572.9158085,0
1,-30,726.5704485,0
1,-30,552.4334565,2
1,-30,518.6830555,2
1,-30,646.9832035,2
1,-30,577.5571635,2
1,-30,659.0291025,2
1,-30,585.8508155,1
1,-30,456.5045685,1
1,-30,684.6968825,2
1,-30,612.5744565,2
1,-30,465.0768555,0
1,-30,604.8971575,2
1,-30,636.0704375,1
1,-30,553.2223465,2
1,-30,840.3132225,1
1,0,549.4337715,0
1,0,693.8850945,1
1,0,435.9250845,0
1,0,554.2381345,1
1,0,602.5944145,0
1,0,432.1165195,2
1,0,546.0383585,0
1,0,717.0597785,0
1,0,453.8144965,0
1,0,1530.913924,0
1,0,1324.120322,0
1,0,1053.721525,2
1,0,442.5366055,2
1,0,647.2118025,2
1,0,568.5467435,1
1,30,478.3130655,0
1,30,808.1990835,0
1,30,1005.809799,0
1,30,516.1547245,1
1,30,439.9041145,1
1,30,682.9018925,1
1,30,512.9157645,2
1,30,512.0049895,0
1,30,640.6202985,1
1,30,506.4984305,0
1,30,650.1818265,0
1,30,658.4381065,2
1,30,792.6138015,0
1,30,1008.820664,2
1,30,437.3127525,0
1,60,571.6598875,2
1,60,490.9073925,0
1,60,1621.924509,1
1,60,691.6494105,0
1,60,560.0894465,1
1,60,743.5481465,0
1,60,650.1528755,0
1,60,888.4188405,0
1,60,416.4060085,1
1,60,759.8029535,1
1,60,637.1515555,0
1,60,579.7550195,1
1,60,672.8841835,0
1,60,715.4941815,0
1,60,597.7182115,2
1,90,701.3130375,0
1,90,1489.649823,0
1,90,682.9484405,1
1,90,581.7092925,1
1,90,607.3425555,1
1,90,512.4127255,0
1,90,552.8758345,2
1,90,602.8153625,2
1,90,556.9459985,2
1,90,535.1464045,2
1,90,906.0954795,1
1,90,692.6559165,2
1,90,1010.141085,2
1,90,760.1007765,1
1,90,680.1518725,2
1,120,523.9298445,1
1,120,769.5846245,2
1,120,588.0143855,1
1,120,634.6812585,2
1,120,981.7108715,0
1,120,971.6169995,0
1,120,680.1035305,0
1,120,529.6473875,0
1,120,648.7690855,2
1,120,463.8350755,1
1,120,742.5906205,0
1,120,826.6796035,1
1,120,685.7703915,2
1,120,614.8637625,1
1,120,661.4661755,0
1,150,560.4949335,2
1,150,785.9070865,2
1,150,780.0127925,2
1,150,689.3176355,1
1,150,681.3400085,0
1,150,637.7193015,1
1,150,648.5429055,2
1,150,879.4150605,1
1,150,793.7870185,2
1,150,679.4256805,2
1,150,1495.24849,1
1,150,986.5929185,1
1,150,1105.610453,2
1,150,526.1945325,0
1,150,661.9982805,1
1,180,882.3513295,2
1,180,785.2829675,1
1,180,762.2022895,0
1,180,718.9709635,2
1,180,506.3912675,1
1,180,669.5176685,0
1,180,639.4240175,2
1,180,587.9741315,1
1,180,762.4738235,1
1,180,752.0331995,2
1,180,638.5619965,1
1,180,693.1435755,0
1,180,546.3344475,2
1,180,702.0504075,1
1,180,728.4305455,2
1,-180,882.35,2
1,-180,785.28,1
1,-180,762.2,0
1,-180,718.97,2
1,-180,506.39,1
1,-180,669.52,0
1,-180,639.42,2
1,-180,587.97,1
1,-180,762.47,1
1,-180,752.03,2
1,-180,638.56,1
1,-180,693.14,0
1,-180,546.33,2
1,-180,702.05,1
1,-180,728.43,2
