CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,150,1046.49879996665,0
1,90,579.058500044048,1
1,-60,496.090200068429,0
1,-90,441.855300022289,0
1,90,415.062100081705,1
1,-120,456.355899958871,0
1,-90,387.502100006677,1
1,90,437.361600031145,1
1,120,658.950999998488,0
1,-60,439.308899957687,0
1,-30,403.188399891369,0
1,-150,446.946300021373,0
1,90,632.477500047535,0
1,-30,437.224000031129,0
0,-60,407.463400079869,1
1,30,471.037499993108,0
0,120,423.11649994459,1
1,60,480.333799999207,0
1,-120,516.05219991412,0
1,-30,526.024100058712,0
1,0,637.777199889533,1
1,150,440.487299966626,1
1,-90,632.044300008565,1
1,0,406.751400013454,1
1,-150,478.76510004513,0
1,0,476.722599975765,0
1,90,850.725600067526,0
1,-120,479.745300058275,0
1,120,460.617300043814,0
1,-60,435.890700006858,0
1,-150,406.987300063483,1
1,120,515.842800065875,1
1,150,461.620199996978,0
1,0,424.774699998088,0
1,30,456.573699987493,0
1,-30,425.652300044894,0
0,-90,421.755300057121,1
1,-60,487.512300061062,0
1,150,494.606199944392,0
1,60,517.526399963535,1
1,-150,653.734899978153,1
1,120,529.359199958853,1
1,60,587.047099987976,0
1,90,525.622799913399,0
1,-60,683.463899921626,0
1,90,838.44280002173,0
1,180,570.321599990129,1
1,0,427.74359990377,1
1,30,593.102399995551,0
1,30,625.126699954271,0
1,180,486.350200059824,0
1,60,556.050499938428,1
1,-90,441.196600012481,0
1,0,447.665400025435,1
1,-90,511.924499915913,1
1,150,462.551599987783,1
1,180,470.451499954797,0
1,-120,692.627299963497,0
1,90,804.188300077803,1
1,90,667.22320000641,0
0,-120,652.861199961044,1
1,-150,877.315099970438,0
1,150,892.944100000896,1
1,-60,613.250799980015,0
1,120,513.792299935594,1
1,-150,772.640399904922,1
1,-60,499.031299995258,0
1,120,675.233199996874,0
0,60,1054.65610003099,1
1,0,536.475200010464,0
1,-30,549.425200014375,1
1,-120,766.664500036277,0
1,30,618.936199964955,0
1,0,686.956699974835,0
1,0,576.350699914619,1
1,0,471.508900090121,1
1,180,673.643099996261,0
1,180,583.447399935685,0
1,-30,627.609399999492,1
1,-60,548.25330005493,1
1,-120,597.280099908821,0
1,150,552.368599958718,1
1,-90,542.260700059123,1
1,180,457.14489991311,0
1,90,611.823599939235,1
1,30,537.158499974757,1
1,30,444.572199988179,1
1,180,651.474399995059,1
1,180,436.289600017481,1
1,30,577.625600076281,1
1,-150,462.959299948998,0
0,-90,510.103900022805,0
1,60,605.278799929656,1
1,120,578.628399912268,0
1,30,640.59230002109,1
1,0,520.626199934632,0
1,60,828.328999960795,1
1,120,529.587100064382,0
1,150,686.747500011697,1
1,-120,615.49169993028,0
1,60,650.851500025019,1
1,120,707.448100009933,1
1,-30,555.678100013174,0
1,-120,537.864700113423,1
1,60,607.675900021568,0
1,-30,623.152700057253,1
0,180,545.357500007376,1
1,60,729.986700033769,0
1,-150,746.525100003928,0
1,-60,836.82349991519,0
1,90,643.961399947293,0
1,-120,766.217500008643,1
1,-30,634.87450002227,0
1,-120,759.390500062145,0
1,-90,625.021299966611,0
1,-150,889.814300034195,0
1,-90,1296.9807000272,0
1,-30,704.852099916898,0
1,30,563.967700037174,0
1,-30,529.788100081496,1
1,120,640.610500043258,0
1,180,525.997099969536,0
1,-90,567.499499921687,1
1,-150,553.169200001284,1
1,60,503.373099993914,1
1,60,512.718900027685,1
1,30,640.282399989665,0
1,-60,704.416399975307,0
1,0,532.612400050275,1
1,120,618.484100014903,0
1,0,446.226100008935,1
1,-90,547.037599994801,0
1,-150,673.004400022328,1
1,0,440.200899997726,1
1,0,453.401099927723,1
1,-60,419.977600025013,1
1,-150,407.880299994722,1
1,0,611.225200039335,0
1,180,576.51309998706,1
1,150,490.782800051384,0
1,-120,545.454399930313,1
1,30,552.370599973947,0
1,180,553.675400014035,1
1,150,414.071399988607,0
1,-30,506.362600056455,1
1,150,491.5363999689,0
1,0,516.904400000349,0
1,90,628.744100024924,0
1,150,584.76370006334,1
1,0,755.017399941571,1
1,-60,464.281600005925,0
1,120,754.899899978191,1
1,-90,618.888200065121,0
1,-120,765.683800019324,1
1,60,604.869000068866,1
1,-90,541.877899938263,0
1,180,530.378900039941,1
1,-180,570.32,1
1,-180,486.35,0
1,-180,470.45,0
1,-180,673.64,0
1,-180,583.45,0
1,-180,457.14,0
1,-180,651.47,1
1,-180,436.29,1
0,-180,545.36,1
1,-180,526,0
1,-180,576.51,1
1,-180,553.68,1
1,-180,530.38,1
