CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,180,572.693699993542,0
1,-60,491.989499999327,0
1,30,328.075000005774,0
1,150,398.064200003282,0
1,-150,553.671499998891,1
1,120,386.772899998468,1
0,90,360.090499999351,0
0,-150,393.247699998901,1
1,-150,595.998099998687,0
1,-120,576.038899999694,1
1,30,563.734899996198,1
1,90,603.81529999082,1
1,60,419.511900000507,1
1,180,516.890599997132,0
0,-120,591.389400004991,0
1,-90,515.915200005984,1
1,120,504.144600004074,1
1,-120,475.512199999648,1
1,-30,441.518600005074,1
1,60,396.839000001783,1
1,-60,749.414099999703,0
1,180,707.706499998458,0
1,-30,420.613400005968,0
1,-60,477.772200008039,1
1,-150,692.886300000246,0
1,90,592.743399997707,1
1,180,612.233200002229,0
1,-120,662.518399994005,0
1,0,448.077599991811,0
0,150,396.24589999672,1
1,-150,473.368899992201,0
1,90,470.035900006187,1
0,120,660.225299995509,1
1,150,416.867000000784,0
1,150,588.312899993034,0
0,180,485.596000006772,0
1,-150,525.927300005569,1
1,150,580.598900000914,0
1,-90,555.369700007723,1
1,0,483.310699994909,1
1,120,424.601900006528,1
0,150,436.73670000222,0
0,-60,517.518300003721,0
1,150,578.499999996857,0
1,-60,835.247699994361,0
1,-30,791.235999998171,1
1,0,458.338000004878,0
1,-90,849.002700001583,0
1,120,914.572899994673,1
1,90,570.756399997626,0
1,-120,959.865299992962,1
1,-60,731.353699994506,0
1,-150,660.790799994138,1
1,60,638.10949998966,1
1,-120,796.447800000315,1
1,0,666.782499997644,0
1,-60,555.518700007233,1
1,150,952.319299999508,1
1,-180,572.69,0
1,-180,516.89,0
1,-180,707.71,0
1,-180,612.23,0
0,-180,485.6,0
