CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,45,761.912200055085,1
1,90,683.529100068845,0
1,15,589.926700028591,0
1,-90,589.973699920811,1
1,0,521.143099912442,0
1,75,602.759600072168,1
1,-75,572.087200046517,0
1,45,541.914099981077,0
0,90,678.307900009677,0
1,-45,680.233300002292,0
1,60,659.404900078662,1
1,-60,759.075299990363,0
1,15,729.796499982476,0
1,0,733.839100031182,0
1,30,995.642400034703,1
1,-15,707.233200003393,1
1,-90,659.170000036247,1
1,0,507.544599976391,0
0,-75,624.992299978621,1
1,0,497.77659998741,1
1,-45,595.7867999468,1
1,-15,660.76189993415,0
1,30,761.312500028871,0
1,60,820.78530002851,0
1,-30,483.226400022395,0
1,-30,617.611700007692,1
1,0,560.175999919884,0
1,-60,661.914799981751,0
1,0,800.066700009629,1
1,75,612.816799934953,0
1,90,692.008600025438,0
1,-75,729.504099967889,1
