CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,-30,336.818099990487,0
1,37.5,367.616100041196,0
1,-30,393.208800037391,0
1,7.5,359.481300031766,0
1,-7.5,298.300499948673,1
1,-45,427.757200007327,1
1,-22.5,345.740999947302,1
1,-22.5,269.515099972486,1
0,37.5,331.805400005542,1
1,0,425.374200022779,0
1,22.5,354.929800066166,1
1,45,345.138900019228,1
1,-30,344.735300089233,1
1,-15,469.911400033161,0
0,-52.5,489.140099999495,0
1,37.5,385.52990000695,0
1,-60,379.968499918468,1
1,-52.5,355.094100036658,1
0,60,833.617100063711,0
1,-37.5,479.072699942626,1
1,60,772.7431999892,0
1,-7.5,447.336300080642,0
1,-15,348.067200081423,0
1,15,398.836100045592,0
1,52.5,467.402700022794,1
1,30,511.03119998239,1
0,52.5,645.200899955817,0
1,-15,543.687899983488,0
1,7.5,346.680299998261,0
1,-30,381.447400003672,1
1,22.5,328.715699994937,1
1,-22.5,295.70499997586,1
1,-7.5,378.213300057687,0
1,15,298.283500052057,0
1,22.5,342.573100039735,1
1,-45,429.695399980992,0
1,-7.5,333.144899960607,0
1,-30,408.290199972689,1
1,-30,427.130599892698,0
1,60,475.949300024658,1
1,30,381.709800022654,1
1,30,696.991900019348,0
1,-37.5,426.388199944049,1
1,7.5,377.062199907377,0
1,-45,682.449900000356,0
0,60,837.778499969281,1
1,45,526.297199926339,1
1,52.5,452.585300002247,1
1,-22.5,385.649599987082,1
1,22.5,419.977300022729,0
1,-15,452.345200036652,0
1,52.5,390.50839996431,1
1,-52.5,435.144200026989,1
1,-15,407.223299997859,0
1,-30,493.982799970545,0
1,15,277.352799931541,1
1,30,435.888999993913,0
0,-15,491.093499972485,0
1,0,418.271200070158,1
1,-52.5,507.523700050078,1
1,30,444.465100103989,0
1,0,422.801899993792,1
1,45,421.931300000288,0
0,-60,454.582399958745,0
1,22.5,396.303600086831,1
1,-60,604.207599922083,0
1,0,584.695100006647,0
1,-30,586.366300042719,0
1,60,600.355700044893,0
1,52.5,436.312199956737,0
1,37.5,386.114999921992,1
1,37.5,466.213399930857,0
1,30,354.390500034206,0
1,-45,442.922700000927,0
1,-7.5,364.081500018947,1
1,-37.5,450.63729995396,1
1,-37.5,586.05750001967,0
1,-52.5,360.321800028905,0
1,7.5,365.946700018831,1
1,-15,602.924800049514,1
1,15,424.11459997762,1
1,-22.5,499.23280001618,0
1,-15,322.436999916099,1
1,45,435.869600079022,1
1,0,399.824600005522,0
0,22.5,477.691500019282,1
1,45,408.430799995549,0
1,30,521.127800028771,0
1,-52.5,349.145900029689,0
1,7.5,305.974699943326,1
1,-52.5,349.780699973926,1
1,-60,442.652200036682,0
0,-37.5,363.715100022964,1
1,-22.5,330.504799997434,1
1,15,461.253700000234,1
1,-7.5,357.746699978597,0
1,37.5,406.98739994783,1
1,52.5,338.005299950019,1
1,-37.5,420.763199953362,0
1,60,431.655900008045,0
1,0,429.008399988525,0
1,15,242.58600004483,1
1,-45,360.756299961358,0
1,-37.5,379.007600052282,0
1,-52.5,429.624300021678,1
1,60,628.177500017919,0
1,7.5,457.276300098747,0
1,0,405.912200026214,1
1,15,471.032999958843,1
1,15,523.993400079198,0
1,30,394.841600013897,0
1,-7.5,440.81059998367,0
1,52.5,559.631999968551,0
0,-45,880.888400054537,1
0,60,715.707500036806,0
1,-45,771.897999956273,0
1,45,774.674800029024,1
1,-52.5,685.187900010496,1
1,-22.5,521.643699998967,1
1,7.5,407.321399929933,1
1,60,437.518399944529,1
1,22.5,463.966800053604,1
1,45,418.577699959278,1
1,-37.5,523.957799924538,0
1,-60,688.34590007551,1
1,15,420.43030009605,1
0,-37.5,441.351000024006,0
1,7.5,531.476700017229,0
0,52.5,492.222999958321,0
1,-22.5,484.67610000167,1
0,45,631.723900013603,0
1,-7.5,429.864999991842,0
1,-60,864.667200054973,1
1,-60,751.637200047262,0
1,-60,775.836400026456,0
1,45,741.634700018913,0
1,37.5,642.847899966873,1
1,-30,621.517000058666,1
1,7.5,514.625499993563,0
1,22.5,458.422799981199,1
1,-45,492.915099989623,1
0,52.5,550.226999949664,1
1,30,445.014199977741,0
1,0,414.27510002628,1
1,0,401.528299939819,0
1,-7.5,484.665700038895,1
1,22.5,395.747099923901,1
1,-60,504.746999978088,0
1,-15,481.623900043778,0
1,-45,445.261900001206,1
1,-22.5,441.488899909891,1
1,37.5,364.632300022058,0
1,37.5,372.779500009492,0
1,37.5,505.851000002585,1
1,-52.5,621.248199990951,0
1,60,577.609800072387,0
1,52.5,428.307100003585,1
0,60,961.791100017726,0
1,-15,463.11769999098,1
1,-60,458.756199958734,0
1,22.5,481.7726000119,0
1,-37.5,463.858200041577,0
1,-45,427.934599961154,0
1,60,651.813200013712,1
1,-37.5,437.393099921755,0
1,52.5,660.592400040478,0
1,45,749.747699978761,1
1,52.5,810.604100036435,0
1,60,634.909200053662,0
