CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,7.5,532.459000000038,0
1,-15,768.662999999967,1
1,-37.5,660.207200000023,0
1,-37.5,912.773200000024,1
1,0,439.64410000003,0
1,15,784.665600000003,1
1,-52.5,612.575599999977,0
1,-7.5,629.743500000038,1
1,-45,616.643599999995,1
1,22.5,462.268000000015,1
1,60,1092.16169999998,1
1,-37.5,489.436199999964,0
1,-45,679.174699999996,0
1,-30,658.213399999986,1
1,30,561.701699999978,0
1,-7.5,729.64890000005,1
1,37.5,949.061399999969,1
1,60,577.653200000007,1
1,-15,590.056200000013,1
1,52.5,548.537400000007,1
1,-7.5,457.991600000034,0
1,-37.5,610.592900000049,0
1,15,505.927900000038,1
1,-60,1114.43120000003,0
1,-22.5,484.867800000038,0
1,22.5,518.797400000003,1
1,0,501.493400000036,0
1,37.5,767.602900000006,1
1,-37.5,657.326599999997,1
0,7.5,571.845799999969,1
1,7.5,548.520600000038,0
0,-60,748.407000000007,1
1,7.5,535.576599999977,1
1,15,423.324199999988,1
1,37.5,628.820100000062,0
1,-37.5,899.697099999989,0
1,45,731.856200000002,0
1,52.5,1498.8987,0
1,-45,1629.41960000008,0
1,45,737.698500000042,1
1,-60,593.48719999999,0
1,37.5,778.610799999988,0
1,-52.5,831.305600000028,1
1,-22.5,524.986800000042,0
1,7.5,518.735500000012,1
1,37.5,576.361200000028,1
1,60,655.588399999906,1
1,45,577.133800000033,0
1,22.5,577.671900000005,0
1,-37.5,868.681600000023,1
1,22.5,484.645899999996,0
1,-15,571.828899999978,1
1,52.5,1358.91680000005,1
1,-52.5,848.749800000028,1
1,45,1221.93969999997,1
1,45,1241.41630000005,1
1,22.5,688.78639999999,1
1,0,575.368200000034,0
1,-15,732.597099999984,0
1,30,1483.24169999997,1
1,30,772.926199999993,0
1,-22.5,577.22850000001,1
1,0,490.464400000028,0
1,30,631.436499999913,1
1,45,715.688599999985,1
1,-30,541.847299999936,0
1,-45,731.252600000025,0
1,-15,530.553800000084,1
1,-60,664.519600000026,1
1,-30,657.372100000052,0
1,0,875.555200000085,1
1,-22.5,534.422300000037,0
1,60,702.669999999976,0
1,-60,703.258900000001,0
1,-60,595.186299999987,0
1,7.5,476.621099999952,1
1,15,542.293899999968,1
1,-45,756.121500000027,1
1,-60,875.366100000028,0
1,52.5,415.092900000068,0
1,52.5,465.933300000038,0
1,22.5,420.705400000052,0
1,-7.5,444.441099999913,0
1,-22.5,312.279700000054,0
1,-52.5,573.369799999987,0
1,0,398.30289999994,0
1,-30,570.041200000069,1
1,-22.5,590.317700000091,1
1,15,529.946800000025,1
1,15,380.270599999981,1
1,52.5,434.494899999968,1
1,-7.5,369.298700000022,0
1,-30,386.161999999977,0
1,-37.5,400.906199999972,0
1,-37.5,359.407300000007,0
1,15,555.490799999993,1
1,-30,432.648599999843,0
1,0,454.993199999954,0
1,45,463.641400000106,1
1,37.5,446.14160000011,0
1,30,425.984299999946,0
1,52.5,741.169800000043,1
0,-60,1999.9187999999,1
1,-52.5,1853.42119999992,0
1,-15,1749.68499999974,1
1,7.5,975.064100000018,0
0,30,918.277099999577,1
1,7.5,847.984399999823,0
1,-45,3169.4861999999,0
0,45,8802.91910000002,1
1,52.5,702.9846,0
1,0,1265.82230000027,1
1,-30,590.991900000026,0
0,60,1326.76200000011,0
1,0,825.800799999761,0
1,60,4173.67499999997,1
1,60,752.198500000268,0
1,60,4813.35989999976,0
1,-15,2206.41500000007,1
1,15,1343.28439999987,0
1,22.5,601.612300000361,0
0,22.5,583.264100000142,1
1,52.5,3592.50410000001,0
1,37.5,748.262399999894,0
1,-15,511.007000000027,1
1,-45,1535.33269999976,0
1,-22.5,1934.9313999996,1
1,-45,1124.7082999998,1
1,-30,1844.04519999995,1
1,30,574.430200000243,0
1,-45,1382.66390000032,0
1,37.5,2552.46660000008,1
1,30,663.671400000076,0
1,-15,523.270099999954,0
1,-7.5,536.183399999991,0
0,60,418.086999999978,1
0,-52.5,1451.59969999982,1
1,-52.5,1354.2978,0
1,-7.5,717.784699999775,1
1,-7.5,495.707399999865,1
1,22.5,554.295800000054,1
1,-22.5,584.877300000207,1
1,15,734.598399999832,0
1,30,724.563199999884,0
1,-7.5,893.97589999995,1
1,-52.5,1769.06730000015,1
1,-22.5,613.481199999987,1
1,37.5,962.803100000165,1
1,7.5,587.537500000017,1
0,-52.5,930.079199999873,0
1,-60,994.345199999734,0
1,-30,545.934900000211,0
1,45,917.242899999983,0
1,7.5,588.323699999783,1
1,-60,1211.08620000037,1
0,-60,1144.97770000022,1
1,30,583.513300000013,0
1,45,1230.96119999987,1
1,60,814.408000000149,1
1,22.5,1645.37789999982,1
1,60,693.499900000425,1
0,-52.5,1721.6165000004,0
1,-52.5,707.75690000024,0
0,-60,1240.04869999995,1
1,-52.5,697.58990000033,0
1,-60,648.035899999704,0
