CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target
1,-30,985.997460994404,0
1,7.5,657.506616008468,0
1,-60,721.86215999769,1
1,22.5,431.500949992333,0
1,-7.5,597.03218701994,0
1,-22.5,592.615123991854,1
1,-52.5,1013.32962301327,0
1,-45,681.445277013117,1
1,30,1008.43920099665,1
1,-30,572.166402017465,0
1,0,592.059192983434,1
1,30,814.341956001008,0
1,22.5,702.929347004974,1
1,15,781.593018976273,1
1,-52.5,672.568508984987,1
1,-7.5,545.124940000242,0
1,-60,554.415009021759,1
1,-22.5,536.292740006465,1
1,60,671.204153980361,0
1,30,617.293116993969,0
1,60,606.212620020378,0
1,-37.5,834.335079977755,0
1,7.5,464.646182991564,0
1,-45,578.524694000371,1
1,60,577.848257999867,0
1,60,897.65783298295,0
1,-7.5,547.769376987126,1
1,-30,528.0382399878,0
1,45,569.264434984652,0
1,-52.5,522.031542998739,0
1,-45,431.04848199524,1
1,-30,538.515294997487,0
1,30,605.447866001632,1
1,7.5,555.994767005323,1
1,7.5,533.869554005796,1
1,-37.5,499.073577994714,1
1,-60,515.403889971785,1
1,45,586.848540996434,0
1,60,1214.61838798947,1
1,22.5,668.107268001186,1
1,-45,476.348617995391,1
1,-30,398.117330981186,1
1,-30,585.891153002158,0
1,52.5,880.898827025667,0
1,15,509.94510099641,1
1,7.5,796.165837012231,1
1,-60,701.385164990788,1
1,-30,582.050236997893,0
1,22.5,447.178682989907,1
1,0,538.34408301278,1
1,-22.5,482.206358989934,1
1,0,630.181869994849,1
1,-52.5,747.589869985823,0
1,-7.5,546.169087007875,0
0,60,680.053066994296,1
1,-45,951.575096006272,1
1,-15,489.009557998506,1
1,30,580.79156699474,1
1,-52.5,703.351611017715,0
1,-7.5,489.989519010996,0
1,-30,533.708912997972,1
1,15,504.103295018431,0
1,15,501.653449996375,1
1,22.5,453.420215992955,0
1,22.5,612.636763988994,0
1,-37.5,503.910817999858,1
1,0,488.728775010677,1
1,-60,538.071758995065,1
1,-52.5,530.053100003861,1
1,-15,445.050635994412,0
1,-22.5,542.350194978062,0
1,30,556.254197997041,1
1,30,498.261969981249,1
1,7.5,525.503898018505,1
1,15,483.596902989084,1
1,30,399.200033986708,0
1,0,565.310769984499,1
1,7.5,451.888752992963,0
1,0,543.221671986394,1
0,37.5,501.157052997733,1
1,-52.5,677.656543012708,0
1,37.5,529.911942002364,1
1,37.5,563.598945017438,1
1,22.5,506.212360000936,1
1,-60,999.686074014753,1
1,-7.5,547.55418099463,1
1,-37.5,522.77991400566,1
1,60,657.55577199976,0
1,-60,865.732765997527,0
1,-22.5,578.756652984302,0
1,0,515.317204998573,1
1,0,850.464550000615,0
1,0,636.351895002881,1
1,-7.5,671.164056003327,1
1,-15,595.440952988574,1
1,-60,886.345753017813,0
1,45,629.283038005233,0
1,45,703.370012001833,0
1,-15,962.54234901513,0
1,52.5,765.289128998993,0
1,-22.5,2090.98165698466,1
1,-60,2433.68271599407,1
1,45,1239.59590899991,1
1,-45,981.674389019608,1
1,37.5,675.166342997691,0
1,-45,951.39454800752,0
1,-7.5,669.51088500442,1
1,37.5,1093.66559401038,0
1,60,955.678160019452,1
1,7.5,623.132329995278,0
1,-22.5,515.263453978114,0
1,15,591.784394994611,0
1,-37.5,448.409690005938,0
1,52.5,798.19659598521,0
1,52.5,801.322719003074,1
0,37.5,501.753300989512,1
0,45,651.738460998749,0
1,-37.5,449.06745199929,0
1,60,873.59017798095,0
1,22.5,456.270368981641,0
1,37.5,443.452586020576,1
1,-52.5,722.760223005898,0
0,52.5,855.519679004792,0
1,-22.5,553.743781006197,0
1,45,675.141834021779,1
1,-7.5,427.037836002419,0
1,45,571.285844992381,1
1,-45,800.718694991665,1
1,-22.5,453.003695009975,0
1,52.5,1109.85137397889,0
1,-15,706.527479990618,0
1,52.5,723.590506016044,1
1,-37.5,660.09628200205,0
0,-45,510.778748991434,1
1,45,679.380499009276,1
1,7.5,528.888723006239,1
1,30,694.704814007273,0
1,-15,651.033987997798,1
1,15,435.387142010732,0
1,-52.5,728.251340021379,1
1,37.5,593.422988990787,1
1,37.5,513.801886999281,1
1,15,430.570145000238,0
1,-15,457.233819012763,0
1,22.5,498.80442600348,0
1,15,638.745098994114,1
1,52.5,574.706057996955,1
1,-37.5,579.760159985162,1
1,-15,462.953055984108,1
1,-30,510.671436998527,0
1,-37.5,561.481607009191,1
1,-15,525.195044997381,1
1,52.5,614.93448000052,1
1,60,494.205523988931,0
1,37.5,618.450688992161,0
1,37.5,772.307415995747,0
1,45,716.866412993986,0
1,52.5,663.142015991034,1
1,-45,589.449453990674,0
