Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,667.843163,0
1,-150,588.753303,2
1,-150,720.582808,1
1,-150,618.72375,2
1,-150,664.545622,1
1,-150,624.098016,2
1,-150,707.611087,2
1,-150,783.372333,0
1,-150,1085.49452,1
1,-150,606.620062,0
1,-150,1204.40242,1
1,-150,1080.4417,2
1,-150,657.542555,2
1,-150,1061.20679,2
1,-150,800.204784,0
1,-150,688.712949,0
1,-150,1319.84201,1
1,-150,593.912666,0
1,-120,800.547342,1
1,-120,608.463455,1
1,-120,694.647344,0
1,-120,621.00996,1
1,-120,556.270199,1
1,-120,680.814289,2
1,-120,985.508584,0
1,-120,714.307498,0
1,-120,678.549282,2
1,-120,646.963954,1
1,-120,532.739151,1
1,-120,847.209063,0
1,-120,823.124439,0
1,-120,456.46322,1
1,-120,888.996338,2
1,-120,1078.20464,0
1,-120,681.032442,2
1,-120,985.34018,2
1,-90,939.77306,2
1,-90,598.82146,1
1,-90,555.431358,1
1,-90,819.726632,2
1,-90,596.5958,1
1,-90,797.185071,1
1,-90,607.476982,2
1,-90,2103.30431,1
1,-90,769.562529,1
1,-90,813.488038,1
1,-90,605.802334,0
1,-90,572.449012,1
1,-90,590.924882,1
1,-90,729.699685,1
1,-90,660.62326,2
1,-90,781.810162,0
1,-90,713.737993,1
1,-90,800.059973,0
1,-60,704.497059,0
1,-60,658.627663,0
1,-60,814.111263,0
1,-60,596.060682,2
1,-60,623.644263,0
1,-60,805.761703,1
1,-60,425.825827,2
1,-60,828.751962,0
1,-60,603.818288,2
1,-60,1807.61413,2
0,-60,809.299955,0
1,-60,866.887559,1
1,-60,977.326659,2
1,-60,586.882289,1
1,-60,1247.97544,0
1,-60,672.166549,2
1,-60,944.344098,2
1,-60,1318.30966,0
1,-60,915.648572,2
1,-30,609.226689,2
1,-30,690.150054,2
1,-30,524.583202,1
1,-30,656.13951,2
1,-30,556.330744,1
1,-30,538.687411,2
1,-30,536.030518,2
1,-30,599.143003,0
1,-30,568.285102,0
1,-30,624.23649,2
1,-30,497.209252,0
1,-30,484.597651,0
1,-30,697.044357,2
1,-30,581.689975,1
1,-30,783.484454,2
1,-30,897.906751,2
1,-30,606.841851,2
1,-30,542.70875,1
1,0,671.499798,2
1,0,1092.29484,2
1,0,909.612324,0
1,0,535.569332,0
1,0,487.173318,2
1,0,708.91075,1
1,0,1076.4879,1
1,0,591.901269,1
1,0,594.551027,2
1,0,603.92544,2
1,0,591.499361,1
1,0,940.549552,1
1,0,529.211728,1
1,0,727.490871,1
1,0,951.998025,1
1,0,554.581309,2
1,0,559.00602,1
1,0,1237.85741,0
1,30,666.284298,0
1,30,727.101251,0
1,30,600.811103,1
1,30,635.906325,1
1,30,536.691118,1
1,30,653.761162,2
1,30,711.369345,2
1,30,1139.66676,0
1,30,533.225937,0
1,30,625.498575,1
1,30,564.419578,1
1,30,779.280654,0
1,30,1553.012,0
1,30,582.945746,1
0,30,767.969172,1
1,30,574.015915,2
1,30,646.780288,0
1,30,907.819909,0
1,30,1022.34166,0
1,60,548.575674,1
1,60,979.186573,0
1,60,492.35087,1
1,60,630.747307,1
1,60,552.417402,1
1,60,616.374778,2
1,60,659.916177,0
1,60,633.202837,1
1,60,574.7554,1
1,60,655.576228,0
1,60,622.573989,2
1,60,646.016823,0
1,60,665.496684,2
1,60,613.552008,0
1,60,780.9996,2
1,60,586.444451,1
1,60,1134.10398,2
1,60,618.54198,0
1,90,918.617026,0
1,90,1242.0705,1
1,90,670.869879,2
1,90,887.695448,0
1,90,701.889348,2
1,90,1027.36194,0
1,90,1059.74251,0
1,90,642.283124,2
1,90,980.970473,1
1,90,594.938715,2
1,90,1113.4285,2
1,90,834.905277,2
1,90,859.660129,0
1,90,741.649259,0
1,90,918.371014,2
1,90,1165.07691,0
1,90,2590.43813,1
1,90,737.371731,2
1,120,611.721863,1
1,120,643.78898,1
1,120,657.280672,0
1,120,550.534253,2
1,120,867.210897,1
1,120,643.68324,2
1,120,1192.47968,0
1,120,697.277411,1
1,120,626.922807,0
1,120,987.827089,1
1,120,649.983731,2
1,120,680.498452,1
1,120,818.474122,1
1,120,684.859804,2
1,120,587.650334,1
1,120,875.90705,0
1,120,742.948483,0
1,120,1357.93759,2
1,150,545.063706,1
1,150,431.180399,1
1,150,561.460022,1
1,150,731.728613,2
1,150,771.494495,0
1,150,632.611936,0
0,150,453.620495,0
1,150,843.380939,0
1,150,635.240433,2
1,150,771.408521,2
1,150,678.256804,2
1,150,721.712248,0
1,150,702.172887,1
1,150,903.915708,2
1,150,709.544676,2
1,150,614.776237,1
1,150,661.444278,1
1,150,575.262049,1
1,150,1551.01894,1
1,180,722.803554,2
1,180,696.721605,2
1,180,695.545849,0
1,180,884.778666,0
1,180,445.827141,1
1,180,708.053517,2
1,180,707.155791,2
1,180,737.744359,2
1,180,776.407104,2
1,180,549.904783,0
1,180,794.838364,2
1,180,1443.33484,1
1,180,851.036874,0
1,180,1047.67051,0
1,180,576.216769,0
1,180,646.47957,0
1,180,942.212805,0
1,180,2969.4113,0
1,-180,722.8,2
1,-180,696.72,2
1,-180,695.55,0
1,-180,884.78,0
1,-180,445.83,1
1,-180,708.05,2
1,-180,707.16,2
1,-180,737.74,2
1,-180,776.41,2
1,-180,549.9,0
1,-180,794.84,2
1,-180,1443.3,1
1,-180,851.04,0
1,-180,1047.7,0
1,-180,576.22,0
1,-180,646.48,0
1,-180,942.21,0
1,-180,2969.4,0
