Correct Response,Rotation (deg),Adjusted RT (ms),Target
1,90,584.8725867,2
1,-30,581.7645868,0
0,120,630.1312866,2
1,-150,903.4713868,2
0,-30,600.7399867,1
0,120,618.2027867,0
1,150,691.4107867,2
1,-30,464.7244867,2
1,180,931.7861868,1
1,0,669.9348868,0
1,60,677.9129866,0
1,-30,481.8951867,2
1,-60,597.3081866,0
1,0,504.6134866,0
0,180,835.6400866,0
1,-30,504.4651868,2
1,-60,1149.687387,1
1,-150,773.6572866,0
0,150,693.0542868,1
0,-150,813.0701867,1
1,180,842.5116865,1
1,90,758.4711865,0
1,60,520.7176865,0
1,0,680.4224865,1
1,60,423.0546865,1
1,-30,465.4464866,1
1,-120,706.9277868,1
1,-150,469.7047866,1
1,150,479.0440868,1
0,-90,449.0737866,2
1,-60,911.6113866,0
1,60,521.3290868,0
1,120,629.1314867,2
0,120,755.9282866,1
1,-90,723.5621868,0
0,180,700.4822865,0
1,120,676.9100866,0
0,180,531.9005868,1
1,30,720.0495866,1
1,150,750.2676866,2
1,-60,603.4323867,2
1,60,771.1058867,0
1,30,1120.736687,0
1,-90,700.1056867,2
1,-30,576.9471866,0
1,0,999.7135867,1
1,150,580.7825867,1
1,30,567.0921866,2
1,120,532.4709867,2
1,90,659.2241866,1
1,-60,473.9803865,2
1,-120,759.5104866,0
1,-60,512.2620866,2
1,90,483.6247866,2
1,0,776.5088866,1
1,-60,467.9520866,1
0,-150,546.5754867,0
1,180,614.9883867,1
1,90,679.1823865,0
1,150,696.1217867,2
1,30,535.9861867,1
1,150,458.4739867,2
1,180,451.7420868,2
1,90,405.7920866,2
1,0,650.1152867,1
1,-150,529.1192867,2
1,30,539.4667867,2
1,120,372.5352867,2
1,60,616.4270868,0
1,-30,501.1223867,0
1,-150,513.2175866,2
0,120,593.8340866,1
1,150,599.1692867,1
1,0,466.4532866,1
1,-90,510.6669867,2
1,-150,485.9096867,2
1,-60,542.1839867,0
1,0,470.5671866,2
1,180,417.0554867,2
1,-30,625.5109867,1
1,-30,469.1091867,2
1,30,684.6981866,0
1,-90,600.6334867,2
1,150,518.2266867,1
1,90,476.7688867,1
1,-120,559.5913867,0
1,180,571.3088867,0
1,60,554.5171867,2
1,-120,567.2183866,0
1,-120,615.9658868,1
1,60,494.4999868,1
1,-60,502.2874866,1
1,-120,575.2017866,2
1,60,538.1717866,0
1,-150,528.5831867,1
1,-60,525.8920866,2
0,-150,521.8053866,2
1,-120,588.4694867,0
1,30,689.1468868,2
1,-30,499.1130866,2
1,-90,623.4870868,2
0,30,528.6539868,1
1,30,500.6729865,1
1,150,530.2131865,0
1,0,409.5760866,0
0,60,390.2743866,1
1,60,523.3820866,0
1,120,887.1028866,1
1,150,559.1330868,0
1,180,497.9627866,2
1,90,888.5047867,1
1,30,557.6106867,2
1,-120,613.0707867,2
0,-120,614.5616866,1
1,90,1643.876887,0
1,90,400.3700868,0
1,0,545.2400865,2
1,0,544.4408867,0
1,-120,744.6750866,1
1,90,476.5878867,1
1,-150,544.9066866,0
1,-90,732.0123867,1
1,60,551.4404867,0
1,-90,675.4542867,0
0,-60,465.1815866,2
1,180,526.9425866,0
1,-120,615.8086867,0
1,120,437.6074868,0
1,180,462.0257865,2
1,180,426.3560868,2
1,-120,492.6709868,0
1,120,788.8368867,1
1,-30,532.0217866,0
1,-120,485.9742867,2
0,-90,514.6639867,2
0,150,659.7103868,1
1,-150,639.8488865,1
1,-30,442.5038868,2
1,-90,704.8466867,0
1,90,623.6822866,1
1,120,658.3049868,2
1,-150,509.0052868,0
0,-120,576.1262868,1
1,60,515.1937867,2
1,-90,587.6210865,1
1,-30,646.3087867,1
1,-120,513.0431867,1
1,120,514.8340867,1
1,150,426.3951867,1
1,30,441.9318869,1
1,-30,481.5468865,2
0,90,468.3515865,1
1,0,613.9602866,1
1,-90,544.0967868,0
1,-90,452.5358868,0
1,90,464.4853866,0
0,-30,448.3899866,1
1,180,713.8648867,2
1,0,507.3647867,0
0,150,621.8957866,1
1,60,545.9111866,2
1,-60,435.8126866,2
0,-60,467.3298868,0
1,-150,1098.686987,1
1,-30,393.7132866,1
0,120,574.2262865,1
1,120,668.6432867,2
1,180,615.7914866,2
1,30,594.5969865,2
1,180,519.1990866,0
1,30,580.3910867,0
1,-150,622.6248867,0
1,60,563.3181867,1
1,150,492.7101867,1
0,-120,564.3952866,0
1,60,638.9493866,0
1,-150,544.0695868,2
1,150,555.2981866,0
1,90,637.0305866,1
1,-150,618.5397867,0
1,0,513.9298865,2
1,-60,1000.325487,1
1,30,576.5165866,0
1,60,748.4952866,1
1,-120,538.8782867,1
1,120,675.7894866,0
1,30,778.7176867,0
1,150,545.4700867,0
0,-90,599.0849866,2
1,0,653.8124865,0
1,30,539.6146865,0
1,-90,605.4129866,2
1,-60,481.4644866,0
1,90,710.0900866,2
1,-150,610.1713868,1
1,180,552.0003867,0
1,60,482.7854866,2
1,90,665.8138868,1
1,-90,545.6463865,2
1,120,631.4400868,2
1,150,607.5210865,1
1,0,478.8055867,2
1,-60,457.4698867,2
1,0,520.5075867,1
1,-90,765.8351867,0
1,-90,586.1854868,0
0,90,890.9535867,1
1,-60,790.0337868,2
1,-30,544.1452866,0
1,120,954.4647867,2
1,180,607.7310867,0
1,30,551.4062867,1
1,0,582.1893867,2
1,-60,509.7617868,1
1,30,480.4045868,2
1,-120,616.7685867,0
1,120,491.7656868,2
1,-30,489.8225866,0
1,120,636.3606868,0
1,180,680.2789867,1
1,150,497.8824866,1
1,-150,524.1946865,1
1,-90,527.6159866,2
1,120,596.2596867,0
1,180,589.4459866,1
1,180,455.5119868,2
1,-150,643.5839867,2
1,120,607.3223867,0
1,-150,574.0176866,1
1,30,526.0331866,0
1,60,530.4708868,1
1,-120,541.3055865,0
1,-60,494.9552866,0
1,-90,507.5741867,1
0,150,549.5303867,1
1,-120,611.9992868,1
1,90,460.6056866,1
1,-30,406.0254868,1
1,150,402.6366866,1
1,-60,557.6271867,0
1,120,519.7107867,0
1,-120,471.2152866,0
1,-90,390.5819867,0
0,90,411.0514866,1
1,150,660.8746867,2
1,90,423.4326866,2
1,-180,931.79,1
0,-180,835.64,0
1,-180,842.51,1
0,-180,700.48,0
0,-180,531.9,1
1,-180,614.99,1
1,-180,451.74,2
1,-180,417.06,2
1,-180,571.31,0
1,-180,497.96,2
1,-180,526.94,0
1,-180,462.03,2
1,-180,426.36,2
1,-180,713.86,2
1,-180,615.79,2
1,-180,519.2,0
1,-180,552,0
1,-180,607.73,0
1,-180,680.28,1
1,-180,589.45,1
1,-180,455.51,2
