Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,1124.666602,0
1,-150,825.721889,2
1,-60,758.805434,0
1,-120,563.857116,0
1,-90,692.414661,2
1,60,847.28635,0
1,-30,644.325676,1
1,30,621.843001,0
1,180,891.69344,0
1,-30,737.276973,0
1,60,664.264016,2
1,180,1149.432161,1
1,150,794.566747,0
1,90,618.202027,1
1,90,797.758272,1
1,-60,806.407133,2
1,60,735.831229,0
1,-90,852.335573,0
1,-90,704.097359,0
1,180,1445.155569,2
1,-30,539.345739,2
1,-30,1055.787899,0
1,0,760.724034,2
1,-150,1093.487614,0
1,180,610.889147,2
1,-90,588.54773,0
1,120,664.810635,2
1,90,854.912805,0
1,180,735.982813,0
1,-120,796.012474,1
1,-120,949.633928,2
1,120,900.814807,2
1,-90,1056.208577,2
1,-90,989.492591,0
1,-120,827.726203,1
1,-30,538.180684,1
1,-60,1159.721219,2
1,-30,531.646626,1
1,-150,1229.693585,0
1,-30,748.95646,1
1,30,720.334563,2
1,120,604.979866,2
1,120,747.164437,0
1,-150,645.147642,0
1,-150,631.07078,1
1,0,1401.40119,1
1,-30,1530.107002,0
1,90,450.219766,0
1,0,999.457055,2
1,180,664.3949331,0
1,150,558.008959,1
1,150,872.841607,0
1,0,607.315541,0
1,180,612.51678,2
1,150,477.396414,1
1,60,725.861454,1
1,-90,520.509866,1
1,-90,733.409564,2
0,60,0,2
1,30,633.952213,0
1,-120,579.889126,2
1,30,714.08651,0
1,0,520.588854,0
1,-150,648.672819,1
1,30,1066.077573,2
1,-30,687.447653,2
1,0,592.72154,2
1,60,1429.538805,1
1,30,2678.804244,2
1,150,5040.156315,1
1,120,1128.52269,2
1,150,1101.891049,1
1,180,715.926408,2
1,30,2133.105419,2
1,-150,554.885093,0
1,180,894.561833,1
1,150,585.694149,1
1,-120,709.172997,1
1,30,665.571931,1
1,-120,1810.485339,1
1,30,462.415044,2
1,-30,459.357371,2
1,-30,671.55611,0
1,-90,740.392132,2
1,120,881.172898,2
1,-60,859.704545,0
1,60,674.292999,2
1,-90,799.921098,1
1,-150,604.615127,1
1,90,969.008301,1
1,180,492.932606,1
0,90,0,2
1,90,721.665389,2
1,-30,456.515799,2
1,-60,654.550625,0
1,30,896.669088,1
1,60,596.776527,0
1,-90,877.639785,1
1,120,782.303094,0
1,60,1265.011305,0
1,180,630.213365,2
1,-90,651.048514,0
1,-120,1261.461936,1
1,60,833.469892,0
1,120,1193.282901,1
1,-150,602.049415,1
1,-30,678.001368,2
1,60,912.684644,2
1,90,2484.56016,0
1,-30,619.377591,1
1,150,659.556855,0
1,-60,665.211642,1
1,-30,645.885552,1
1,90,725.045841,1
0,90,0,2
1,0,535.804927,1
1,90,673.362378,0
1,120,637.290017,1
1,150,623.063657,0
1,-60,632.995256,0
1,90,927.699881,1
1,-120,784.6888,2
0,-90,0,2
1,60,587.490496,1
1,-150,619.640327,0
1,-120,559.379609,0
1,120,852.374235,1
1,0,550.541556,1
1,150,659.725839,1
1,180,553.410993,1
1,0,533.732636,0
1,0,499.642665,2
1,180,652.149004,1
0,30,0,1
1,-150,1062.473243,1
1,-90,555.506709,2
1,150,630.765645,2
1,60,610.613005,2
1,150,925.268482,1
1,90,707.459063,2
1,180,624.762263,2
1,-60,1420.216967,1
1,180,761.34273,2
1,90,590.328747,2
1,150,771.358736,0
1,-90,551.518762,0
1,120,1537.4786,2
1,0,558.656868,0
1,-150,744.817709,0
1,-150,625.88622,1
0,-120,0,2
1,0,642.427853,1
1,0,637.776116,2
1,120,893.536256,0
1,-120,641.980307,1
1,30,533.518185,0
1,60,604.985722,1
1,150,1038.497025,1
1,120,1033.341255,1
1,90,589.878387,0
1,-90,839.766947,2
1,120,713.44554,0
1,120,1147.292629,2
1,150,771.328861,1
1,150,809.956042,0
1,0,672.836246,1
1,-60,1173.704708,2
1,-30,786.752296,2
1,150,917.898738,2
1,30,767.503647,1
1,-60,2431.234048,1
1,60,542.909929,0
1,30,723.339034,0
1,0,559.905736,1
1,120,1097.896873,2
1,0,939.431477,2
1,-60,1051.96651,0
1,-150,795.23557,0
1,-120,1706.999422,2
1,-60,1795.038344,0
1,0,1055.312479,1
1,30,739.593151,2
1,-150,766.699254,0
1,-60,950.02453,2
1,-150,674.910835,2
1,30,600.664717,1
1,180,609.641331,0
1,30,756.68115,0
0,-60,0,1
1,-120,903.76831,2
1,60,620.196217,0
1,180,827.585914,0
1,-60,1190.201861,2
1,90,696.366095,1
1,-60,811.231559,1
1,-120,714.25065,1
1,-120,1963.537172,0
1,90,823.605882,1
1,120,2205.124699,0
1,30,1089.334138,1
1,-150,609.185914,1
1,-150,2048.33099,2
1,60,733.09117,2
1,-90,965.357867,2
1,-60,916.546176,0
1,-30,1195.10583,2
1,-90,1063.806048,2
1,-30,998.209148,2
1,-120,1778.386576,0
1,-120,1062.636584,2
1,90,1263.061608,2
1,180,1180.716166,0
1,-60,695.581754,0
1,60,766.762184,2
1,150,664.236749,2
1,0,643.682898,0
1,60,2210.242079,0
1,90,771.295359,1
1,90,2364.584443,2
1,-90,2657.287403,0
1,30,1982.43401,0
1,-120,836.076358,1
1,-60,762.936961,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1,-180,891.69,0
1,-180,1149.4,1
1,-180,1445.2,2
1,-180,610.89,2
1,-180,735.98,0
1,-180,664.39,0
1,-180,612.52,2
1,-180,715.93,2
1,-180,894.56,1
1,-180,492.93,1
1,-180,630.21,2
1,-180,553.41,1
1,-180,652.15,1
1,-180,624.76,2
1,-180,761.34,2
1,-180,609.64,0
1,-180,827.59,0
1,-180,1180.7,0
