Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,595.649183,2
1,-90,618.328746,2
1,-90,776.309017,1
1,-90,857.294618,0
1,-90,807.073439,0
1,-90,543.174359,1
1,-90,687.424153,0
1,-90,671.679772,2
1,-90,1326.735862,1
1,-90,715.50238,1
1,-90,582.833916,0
1,-90,364.683648,2
1,-90,514.638151,2
1,-90,561.975368,2
1,-90,699.870862,1
1,-90,560.29211,1
1,-75,621.567143,0
1,-75,565.21325,1
1,-75,639.315395,1
1,-75,467.317024,2
1,-75,749.019472,0
1,-75,531.683619,2
1,-75,462.831836,2
1,-75,492.054198,0
1,-75,595.290976,1
1,-75,478.590329,2
1,-75,593.824351,2
1,-75,493.115873,2
1,-75,553.4358,0
1,-75,799.133345,2
1,-75,537.095185,0
1,-75,671.085755,1
1,-60,464.339243,2
1,-60,552.234451,0
1,-60,811.565001,1
1,-60,543.651895,0
1,-60,570.60034,0
1,-60,534.742943,1
1,-60,575.088011,1
1,-60,489.566221,2
1,-60,567.159788,0
1,-60,548.854222,0
1,-60,560.452866,0
1,-60,491.732436,0
1,-60,394.772343,1
1,-60,557.349789,1
1,-60,456.118226,1
1,-60,461.732089,2
1,-45,497.835224,1
1,-45,508.243751,1
1,-45,479.035118,1
1,-45,630.587091,2
1,-45,487.228884,1
1,-45,678.919006,1
1,-45,855.836265,0
1,-45,447.223455,2
1,-45,612.274731,1
1,-45,557.319547,0
1,-45,436.077103,2
1,-45,549.452611,2
1,-45,489.614088,0
1,-45,475.245717,0
1,-45,517.421829,1
1,-45,665.184988,0
1,-30,641.455862,1
1,-30,688.541552,1
1,-30,537.71682,2
1,-30,607.580156,0
1,-30,460.520209,1
1,-30,612.52415,1
1,-30,544.603452,2
1,-30,503.079036,2
1,-30,460.634648,2
1,-30,447.943433,0
1,-30,524.665614,1
1,-30,591.971559,2
1,-30,506.432968,1
1,-30,539.018905,1
1,-30,494.229944,0
1,-30,438.598248,0
1,-15,551.287011,2
1,-15,493.214242,1
1,-15,679.851219,0
1,-15,404.713458,2
1,-15,428.290791,2
1,-15,477.02848,0
1,-15,542.620923,0
1,-15,590.427626,1
1,-15,518.208647,0
1,-15,573.776415,1
1,-15,478.650962,1
1,-15,512.864919,1
1,-15,456.111006,2
1,-15,512.244187,0
1,-15,413.11853,1
1,-15,468.087951,0
1,0,553.286006,0
1,0,512.004165,2
1,0,498.48631,2
1,0,580.33467,2
1,0,507.177345,0
1,0,678.471645,2
1,0,458.165937,2
1,0,602.385105,0
1,0,432.511371,1
1,0,479.739967,1
1,0,462.098988,2
1,0,420.460116,2
1,0,519.601519,0
1,0,377.442575,2
1,0,408.557977,1
1,0,493.810248,0
1,0,439.536625,1
1,0,479.911441,1
1,15,574.564237,0
1,15,468.022534,2
1,15,529.892077,0
1,15,667.571076,0
1,15,535.948865,2
1,15,465.608899,2
1,15,539.09683,2
1,15,609.868626,0
1,15,1018.883034,1
1,15,792.006384,2
1,15,573.054166,2
1,15,490.262879,0
1,15,576.982673,0
1,15,348.595228,1
1,15,516.309055,0
1,15,444.699147,0
1,30,610.870276,1
1,30,526.550246,2
1,30,347.213636,0
1,30,483.072602,0
1,30,390.595785,1
1,30,513.969711,2
1,30,485.14198,2
1,30,450.276705,0
1,30,501.325354,0
1,30,475.481237,2
1,30,530.044059,2
1,30,556.555107,2
1,30,436.113245,0
1,30,450.785729,1
1,30,666.941915,2
1,30,386.828841,1
1,45,613.16939,0
1,45,699.651498,0
1,45,625.266261,1
1,45,530.973089,2
1,45,384.936803,0
1,45,483.64884,2
1,45,513.562952,1
1,45,360.089761,0
1,45,556.118531,2
1,45,554.78424,0
1,45,506.29461,2
1,45,519.91712,0
1,45,469.912024,2
1,45,437.822285,1
1,45,469.247052,0
1,45,332.262848,2
1,60,529.985598,0
1,60,421.722052,0
1,60,563.617285,2
1,60,573.466139,2
1,60,1080.471967,0
1,60,506.451689,1
1,60,552.335438,1
1,60,715.545463,0
1,60,396.839429,2
1,60,361.666085,2
1,60,489.160557,1
1,60,417.480019,0
1,60,341.385403,1
1,60,497.759198,0
1,60,369.118762,1
1,60,506.324611,2
1,75,846.334081,1
1,75,551.133067,1
1,75,922.580114,0
1,75,572.817057,1
1,75,609.884967,0
1,75,625.60282,0
1,75,624.8057,2
1,75,536.659805,1
1,75,688.725464,2
1,75,533.894744,0
1,75,499.00656,0
1,75,430.240696,0
1,75,632.360348,0
1,75,451.691165,0
1,75,517.175921,2
1,75,530.511848,1
1,90,653.932327,2
1,90,461.754314,0
1,90,459.774898,0
1,90,478.349073,0
1,90,519.625874,2
1,90,612.35235,1
1,90,677.883134,2
1,90,598.934459,1
1,90,484.288649,2
1,90,731.222535,0
1,90,622.57713,2
1,90,527.974861,0
1,90,491.856798,0
1,90,499.430292,2
1,90,451.91875,0
1,90,545.219376,1
0,75,684.356353,1
0,-75,571.03114,1
0,75,725.26483,0
0,-45,480.715317,2
0,90,543.58504,0
0,-90,465.238747,1
0,-45,449.50502,1
0,-90,660.890347,1
0,-45,629.352205,0
0,0,506.046263,1
0,30,432.517969,2
0,-60,488.716739,1
0,15,509.141308,1
0,90,460.819967,1
0,-30,483.538991,2
0,30,456.8279,2
0,-15,449.595543,2
