Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,1474.84474,0
1,90,893.292864,2
1,0,946.211363,0
1,-45,1063.95057,1
1,-75,1161.455478,0
1,75,861.600735,2
1,-45,800.445712,0
1,15,758.312122,0
1,15,521.073516,0
1,30,556.866104,0
1,-30,609.343588,1
1,-75,822.65817,2
1,90,1856.658758,0
1,-45,637.085639,1
1,-45,819.736298,1
1,-60,1256.504829,1
1,75,806.828352,2
1,15,646.039567,2
1,-60,1832.303449,0
1,30,504.394481,0
1,-75,1027.259416,0
1,-15,579.080157,1
1,-30,570.039533,2
1,30,551.800128,1
0,-30,0,1
1,60,624.240349,1
1,30,1236.629061,2
1,15,699.070822,0
1,-75,739.822049,2
1,-15,830.614413,0
0,-75,0,1
1,-15,750.67647,2
1,60,628.587117,2
1,0,574.990463,0
1,15,694.888487,0
1,90,701.301869,0
1,90,442.261862,0
1,15,963.013973,2
1,-60,973.743282,1
1,-90,1281.596938,0
1,15,743.835399,1
1,30,817.754871,2
1,90,1679.463534,0
1,-75,1376.676554,1
1,0,859.237516,2
1,-75,670.130419,0
1,15,878.258718,2
1,-15,2112.457607,1
0,-15,0,2
1,15,671.956052,2
1,45,550.576305,0
0,60,0,0
1,0,605.774607,1
1,15,1199.565518,1
1,0,509.443561,1
1,-90,2154.902662,1
1,45,621.913512,0
1,-15,653.471605,2
1,30,728.670725,1
1,75,806.471284,0
1,-75,610.912356,0
1,-15,490.96284,1
1,-45,703.75937,0
0,0,0,0
1,0,496.757743,1
1,0,583.405479,2
1,-90,2161.037486,1
1,-60,696.125057,1
1,45,498.058949,1
1,-90,580.168373,1
1,45,616.14252,0
1,-15,606.448151,2
1,15,588.977264,0
1,60,773.989599,2
1,-90,743.390347,2
1,-15,1123.78716,1
0,75,0,2
1,-30,1141.763069,2
1,-75,2066.106368,1
1,90,1690.696019,0
1,-90,2093.09327,2
1,75,1894.303786,0
1,-60,1298.696318,1
1,45,738.221127,0
0,-75,0,1
1,-30,563.885098,0
1,15,616.51878,0
1,-60,1197.027326,1
1,60,1358.828229,1
1,-30,804.372135,1
0,90,0,1
1,30,962.552104,2
1,-15,656.304856,0
1,30,1473.908404,1
1,-75,761.85976,0
1,30,1423.143773,0
1,45,2120.242207,1
0,-90,0,1
1,-45,614.870683,0
1,-45,1355.854987,0
1,75,1200.394083,2
1,-45,1517.957639,2
1,-90,2355.073545,1
1,90,1210.037137,0
1,45,1035.709904,1
1,30,724.711663,0
1,-15,1170.640011,0
1,-90,1448.79544,0
1,-15,2257.33758,1
1,75,1582.177118,0
1,-60,616.46954,0
1,-90,1137.713436,1
1,0,995.34701,2
1,-75,1693.25397,0
1,0,757.1160729,0
0,90,0,1
1,15,886.240264,2
1,45,892.355276,2
1,60,623.821348,0
1,-75,2035.10019,1
1,60,1131.452953,1
1,75,1023.55759,2
1,90,661.052421,0
1,0,960.111368,1
1,60,1116.098899,1
1,60,661.574241,1
1,75,1066.376931,1
0,15,0,2
1,60,692.284325,2
1,-30,707.77571,2
1,-60,1380.68022,1
1,60,3425.257279,1
1,30,924.860665,1
1,60,714.702763,1
1,-60,2719.99557,2
1,90,619.852013,0
1,60,598.347201,2
1,75,2708.947141,1
1,-45,1545.338425,2
1,90,2343.249775,1
1,-90,886.278004,1
1,-60,689.52769,0
1,-75,959.543087,1
1,-45,756.267103,0
1,-15,613.674967,0
1,60,651.517856,0
1,30,1044.341764,1
1,90,1073.393623,1
1,-15,1096.144107,0
1,45,1320.869857,1
1,45,667.2994,1
1,-60,609.58558,1
1,-60,1370.878704,2
1,-45,736.267869,2
1,-60,726.3140551,1
1,-75,886.995714,2
1,45,821.6591799,1
1,90,996.521276,2
1,-15,932.73301,0
1,-30,584.315263,0
1,-45,1382.856598,0
1,75,766.340839,1
1,30,800.32672,2
1,75,848.394269,2
1,-75,604.234669,2
1,60,781.492989,2
1,0,567.528133,0
1,15,612.666568,1
1,-90,851.673331,2
1,-30,599.577551,1
1,-60,1948.654268,0
1,-60,632.046085,2
1,-30,1013.476978,0
1,-30,595.8696,2
1,30,1413.078956,0
1,45,1039.429908,0
1,45,636.158345,0
1,30,515.008603,0
1,15,2563.223735,1
1,-45,749.996675,2
1,75,1772.585035,0
1,-90,3158.999444,2
1,0,540.856526,0
1,-90,627.197266,1
1,-45,1194.337361,2
1,0,1921.542448,2
1,-60,851.0495411,0
1,-30,783.830619,0
1,-45,1496.939672,2
1,-30,1722.631556,2
1,45,607.16964,1
1,30,3758.234227,2
1,45,649.873677,1
1,0,942.900705,2
1,-30,1702.582811,0
1,0,793.517398,2
1,75,2740.850111,1
1,75,861.5578599,2
1,-15,773.180281,2
1,75,1869.331682,1
1,90,842.912059,0
1,0,666.02387,2
1,-30,531.660246,0
1,60,671.40855,2
1,90,1177.388866,0
1,0,1269.126194,1
1,45,657.69294,1
1,-45,777.881684,2
1,-90,1100.98313,0
1,-90,865.774963,2
1,-30,694.414155,0
1,-75,1808.930126,2
1,-15,933.238817,2
1,60,1745.191156,2
1,0,791.718389,2
1,75,759.305282,1
1,-75,1004.041929,1
1,90,724.241054,1
1,-90,1799.223563,1
1,90,660.139909,0
1,15,652.71902,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
