Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60,1199.76996,0
1,-60,586.032392,0
1,-60,778.805287,1
0,-60,1137.70847,0
0,-60,1192.24471,2
1,-60,920.847754,1
1,-60,1305.63083,1
1,-60,719.291185,2
1,-60,786.428679,0
1,-60,891.078518,1
1,-60,891.203391,2
1,-60,2186.0616,1
1,-60,651.050886,0
1,-60,1297.02223,1
1,-52.5,1184.74337,0
1,-52.5,1348.44411,2
1,-52.5,871.001954,0
1,-52.5,982.132091,2
1,-52.5,775.68898,1
1,-52.5,572.414946,1
1,-52.5,566.291271,1
1,-52.5,1458.14138,2
1,-52.5,2354.31614,1
0,-52.5,985.971042,2
1,-52.5,1144.96092,0
0,-52.5,1266.88601,0
1,-52.5,1155.8103,0
1,-52.5,1248.61879,2
1,-45,621.842331,2
1,-45,706.383833,1
1,-45,524.668134,1
1,-45,737.715953,0
1,-45,982.44177,0
1,-45,855.896692,0
1,-45,732.912733,2
0,-45,645.709531,2
1,-45,1031.63861,1
1,-45,743.39317,1
1,-45,1163.54519,2
1,-45,699.631274,2
1,-45,795.680312,1
1,-37.5,1129.02921,1
1,-37.5,1112.44561,0
1,-37.5,2417.86958,2
1,-37.5,578.440297,0
1,-37.5,856.720853,2
1,-37.5,695.035395,0
1,-37.5,1210.11898,2
1,-37.5,855.768643,2
1,-37.5,1269.59568,0
1,-37.5,577.663183,0
1,-37.5,508.389418,2
1,-37.5,810.205312,2
1,-30,998.494839,0
0,-30,760.678797,1
1,-30,703.704267,1
1,-30,642.565738,1
1,-30,1300.92528,1
1,-30,736.076276,2
1,-30,1002.05333,2
1,-30,604.489123,2
1,-30,1023.44401,0
1,-30,595.781298,2
1,-30,1625.24809,0
1,-30,851.178438,1
1,-30,557.569187,1
1,-22.5,648.610651,0
1,-22.5,559.253613,2
1,-22.5,978.397363,0
1,-22.5,847.852336,2
1,-22.5,634.808426,1
1,-22.5,785.808896,2
1,-22.5,671.087397,1
1,-22.5,769.242946,1
1,-22.5,1023.71808,0
1,-22.5,621.049929,1
1,-22.5,985.453714,0
1,-22.5,1067.28001,2
1,-15,831.568918,1
1,-15,1005.7996,2
1,-15,606.67225,2
1,-15,635.79605,0
0,-15,801.851786,0
1,-15,670.435188,2
1,-15,693.894461,2
1,-15,839.128936,1
1,-15,487.88327,2
1,-15,790.487687,1
1,-15,926.350802,0
1,-15,604.710913,2
1,-15,841.196401,2
1,-7.5,600.597559,0
1,-7.5,1693.06312,2
1,-7.5,928.361724,2
1,-7.5,649.07321,2
1,-7.5,774.323632,2
1,-7.5,768.348388,1
1,-7.5,604.907739,0
1,-7.5,675.741183,0
1,-7.5,591.237747,1
1,-7.5,715.049837,2
1,-7.5,607.884612,0
1,-7.5,608.490515,2
0,0,565.601106,1
1,0,498.275044,1
1,0,673.56295,2
1,0,806.462226,0
1,0,592.092842,1
1,0,548.684792,1
1,0,557.725533,2
1,0,377.980504,2
1,0,648.546523,2
1,0,574.56842,1
1,0,581.103484,2
1,0,618.171549,0
1,0,555.47615,1
1,0,731.172002,1
1,0,631.558265,2
1,0,805.896029,1
