Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60,550.274907,1
1,-60,929.794589,2
1,-60,652.340138,1
1,-60,623.594213,2
1,-60,932.722035,2
1,-60,885.919353,0
1,-60,761.64324,0
1,-60,320.760298,1
1,-60,402.752476,1
1,-60,683.597011,0
1,-60,517.142429,2
1,-60,437.427688,1
1,-52.5,574.028418,2
1,-52.5,547.587436,2
1,-52.5,440.59876,1
1,-52.5,579.617034,1
1,-52.5,512.956466,1
1,-52.5,558.227043,0
1,-52.5,852.926476,1
1,-52.5,373.314453,0
1,-52.5,554.465326,0
1,-52.5,560.113361,1
1,-52.5,562.992072,1
1,-52.5,554.971817,0
1,-45,1167.8369,2
1,-45,642.01472,0
1,-45,500.460155,2
1,-45,440.971976,1
1,-45,586.554669,0
1,-45,539.051745,0
1,-45,638.376017,0
1,-45,606.646543,1
1,-45,469.516213,0
1,-45,776.485609,0
1,-45,664.105571,1
1,-45,844.682159,0
1,-37.5,719.247672,2
1,-37.5,470.988828,0
1,-37.5,525.130743,0
1,-37.5,394.908657,0
1,-37.5,624.092998,2
1,-37.5,452.396751,1
1,-37.5,311.828572,0
1,-37.5,729.245196,2
1,-37.5,493.539187,2
1,-37.5,403.151537,2
1,-37.5,606.555386,0
1,-37.5,640.62955,2
1,-30,623.075581,2
1,-30,545.766553,0
1,-30,463.465891,1
1,-30,632.260331,2
1,-30,569.691107,0
1,-30,633.054829,2
1,-30,546.752375,2
1,-30,517.563726,0
1,-30,576.951213,1
1,-30,536.707674,2
1,-30,527.570261,2
1,-30,498.100783,1
1,-22.5,750.214247,0
1,-22.5,441.61754,0
1,-22.5,484.612601,1
1,-22.5,358.071348,1
1,-22.5,558.242111,1
1,-22.5,476.918918,1
1,-22.5,583.531351,1
1,-22.5,547.520921,0
1,-22.5,726.871083,1
1,-22.5,436.128194,1
1,-22.5,338.309672,0
1,-22.5,604.936397,2
1,-15,496.580658,1
1,-15,467.414399,1
1,-15,953.136396,2
1,-15,450.40076,2
1,-15,480.304788,0
1,-15,1011.59154,1
1,-15,617.520951,0
1,-15,547.343354,2
1,-15,486.399309,0
1,-15,437.924738,1
1,-15,463.471654,1
1,-15,325.58794,2
1,-7.5,821.246883,1
1,-7.5,503.179616,0
1,-7.5,447.78623,1
1,-7.5,548.966233,1
1,-7.5,447.396064,0
1,-7.5,367.871556,0
1,-7.5,481.52103,2
1,-7.5,431.95746,1
1,-7.5,522.42498,0
1,-7.5,472.886128,2
1,-7.5,499.80245,1
1,-7.5,496.147922,0
1,0,915.636829,2
1,0,588.079516,2
1,0,410.309565,1
1,0,463.483735,0
1,0,461.535212,1
1,0,470.871343,2
1,0,371.26231,1
1,0,469.871936,0
1,0,439.131092,0
1,0,490.06209,2
1,0,595.565511,2
1,0,487.618639,2
1,0,488.98627,2
1,0,395.439314,0
1,0,502.073231,2
1,0,358.791566,0
1,0,545.692715,2
1,0,399.671469,0
1,7.5,511.344813,0
1,7.5,785.296005,1
1,7.5,339.565596,1
1,7.5,577.700027,0
1,7.5,424.364183,1
1,7.5,468.130245,0
1,7.5,447.730398,0
1,7.5,532.809091,2
1,7.5,967.986179,0
1,7.5,372.975667,0
1,7.5,520.221649,1
1,7.5,529.116383,2
1,15,521.021923,2
1,15,462.4798,0
1,15,490.147699,0
1,15,511.352469,2
1,15,622.388852,2
1,15,461.528742,1
1,15,493.00544,0
1,15,489.535992,2
1,15,565.055235,1
1,15,487.338977,0
1,15,422.404858,1
1,15,438.981781,1
1,22.5,471.828286,0
1,22.5,448.696614,1
1,22.5,305.152206,0
1,22.5,405.903369,1
1,22.5,816.675188,1
1,22.5,594.391665,1
1,22.5,405.817863,0
1,22.5,504.704659,1
1,22.5,476.459012,1
1,22.5,478.917509,1
1,22.5,550.417993,2
1,22.5,400.892539,0
1,30,580.623899,2
1,30,396.700134,0
1,30,332.792009,0
1,30,551.434881,2
1,30,420.906653,2
1,30,535.797492,2
1,30,545.018696,2
1,30,402.777917,0
1,30,526.071809,2
1,30,503.458754,0
1,30,498.856447,2
1,30,605.429634,1
1,37.5,681.302653,2
1,37.5,738.435417,2
1,37.5,569.923359,2
1,37.5,611.483592,0
1,37.5,427.427257,0
1,37.5,416.320332,1
1,37.5,650.406257,1
1,37.5,489.897413,0
1,37.5,471.314778,1
1,37.5,545.267926,0
1,37.5,666.017761,0
1,37.5,387.693854,2
1,45,740.780743,2
1,45,638.180427,0
1,45,699.851507,1
1,45,584.50811,1
1,45,644.912815,1
1,45,547.3648,1
1,45,601.595539,2
1,45,613.788762,1
1,45,496.79744,1
1,45,422.322919,1
1,45,415.770352,2
1,45,442.746791,0
1,52.5,616.443822,0
1,52.5,848.291536,1
1,52.5,555.527923,0
1,52.5,654.493022,1
1,52.5,1328.87316,0
1,52.5,542.958985,2
1,52.5,508.001514,0
1,52.5,840.498945,1
1,52.5,488.123658,0
1,52.5,343.417032,2
1,52.5,379.27196,2
1,52.5,979.475361,2
1,60,912.673133,2
1,60,633.309769,1
1,60,680.141372,0
1,60,527.898456,2
1,60,693.973655,0
1,60,1027.19882,0
1,60,784.966449,2
1,60,693.971523,1
1,60,583.41306,0
1,60,349.721582,2
1,60,556.041389,0
1,60,447.199345,0
