Correct Response,Rotation (deg),Reaction Time (ms),Target
1,37.5,509.738694,1
1,37.5,548.848129,2
1,-52.5,629.902849,2
1,45,447.336215,1
1,-52.5,566.251905,2
0,-45,426.584912,0
1,15,495.855744,0
1,-22.5,491.18104,1
1,-45,416.426349,2
1,-7.5,434.226873,2
1,-7.5,470.602361,0
1,-22.5,396.772227,1
1,-30,465.85135,2
1,-30,418.107249,2
1,-45,446.021823,2
1,-52.5,485.613462,0
1,-37.5,522.736815,0
1,-30,407.730787,1
1,30,481.091302,0
1,-30,454.111847,1
1,15,466.034167,2
1,-15,453.141418,2
1,-60,495.83981,0
1,-60,362.919694,0
1,-60,544.019586,1
1,37.5,569.597389,0
1,-52.5,428.349727,1
1,7.5,469.453723,2
1,-52.5,445.839931,2
1,-45,397.839612,2
1,30,546.128253,2
1,52.5,501.403315,0
1,0,392.77622,1
0,15,353.791198,0
1,-37.5,466.194187,2
1,-52.5,461.840816,0
1,-45,529.46242,2
1,-22.5,362.532298,1
1,-30,579.152747,2
1,60,1471.893951,2
1,7.5,564.129982,2
1,15,462.40057,2
1,-30,377.016885,2
1,22.5,518.314962,2
1,15,527.127511,2
1,-52.5,571.860807,0
1,7.5,421.011943,0
1,-60,521.620789,2
1,22.5,501.312061,2
1,30,471.140387,0
1,22.5,409.038252,1
1,0,402.655352,0
1,0,346.369611,0
1,37.5,575.637781,1
1,-37.5,567.369663,2
1,52.5,471.470589,0
1,-60,563.320873,0
1,60,720.022991,1
0,22.5,509.569046,0
1,15,432.987856,1
1,-45,368.247897,1
1,-37.5,490.604552,1
1,37.5,448.827698,1
1,22.5,381.040412,1
1,60,1133.340403,2
1,-52.5,535.33504,2
1,37.5,569.304813,1
1,-22.5,498.650411,2
1,-45,405.883318,2
1,-7.5,477.208395,1
1,-37.5,461.97999,1
1,-15,303.262597,0
1,0,432.412003,1
1,22.5,377.670753,2
1,45,1056.701111,1
1,0,446.67117,2
1,30,500.708439,0
1,15,382.760731,0
1,0,387.289694,0
1,7.5,397.363861,1
1,-7.5,352.063359,1
1,0,374.259347,1
1,-22.5,457.315139,0
1,22.5,458.091168,2
1,60,2303.975556,0
1,45,570.6992,2
1,-22.5,461.222439,0
1,-30,406.49733,1
1,52.5,609.35158,1
1,30,480.364479,2
1,0,475.48577,2
1,45,536.137398,0
1,-15,464.961927,2
1,-52.5,512.637632,0
1,-52.5,435.239779,0
1,45,446.015338,2
1,45,508.456536,0
1,-7.5,882.501635,1
1,30,614.592514,1
1,-37.5,495.188002,2
1,52.5,640.986216,0
1,22.5,675.555,2
1,-30,610.846008,0
1,-7.5,409.568776,0
1,30,505.969874,0
1,52.5,560.350281,2
1,-15,395.36926,1
1,37.5,496.643898,2
1,22.5,461.315948,0
1,-60,557.392362,0
1,0,344.671085,1
1,45,507.353238,2
1,-30,431.869991,1
1,-7.5,441.81066,0
1,-60,605.836114,2
0,-15,503.443504,2
1,-60,461.903494,2
1,-37.5,361.207998,2
1,-60,446.537846,2
1,0,412.548302,0
1,-7.5,424.279367,1
1,-30,465.832768,1
1,7.5,316.583713,0
1,37.5,459.711712,0
1,-7.5,474.915779,0
1,-22.5,421.383731,0
1,60,768.948055,2
1,15,535.702071,2
1,37.5,532.99008,2
1,0,505.223402,1
1,0,299.4291,1
1,-37.5,449.849503,0
1,-7.5,467.891903,1
1,15,371.897461,1
1,7.5,438.32716,0
1,7.5,477.20553,2
1,37.5,661.924676,1
1,52.5,488.865463,2
1,-15,586.855222,1
1,30,521.347595,0
1,52.5,510.019343,1
1,-15,441.63625,0
1,0,437.226071,1
1,52.5,589.807005,0
1,-22.5,586.839901,1
1,-52.5,587.801717,2
1,-22.5,460.32801,1
1,60,511.236618,0
1,60,535.643224,1
1,-60,590.92941,1
1,-15,456.193144,2
1,-30,367.887035,0
1,-45,524.643886,2
1,-37.5,478.716807,2
1,-15,486.897924,1
1,45,468.14469,0
1,30,424.085767,2
1,7.5,461.922188,0
1,52.5,552.509371,0
1,60,504.548328,1
1,30,472.434822,2
1,37.5,496.863481,1
1,-45,528.739022,0
1,52.5,462.332,1
1,0,423.106273,0
1,45,438.981563,2
1,30,454.153097,1
1,-45,479.396379,0
1,-22.5,433.33479,1
1,7.5,439.769547,2
1,60,473.217731,1
1,15,368.562581,0
1,-22.5,391.193315,2
1,-60,520.39545,1
1,-37.5,504.184066,1
1,22.5,362.87721,2
1,30,420.186354,2
1,0,485.676151,1
1,15,429.858994,1
1,60,371.837965,2
1,52.5,388.627115,2
1,-15,474.431383,0
1,-45,447.386226,0
1,0,451.169995,0
1,22.5,455.953509,2
1,-15,443.839549,2
1,-22.5,558.498445,1
1,-7.5,486.475807,0
1,7.5,413.446668,0
1,60,538.229109,0
1,-37.5,408.757217,2
1,0,637.570802,1
1,22.5,438.711401,0
1,45,450.278657,2
1,-37.5,477.949814,0
1,7.5,467.284356,0
1,-60,543.986345,1
1,45,378.46324,2
0,-45,503.571591,2
1,-7.5,424.976244,2
1,60,593.973984,1
1,37.5,609.085361,2
1,0,323.318738,0
1,-15,390.501655,0
1,7.5,490.511361,1
1,-52.5,452.048272,1
1,45,491.739441,2
1,-30,441.47087,2
1,15,396.602397,0
1,52.5,521.616612,1
1,-45,530.832202,2
1,15,605.818768,1
1,22.5,346.940867,1
1,-15,457.854712,1
1,-45,459.497651,0
