Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60,780.199506,0
1,-60,762.850865,0
1,-60,713.461576,2
1,-60,682.364369,2
1,-60,659.501414,1
1,-60,627.17959,0
1,-60,552.829511,1
1,-60,512.43827,0
1,-60,472.086061,1
1,-60,463.215428,1
1,-60,448.40013,2
1,-60,410.549817,1
1,-52.5,887.232937,2
1,-52.5,767.431036,0
1,-52.5,700.603386,1
1,-52.5,690.151254,2
1,-52.5,648.424542,1
1,-52.5,628.115796,1
1,-52.5,600.1109,2
1,-52.5,559.407338,1
1,-52.5,559.164591,1
1,-52.5,553.035725,1
1,-52.5,541.392679,0
1,-52.5,514.727048,1
1,-45,691.453635,0
1,-45,652.448586,0
1,-45,628.039426,2
1,-45,613.306896,0
1,-45,583.435983,0
1,-45,570.184635,1
1,-45,519.314386,2
1,-45,513.702558,2
1,-45,510.225058,1
1,-45,493.10374,2
1,-45,448.843983,0
1,-45,381.233518,1
1,-37.5,693.144634,2
1,-37.5,647.340816,2
1,-37.5,629.140465,2
1,-37.5,625.956585,2
1,-37.5,599.281976,2
1,-37.5,597.331783,0
1,-37.5,559.513321,2
1,-37.5,554.378303,0
1,-37.5,524.719953,1
1,-37.5,499.394066,1
1,-37.5,477.219932,1
1,-37.5,465.191283,1
1,-30,941.793144,2
1,-30,814.118403,0
1,-30,642.520696,1
1,-30,591.899861,1
1,-30,586.31152,0
1,-30,568.98859,2
1,-30,554.577869,2
1,-30,535.2777,0
1,-30,524.16411,2
1,-30,506.38079,1
1,-30,470.01491,2
1,-30,443.126228,2
1,-22.5,734.644219,2
1,-22.5,578.461965,1
1,-22.5,568.720253,0
1,-22.5,556.743752,1
1,-22.5,556.071657,2
1,-22.5,550.652543,0
1,-22.5,536.94505,1
1,-22.5,518.924238,0
1,-22.5,515.755837,0
1,-22.5,460.658003,2
1,-22.5,446.030762,2
1,-22.5,434.419812,2
1,-15,715.805446,0
1,-15,639.098981,0
1,-15,615.426749,2
1,-15,577.648572,0
1,-15,569.49447,0
1,-15,511.485808,1
1,-15,509.437472,1
1,-15,502.142797,0
1,-15,494.271221,2
1,-15,437.18157,1
1,-15,390.319299,1
1,-15,374.639875,1
1,-7.5,783.57974,0
1,-7.5,527.291275,0
1,-7.5,524.881797,0
1,-7.5,507.459197,1
1,-7.5,446.670478,2
1,-7.5,444.511145,0
1,-7.5,434.1281,0
1,-7.5,430.094847,1
1,-7.5,413.467146,1
1,-7.5,410.894277,0
1,-7.5,379.194142,0
1,-7.5,347.759444,2
1,0,724.837759,0
1,0,658.775644,0
1,0,639.901405,1
1,0,593.157593,0
1,0,580.960144,0
1,0,569.446355,2
1,0,546.349588,0
1,0,542.595702,0
1,0,541.686855,1
1,0,531.220951,0
1,0,503.893305,1
1,0,491.788043,0
1,0,477.121192,0
1,0,474.576669,2
1,0,462.601321,1
1,0,457.079842,1
1,0,429.966277,0
1,0,381.652637,2
1,7.5,558.054666,0
1,7.5,546.265043,2
1,7.5,543.712245,0
1,7.5,521.909451,1
1,7.5,483.901128,2
1,7.5,480.165991,0
1,7.5,476.783399,2
1,7.5,472.097964,1
1,7.5,455.755774,2
1,7.5,447.927394,1
1,7.5,424.466146,2
1,7.5,344.830079,2
1,15,738.967527,1
1,15,568.013177,2
1,15,547.302496,2
1,15,500.444146,2
1,15,493.782297,2
1,15,480.44781,1
1,15,466.087241,1
1,15,458.895681,2
1,15,456.034541,0
1,15,445.947276,0
1,15,424.833444,1
1,15,352.90903,1
1,22.5,878.301819,2
1,22.5,665.160464,2
1,22.5,598.935576,0
1,22.5,581.84066,2
1,22.5,578.61783,1
1,22.5,562.616341,1
1,22.5,553.355597,2
1,22.5,546.905838,0
1,22.5,508.404669,2
1,22.5,501.518729,2
1,22.5,485.915392,2
1,22.5,445.84092,0
1,30,603.895825,0
1,30,597.75223,2
1,30,586.112973,1
1,30,547.233338,1
1,30,546.344973,2
1,30,544.291145,0
1,30,531.501401,1
1,30,525.482915,0
1,30,489.693624,0
1,30,484.719866,2
1,30,483.682981,1
1,30,392.410275,2
1,37.5,1128.72663,0
1,37.5,728.222032,1
1,37.5,668.682143,2
1,37.5,666.873759,0
1,37.5,563.624438,1
1,37.5,560.137068,0
1,37.5,551.904269,1
1,37.5,551.775489,1
1,37.5,547.824945,2
1,37.5,539.60798,0
1,37.5,483.644476,0
1,37.5,481.214927,1
1,45,974.137522,1
1,45,876.08746,0
1,45,834.711916,0
1,45,834.67564,0
1,45,800.778641,0
1,45,743.970128,0
1,45,664.530142,2
1,45,593.062925,1
1,45,592.69398,2
1,45,573.521251,2
1,45,566.77925,1
1,45,503.582572,2
1,52.5,889.593387,2
1,52.5,863.586842,0
1,52.5,788.194452,2
1,52.5,776.705107,1
1,52.5,737.289139,2
1,52.5,658.070311,0
1,52.5,614.444119,2
1,52.5,604.430063,0
1,52.5,585.531891,1
1,52.5,570.071,1
1,52.5,557.61542,1
1,52.5,417.039428,2
1,60,936.930269,0
1,60,914.888217,0
1,60,914.7922,0
1,60,849.040444,0
1,60,834.20516,0
1,60,812.651688,0
1,60,756.748801,0
1,60,738.10731,2
1,60,626.678402,2
1,60,602.48112,2
1,60,552.821057,0
1,60,508.669565,1
0,-60,526.03032,2
0,-60,721.660173,1
0,-52.5,714.878614,0
0,-45,852.298587,0
0,-37.5,690.177047,2
0,-15,515.123651,0
0,-15,634.774549,2
0,0,632.05437,0
0,22.5,784.806008,0
0,30,766.022283,1
0,30,780.010908,0
0,30,813.083512,2
0,37.5,557.006625,2
0,37.5,733.650667,2
0,37.5,839.356023,0
0,45,720.273303,0
0,52.5,568.176052,0
0,52.5,805.22073,2
0,52.5,872.403987,1
0,60,506.02349,1
0,60,877.29054,2
0,60,889.14829,0
0,60,1062.118484,1
