Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15,530.39167,1
1,0,662.596203,1
1,-15,703.80281,0
1,-22.5,975.009786,2
1,30,537.79261,1
1,45,1023.61146,2
1,-7.5,418.330451,1
1,-45,578.020545,0
1,45,640.621783,1
1,15,1105.32672,0
1,52.5,1476.5529,0
1,45,533.399969,1
1,7.5,691.92106,1
1,-60,772.216117,0
0,37.5,593.62942,0
1,22.5,1458.3948,2
1,30,466.426348,0
0,45,1709.73297,2
1,52.5,1299.98838,2
1,15,1028.61577,2
1,-30,694.731472,0
1,-52.5,621.058176,0
1,-7.5,462.36408,0
1,-7.5,628.217729,2
1,0,519.289301,1
1,-52.5,988.896508,2
1,-60,472.120926,0
1,60,651.239387,1
1,-7.5,421.604485,1
1,-45,574.116274,1
1,-37.5,718.843781,0
1,-15,777.642667,0
1,-15,526.366126,2
1,-37.5,712.236207,2
1,-45,628.670854,2
1,-7.5,442.86391,1
1,37.5,2101.74821,2
1,45,653.68722,1
1,-7.5,640.759299,2
1,-7.5,577.977823,0
1,7.5,1629.73461,2
1,-15,1713.48453,0
1,-52.5,583.701721,1
1,7.5,2231.61837,2
1,-45,521.207154,1
1,7.5,809.187875,2
1,-60,1955.67575,1
1,-37.5,724.763331,2
1,22.5,448.527645,1
1,52.5,916.636404,0
1,30,500.900015,1
1,-37.5,641.408735,1
1,7.5,621.154652,1
1,22.5,910.715019,1
1,22.5,1578.49253,2
1,-15,1027.49983,2
1,0,435.374593,0
1,60,543.023405,1
1,22.5,598.918152,0
1,0,371.788326,2
1,-30,790.194413,0
1,45,798.130511,2
1,0,1601.57335,0
1,-30,690.13285,2
1,60,679.857771,1
1,-37.5,565.870553,1
1,-7.5,742.346943,2
1,37.5,1040.73211,0
1,0,588.386518,0
1,-30,550.324554,0
1,-15,506.551663,1
1,52.5,987.596905,2
1,-60,755.174817,0
1,0,657.133043,1
1,-37.5,779.295323,2
1,-22.5,474.92272,2
1,-22.5,832.004972,1
1,-45,1588.2331,1
1,-30,515.718752,2
0,60,1359.97513,2
1,-30,785.656,1
1,15,551.86805,0
1,52.5,1958.33476,0
1,37.5,649.451601,0
1,15,493.742552,2
1,37.5,1144.53828,1
1,30,887.272664,1
1,-52.5,826.508978,2
1,-22.5,541.86255,2
1,-15,548.313305,1
1,22.5,561.477399,2
1,37.5,876.583477,2
1,-60,1326.58719,2
1,22.5,820.923879,2
1,30,1452.63699,2
1,-22.5,608.85123,0
1,-52.5,607.443504,0
1,-22.5,616.897758,1
1,60,735.698206,0
1,-37.5,625.242631,0
1,30,1334.01846,2
1,7.5,1009.65575,0
1,45,4955.90805,2
1,30,593.600837,0
1,22.5,646.855008,1
1,-15,569.891157,2
1,30,528.807188,2
1,37.5,613.323419,0
1,52.5,776.29403,1
1,0,493.962876,0
1,37.5,622.508556,0
1,-30,602.872709,1
1,15,684.687707,0
1,-45,740.110907,2
1,52.5,934.481278,2
1,7.5,576.404424,1
1,-37.5,746.79504,0
1,7.5,469.866167,2
1,-7.5,383.621979,2
1,-45,594.723419,0
1,0,431.78768,2
1,15,507.131982,1
1,-45,582.648482,0
1,52.5,1360.95498,0
1,60,638.933637,2
1,0,573.821741,0
1,-7.5,363.834647,0
1,30,486.147486,2
1,-7.5,812.278346,0
1,0,810.44342,1
1,-37.5,1129.25281,2
1,-52.5,977.467014,1
1,22.5,1329.39302,1
1,37.5,781.519488,0
1,-30,643.69879,2
1,0,543.585657,2
1,-60,1460.02724,1
1,45,756.602031,0
1,22.5,447.910017,0
1,0,575.219249,1
1,-60,602.272254,2
1,30,808.441164,2
1,-60,1192.50233,1
1,-45,875.819155,2
1,60,1967.34425,2
1,60,611.52111,1
1,-30,923.619054,1
1,45,668.587168,2
1,-15,569.272011,1
1,0,718.077679,0
1,7.5,549.164065,2
1,15,445.079515,1
1,-15,1245.82319,1
1,-60,465.656848,1
1,-45,527.732451,0
1,0,500.01697,1
1,37.5,543.355168,0
1,22.5,552.247624,2
1,0,748.128717,2
1,60,1333.44918,0
