Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,597.2315,0
1,60,564.7043,1
1,30,544.4999,1
1,150,602.7712,0
1,-30,441.6198,0
1,-90,414.2429,0
1,-90,364.0067,0
1,-60,605.9365,1
1,180,554.0498,2
1,-60,417.1464,2
1,-120,366.7346,2
1,30,567.9171,1
1,-120,519.1468,1
1,-30,480.5345,1
1,-120,666.4825,2
1,150,778.102,0
1,-60,513.8863,1
1,0,519.9161,2
1,60,538.7653,0
1,30,549.5882,2
1,90,615.3583,2
1,-150,517.6025,2
1,120,429.2534,2
1,180,897.8669,0
1,0,560.0586,2
1,120,1006.6056,2
1,-120,676.1798,1
1,0,557.0362,2
1,180,798.6515,0
1,-150,527.6535,1
1,90,622.0397,0
1,150,525.9115,2
1,-120,690.1981,2
1,-90,597.4194,2
1,0,554.1159,0
1,90,544.8498,0
1,-90,662.5442,1
1,30,515.4964,2
1,-120,375.9861,2
1,60,688.3263,1
1,-90,500.1527,1
1,180,445.9656,1
1,150,526.3758,2
1,120,662.0684,2
1,-150,742.7065,0
1,-150,576.7768,0
1,120,673.6867,2
1,-60,455.6864,2
1,-120,1620.394,0
1,-60,518.6937,2
1,0,588.7876,1
1,-30,499.1432,0
0,-150,605.3555,1
1,30,535.0061,2
1,-150,674.7989,0
1,-150,728.0653,2
1,30,597.3375,2
1,120,600.8022,0
1,60,533.084,2
1,150,682.2961,1
1,180,574.8184,1
1,120,766.6474,1
1,-60,594.6175,0
1,-30,512.9772,0
1,-120,670.7653,1
1,90,611.7125,0
1,-30,507.5544,1
1,0,562.2137,2
1,-30,577.4064,1
1,150,711.2662,1
1,120,735.4137,2
1,180,593.4309,1
1,150,644.8095,1
1,-60,460.0743,1
1,30,502.999,2
1,0,534.1398,0
1,-30,657.9058,2
1,-150,548.8863,1
1,-90,669.1523,0
1,60,505.3504,2
1,90,606.9646,0
1,-90,588.6461,1
1,90,560.2087,0
1,90,496.1956,0
1,180,698.16,2
1,-60,575.3778,1
1,30,539.1584,2
1,-30,606.2842,1
1,60,472.8654,2
1,0,677.8157,0
1,150,581.2313,1
1,90,593.783,0
1,60,445.9803,0
1,180,730.7584,2
1,-90,493.8994,0
1,60,564.152,2
1,-150,594.4547,21,-180,554.05,2
1,-180,897.87,0
1,-180,798.65,0
1,-180,445.97,1
1,-180,574.82,1
1,-180,593.43,1
1,-180,698.16,2
1,-180,730.76,2
